year,sommets_NOUN couverts_ADJ
1800,8.803660733747165e-08
1801,6.191074675143682e-08
1802,9.175144555229053e-08
1803,2.145373123596528e-08
1804,1.1864884186252311e-07
1805,5.970043304159844e-08
1806,6.051504897186533e-08
1807,3.9857372513552036e-08
1808,7.251436784372345e-08
1809,4.51806094758922e-08
1810,7.722418615685456e-08
1811,1.0780430415024966e-07
1812,6.668020802180763e-08
1813,6.614205716459765e-08
1814,2.8320094713762956e-08
1815,6.47333635583891e-08
1816,1.0660977523002657e-07
1817,4.514932783195036e-08
1818,4.410835785506606e-08
1819,3.3123360054787554e-08
1820,9.01852530432734e-08
1821,3.0570614484304315e-08
1822,1.1028177482330648e-08
1823,3.5577674140085946e-08
1824,8.000056794799093e-08
1825,7.484626252107773e-08
1826,5.460950447400137e-08
1827,5.8068820862899884e-08
1828,6.420610532131832e-08
1829,9.344761764396026e-08
1830,5.114049628218709e-08
1831,1.4811645598911127e-07
1832,4.058990654698391e-08
1833,6.370995464521911e-08
1834,8.121041616959701e-08
1835,4.840376277570613e-08
1836,4.5701099793404865e-08
1837,3.339787468803479e-08
1838,3.092959488526503e-08
1839,4.4046291947097416e-08
1840,3.9492068282243054e-08
1841,4.044945711711989e-08
1842,3.3541326160957396e-08
1843,5.2571508035725856e-08
1844,2.9089374464774664e-08
1845,5.747634901354104e-08
1846,2.6930706553685013e-08
1847,4.961765753819236e-08
1848,2.896279838182636e-08
1849,4.8600607982507427e-08
1850,1.0862393651223101e-08
1851,6.191461210391935e-08
1852,3.906327350478023e-08
1853,3.702597695109944e-08
1854,4.000661490977109e-08
1855,3.980202833986368e-08
1856,3.675804194358534e-08
1857,3.9540225316159194e-08
1858,3.1808895073481835e-08
1859,3.4626779665813956e-08
1860,2.9293977021893625e-08
1861,2.971057178058345e-08
1862,3.7951085829490694e-08
1863,3.7459656709870615e-08
1864,4.8426752385921645e-08
1865,3.859612363044107e-08
1866,3.065336073859726e-08
1867,3.8337212515671126e-08
1868,1.7289560005906424e-08
1869,4.248661511496721e-08
1870,2.0069171213776826e-08
1871,1.4869648623516696e-08
1872,2.1770421909650395e-08
1873,2.7535620006347017e-08
1874,1.1351757756017378e-08
1875,2.460256709468922e-08
1876,7.678438862512849e-08
1877,4.7004601100297805e-08
1878,3.2611080058586595e-08
1879,5.6205792020591616e-08
1880,2.2462462112571302e-08
1881,3.2770785196589713e-08
1882,4.991538915533056e-08
1883,4.2339571848515334e-08
1884,4.4891539374702916e-08
1885,2.900535989169839e-08
1886,3.0976625708944994e-08
1887,2.6768590899450828e-08
1888,4.1848057463766963e-08
1889,2.318100555953606e-08
1890,4.5880703680722945e-08
1891,2.995883363610119e-08
1892,2.193979398157353e-08
1893,1.3548516086814288e-08
1894,3.0877544077156927e-08
1895,2.7083764564395096e-08
1896,2.0049897742069334e-08
1897,4.486569338268964e-08
1898,3.1120951149432585e-08
1899,1.2160672469008205e-08
1900,4.360484595622438e-08
1901,2.9061443029831935e-08
1902,1.9641134940684424e-08
1903,2.1060859722865644e-08
1904,2.2573425795258117e-08
1905,1.3934049469810361e-08
1906,2.2634411678268407e-08
1907,3.599990350267035e-08
1908,2.4065807124884486e-08
1909,2.0353638774395222e-08
1910,3.366815093386322e-08
1911,3.1922244403403965e-08
1912,1.82329742415277e-08
1913,2.4924052155483878e-08
1914,2.276892807628883e-08
1915,3.180805663305364e-08
1916,2.0876177231343718e-08
1917,2.7416060532914344e-08
1918,1.1486376294556067e-08
1919,3.038589824200244e-08
1920,2.3473917920568965e-08
1921,1.9689142760626055e-08
1922,2.5084981203349344e-08
1923,2.1231896241147297e-08
1924,1.5469948877466777e-08
1925,1.8696901804560184e-08
1926,1.89484357093761e-08
1927,2.8987985345452216e-08
1928,6.8556245125250825e-09
1929,2.33948540540041e-08
1930,8.402882833991043e-09
1931,1.8248570654577634e-08
1932,1.3151444377967891e-08
1933,2.6382522833046096e-08
1934,1.677421224144382e-08
1935,2.393656828303392e-08
1936,1.9399543305098632e-08
1937,4.784624962894668e-08
1938,1.4261735792331365e-08
1939,1.3764645423464117e-08
1940,1.0143131667916805e-08
1941,8.854508237732261e-09
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,1.1136883415474585e-08
1947,2.26496545963073e-08
1948,1.9569398546082084e-08
1949,9.817008539414473e-09
1950,9.571825110299415e-09
1951,2.2388944032059044e-08
1952,2.003512733494972e-08
1953,8.619061908632375e-09
1954,8.795282724349818e-09
1955,1.8771215692936494e-08
1956,1.3953826538681824e-08
1957,1.5903067307476704e-08
1958,1.9026160202884057e-08
1959,2.0927018340444192e-08
1960,2.0070416439921246e-08
1961,2.014966149488373e-08
1962,1.5220695814832652e-08
1963,1.2932106940866106e-08
1964,1.1559539991878864e-08
1965,9.302473458205895e-09
1966,1.38476865529924e-08
1967,1.3311906243984595e-08
1968,1.9313088017725022e-08
1969,1.3625273354023193e-08
1970,7.817832603507213e-09
1971,1.0276794526475896e-08
1972,1.128632298730281e-08
1973,1.268036875501366e-08
1974,9.563471792262135e-09
1975,1.028066431985053e-08
1976,5.713526984862938e-09
1977,8.22749424145286e-09
1978,1.0099005187669263e-08
1979,6.437170796402825e-09
1980,1.193881615790815e-08
1981,1.5181319312773667e-08
1982,8.069752865935698e-09
1983,8.209910973278056e-09
1984,9.278413592994639e-09
1985,6.015557829641693e-09
1986,1.0790073723399018e-08
1987,7.944062296871834e-09
1988,5.396898483667201e-09
1989,7.134558721588746e-09
1990,8.172976073694826e-09
1991,8.20605094986604e-09
1992,5.509944056569793e-09
1993,5.539207315052863e-09
1994,8.439882570598911e-09
1995,1.138714633697191e-08
1996,9.074756945892659e-09
1997,1.102825741838842e-08
1998,7.152193948201102e-09
1999,1.0511462811280126e-08
2000,7.95245647111642e-09
2001,6.571817756650944e-09
2002,9.63868718173444e-09
2003,1.2500768420409258e-08
2004,1.2333415178034102e-08
2005,8.557123898356167e-09
2006,8.64756888319107e-09
2007,1.2382886716011399e-08
2008,1.3623806971452268e-08
2009,1.2874119548200724e-08
2010,1.0864724231396394e-08
2011,1.644307978665438e-08
2012,2.008509092377153e-08
2013,1.3666713094551142e-08
2014,2.2087540685333806e-08
2015,1.8397575018980206e-08
2016,2.8791626860424913e-08
2017,1.7609279368002717e-08
2018,1.5746946857575495e-08
2019,1.836711227554133e-08
