year,leurs_DET arrières_NOUN,leurs_DET carrières_NOUN
1800,0.0,6.288328791015374e-08
1801,2.6193008650921e-08,3.809892135109294e-08
1802,8.951360541686881e-09,3.1329761895904085e-08
1803,2.7304748684287006e-08,1.4042441875972145e-07
1804,4.2021465418429216e-08,1.2359254952798437e-08
1805,1.421438877713399e-08,1.421438877713399e-08
1806,2.881669125542885e-09,0.0
1807,4.27043254092041e-08,5.693910232196231e-09
1808,2.039466551195801e-08,5.4385775882792586e-08
1809,3.162642769893864e-08,2.710836710662079e-08
1810,2.3401267590372754e-09,2.574139479349924e-08
1811,0.0,2.0056614147279106e-08
1812,5.3344164641089264e-09,9.335229123053068e-08
1813,8.627225156487839e-09,1.1502966579257645e-08
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,5.394447111228828e-09
1816,9.270415546325239e-09,2.3176038865813098e-08
1817,2.9580593974287694e-08,4.981994905506326e-08
1818,7.152706427149269e-09,4.053200441944682e-08
1819,0.0,4.864993385922389e-08
1820,3.5599443393152796e-09,4.390598107306687e-08
1821,1.4792232327920374e-08,2.859831660373402e-08
1822,1.604098542884458e-08,1.9048670196752937e-08
1823,1.9765373782121287e-09,2.668325471688604e-08
1824,1.6842225392110777e-09,4.21055617039201e-08
1825,7.924898959288385e-09,3.698285966358128e-08
1826,4.403992281964975e-09,4.7563116112314674e-08
1827,7.373818444733615e-09,3.871254694587378e-08
1828,5.503380862137419e-09,4.769596628761974e-08
1829,7.715858174606183e-09,3.429270378774163e-08
1830,2.0873671680021744e-09,2.2961038625979313e-08
1831,1.5591206103948707e-09,9.354723662369224e-09
1832,2.705993873419743e-09,3.2471927369215337e-08
1833,1.3900354645102198e-08,2.4325620628928846e-08
1834,2.8003592777992026e-09,1.3068342852307069e-08
1835,3.781543966852041e-09,4.840376277570613e-08
1836,6.720750067579218e-10,4.166865003041309e-08
1837,5.5663127440652715e-09,1.2524203896191466e-08
1838,3.1560809521380406e-09,3.787297231383491e-08
1839,0.0,3.146163862766116e-08
1840,7.64362617644565e-09,3.3759349093998026e-08
1841,5.1364388298225094e-09,3.9165346521485844e-08
1842,0.0,2.884553929050071e-08
1843,6.497602011990011e-09,4.371114248336028e-08
1844,3.2931368743049916e-09,2.6345094994439933e-08
1845,2.2320911785556063e-09,1.5066614622583074e-08
1846,9.367202125076801e-09,4.390875929516369e-08
1847,4.314578916364553e-09,3.829188699455699e-08
1848,5.63165514222419e-09,3.781254065415851e-08
1849,5.865590235742957e-09,4.1059134758825167e-08
1850,1.3577992064028876e-09,2.1045888587423178e-08
1851,1.2898877521649865e-09,4.321124080775007e-08
1852,7.812654523320361e-09,2.4740073101270355e-08
1853,2.388772735173461e-09,2.030456869306363e-08
1854,0.0,1.506742641765868e-08
1855,7.429711956774554e-09,4.086341576226005e-08
1856,1.5531567143511893e-09,5.384276624553763e-08
1857,1.9526036343364694e-09,3.905207401899702e-08
1858,1.9574704079872163e-09,3.474509924217273e-08
1859,4.073738679721828e-09,4.786642793241924e-08
1860,1.8308735638683515e-09,5.2179895959625355e-08
1861,1.8863854922557266e-09,5.51767754264354e-08
1862,4.9697850279528666e-09,3.749928745300224e-08
1863,2.4973103585068657e-09,2.6471490166546374e-08
1864,8.151037178549814e-09,5.801620872603053e-08
1865,1.4120533631256649e-09,4.142022902442477e-08
1866,9.731225825149181e-10,1.994901249746661e-08
1867,4.367530337390235e-09,4.367530337390235e-08
1868,9.87974857480367e-09,3.655506830568811e-08
1869,4.883519144627257e-10,3.369628132077196e-08
1870,2.8670243956696595e-09,3.4404294524392753e-08
1871,5.3105884134652115e-09,6.160282595146782e-08
1872,3.628403577593531e-09,7.801067880564005e-08
1873,4.788803575905831e-09,3.292302386270762e-08
1874,8.364453130127458e-09,4.719941060216115e-08
1875,2.8607636259891933e-09,6.06481857512442e-08
1876,6.04601479992084e-10,3.627608791134662e-08
1877,4.329371083855449e-09,3.4016487737709156e-08
1878,6.039088784604019e-09,4.287753085918666e-08
1879,4.887460214320072e-09,3.726688291294522e-08
1880,6.417846254436199e-09,8.535735784853671e-08
1881,6.972507571312292e-10,4.2532295907449225e-08
1882,9.317538740560849e-09,4.1263387373646765e-08
1883,5.687405213450347e-09,4.1707636455612374e-08
1884,1.9805090900604227e-09,4.2250860587955685e-08
1885,6.445635580831777e-09,4.1896630609272734e-08
1886,3.872078213618124e-09,4.8400980556806417e-08
1887,5.223139698529167e-09,5.1578506021776604e-08
1888,1.9021844099853524e-09,3.106901047544852e-08
1889,0.0,4.8868066926388565e-08
1890,1.9663159989136147e-09,6.357755211183758e-08
1891,2.5496880162734215e-09,4.908149386917415e-08
1892,9.402768119670668e-09,6.205826963423533e-08
1893,9.853466487186324e-09,5.850495554682311e-08
1894,9.452309157609307e-09,6.175508393546636e-08
1895,4.213029924926559e-09,5.055636220774318e-08
1896,4.1279202278587945e-09,4.1868904787634165e-08
1897,6.992056267307589e-09,5.2440423559119154e-08
1898,2.8291773368493978e-09,4.922768703785607e-08
1899,8.844125432005967e-09,3.150719507516442e-08
1900,2.595526460424935e-09,5.3467847038746186e-08
1901,1.676621730339889e-09,6.147612907625444e-08
1902,0.0,5.695929417015577e-08
1903,8.640352433531007e-09,5.238213596214791e-08
1904,5.374625189347171e-09,5.48211751549843e-08
1905,2.580379465655369e-09,5.0059364486987334e-08
1906,8.230695236477459e-09,4.5268823356536814e-08
1907,2.5714217422034835e-09,4.165703160197154e-08
1908,3.437972351250096e-09,4.2237946473733246e-08
1909,3.300590023513905e-09,5.170924399777732e-08
1910,8.016225794271747e-09,5.076943043746951e-08
1911,5.3203743632934675e-09,4.735133130040481e-08
1912,2.6047106693738442e-09,4.428008182344456e-08
1913,6.893886794756554e-09,4.719660712249052e-08
1914,1.7411533825839598e-08,4.486818250271085e-08
1915,2.1205371680821372e-08,4.5944971827083236e-08
1916,8.789969641043172e-09,8.020847519496499e-08
1917,1.315970976634162e-08,6.689519160829605e-08
1918,2.8715941624568586e-08,5.858051999041436e-08
1919,2.67027611133841e-08,4.9722381323391573e-08
1920,1.2872793941909322e-08,3.331781917026433e-08
1921,2.4232791773215467e-08,5.831015514878857e-08
1922,1.1066902949607993e-08,4.869437297827517e-08
1923,2.3355084977083607e-08,2.9724655625784635e-08
1924,1.5469948877466777e-08,3.867487308184536e-08
1925,9.898360353588487e-09,5.609070607981437e-08
1926,6.687683296036084e-09,5.684530535177146e-08
1927,1.0034302277972529e-08,6.801026863900717e-08
