year,deux_DET ans_NOUN,deux_DET camps_NOUN
1800,2.2854931899018993e-05,1.3205490612122617e-07
1801,2.3223673565553327e-05,2.1430643215580858e-07
1802,2.085667028950411e-05,1.656001700212073e-07
1803,2.4190056933548476e-05,2.4574273771449384e-07
1804,2.3707521563665068e-05,1.6067031149979982e-07
1805,2.2211403233995952e-05,1.2792949632967066e-07
1806,2.2747895627617254e-05,2.4782355012575863e-07
1807,2.258774270558206e-05,2.0213381901612593e-07
1808,2.4518920781702036e-05,2.9685568847526156e-07
1809,2.840279148585978e-05,1.9653565375143955e-07
1810,2.6696166401052324e-05,1.4508786350120317e-07
1811,3.280509974956658e-05,4.2369597963443084e-07
1812,2.6082628437507083e-05,1.440292436427626e-07
1813,3.1233429126587e-05,7.764502640839055e-08
1814,2.4880776663849247e-05,1.3530711839848664e-07
1815,2.3681622224103194e-05,2.99391807345728e-07
1816,2.473346808073984e-05,1.4137383885781674e-07
1817,2.219478722054191e-05,3.1760218632825854e-07
1818,3.026667786798498e-05,2.0027577285475218e-07
1819,2.980895442306064e-05,1.7700296206513144e-07
1820,2.7404452112023137e-05,2.741157025809571e-07
1821,2.7602306658991438e-05,1.9427132569305172e-07
1822,2.485450363565178e-05,1.443688688596012e-07
1823,2.552006230871484e-05,2.5991465690822224e-07
1824,2.455596381878422e-05,2.248437054319652e-07
1825,2.67033868794897e-05,2.1133062944045378e-07
1826,2.652524437962711e-05,2.536699357236216e-07
1827,2.612636023968662e-05,1.087638210606201e-07
1828,2.5398102252438548e-05,2.2839030044963238e-07
1829,2.4340104346265434e-05,3.1034897496340363e-07
1830,2.482610079823644e-05,3.6528924240997185e-07
1831,2.5248398742405698e-05,4.3967202145722695e-07
1832,2.9634691827595816e-05,5.858476979092586e-07
1833,2.7282920427751378e-05,6.683753763780942e-07
1834,2.739498177106725e-05,6.664854836913037e-07
1835,2.686635718873731e-05,7.737038885125003e-07
1836,2.6696162990447192e-05,7.103832722066272e-07
1837,2.8485605525929714e-05,6.095112414783443e-07
1838,2.7173224907528493e-05,6.678267414628181e-07
1839,2.7301010732116993e-05,6.872619948694592e-07
1840,2.7588395710154145e-05,7.764650646890914e-07
1841,2.8096961841583834e-05,7.993583146514993e-07
1842,2.8579222544067306e-05,8.586579394176397e-07
1843,2.9381567173913936e-05,9.202967348187485e-07
1844,2.8093749506297172e-05,1.0669763490511741e-06
1845,2.7340885026205797e-05,9.960707263445556e-07
1846,2.7226357588006067e-05,9.560400471286812e-07
1847,2.8703275120278704e-05,1.0457460266621865e-06
1848,2.6990914420821355e-05,1.382973668029308e-06
1849,2.7888368208550673e-05,1.39601055693106e-06
1850,3.013160096543288e-05,1.1283310961118787e-06
1851,2.796025250972889e-05,1.0764112730043962e-06
1852,2.756174353635288e-05,9.303569328267258e-07
1853,2.838459215581679e-05,9.292326055287958e-07
1854,2.7388944317863206e-05,9.02486888776366e-07
1855,2.8526910000437056e-05,1.0205240421612416e-06
1856,2.7127954467687232e-05,9.588154643580538e-07
1857,2.754928391368594e-05,9.860647800508104e-07
1858,2.9581783110188553e-05,1.1788865883488597e-06
1859,2.6821495794138173e-05,1.0225083855175399e-06
1860,2.7797695111075882e-05,1.1470423117998507e-06
1861,2.742851677339786e-05,1.1148538590077806e-06
1862,2.87727953036665e-05,1.0766361135949865e-06
1863,2.9034730005150777e-05,1.0798369665110386e-06
1864,2.896159435294976e-05,1.1588857127264873e-06
1865,2.775767245566385e-05,9.48429121905292e-07
1866,2.68596435262225e-05,9.896656703034523e-07
1867,2.9428904326778138e-05,9.885176712742805e-07
1868,2.9551809120675898e-05,9.72661212017556e-07
1869,2.830145899679337e-05,1.0860946222379653e-06
1870,3.1369834005090524e-05,1.0068989588774002e-06
1871,2.669208049610461e-05,1.1534597987861162e-06
1872,2.914938397680089e-05,9.173813992902069e-07
1873,2.9397268122011155e-05,8.913160840506862e-07
1874,2.866796694434015e-05,9.541450864958279e-07
1875,3.0118691029201727e-05,9.966900762492514e-07
1876,2.98455477150128e-05,9.31690859573564e-07
1877,3.3209986895599286e-05,9.852412077293593e-07
1878,2.9792636951242457e-05,9.493447379327336e-07
1879,3.0991385528977844e-05,1.0098714282591459e-06
1880,3.225737805223616e-05,8.997820355460817e-07
1881,3.171235971421993e-05,8.360036609644794e-07
1882,3.1965148309609503e-05,9.823348463555703e-07
1883,3.178627571287507e-05,8.758603797787146e-07
1884,3.18584695833124e-05,9.592265808322509e-07
1885,3.1833060688768455e-05,9.578214665850737e-07
1886,3.253578302064852e-05,9.247813466117805e-07
1887,3.179912778250582e-05,8.481072804045198e-07
1888,3.195225986019068e-05,1.0087918029810794e-06
1889,3.074615801779146e-05,8.633358330456531e-07
1890,3.231377991141926e-05,9.838134218398409e-07
1891,3.154346518385864e-05,8.184498643259985e-07
1892,3.065239866373304e-05,8.757111604751344e-07
1893,3.1418393291460234e-05,7.433208697449345e-07
1894,3.152282101837045e-05,9.364087478758165e-07
1895,3.274788468843326e-05,9.130238218801878e-07
1896,3.278040458098985e-05,8.533000848132133e-07
1897,3.210926990959706e-05,8.606055956761338e-07
1898,3.32315192963506e-05,8.464898808568933e-07
1899,3.468334239187243e-05,9.899892425835333e-07
1900,3.3337982358716545e-05,8.591193099150018e-07
1901,3.3795664421631955e-05,9.33319414642142e-07
1902,3.1959074135556875e-05,7.84663367170424e-07
1903,3.471207753591443e-05,7.538707631482566e-07
1904,3.506029383970599e-05,8.733765994861642e-07
1905,3.591010840864328e-05,7.864996778295108e-07
1906,3.436212386986881e-05,7.232723184813494e-07
1907,3.316722597901389e-05,7.966264128356215e-07
1908,3.454523653090291e-05,7.666678492057599e-07
1909,3.37133274115331e-05,7.88841052923317e-07
1910,3.3754188734747004e-05,7.097032010960902e-07
1911,3.3795017770898994e-05,7.336795704304677e-07
1912,3.3738815545802936e-05,8.053765476745411e-07
1913,3.5336472137714736e-05,7.212066126527361e-07
1914,3.413932836338063e-05,7.861977078249538e-07
1915,2.880278543671011e-05,7.327633673170908e-07
1916,3.375677863459714e-05,7.987884931281997e-07
1917,3.629228478985169e-05,9.507889728865848e-07
1918,3.277867313045135e-05,8.430999969277764e-07
1919,3.135364443096478e-05,6.703313752964846e-07
1920,3.053881027881289e-05,8.056854312599171e-07
1921,3.2526465020055184e-05,6.633726741256396e-07
