year,trois_DET arts_NOUN,trois_DET quarts_NOUN
1800,3.144164395507687e-08,6.395230478517533e-06
1801,3.095537337571841e-08,6.122020622001401e-06
1802,5.594600338554301e-08,6.140633502127457e-06
1803,9.751696339321825e-09,6.291794278467933e-06
1804,7.4155526164076946e-09,4.402366501121691e-06
1805,2.5585899399160894e-08,5.762512900631123e-06
1806,5.76333825108577e-09,4.6510141551436845e-06
1807,2.2775641372874134e-08,5.389285931300947e-06
1808,6.798221985349073e-09,7.557356596521458e-06
1809,2.4849335478194234e-08,6.533116149398666e-06
1810,1.8721014072298203e-08,3.7184613388419052e-06
1811,3.5099073869560016e-08,4.745896223568025e-06
1812,2.6672082320544632e-09,5.851854950833513e-06
1813,1.4378708002027452e-08,4.914642666165037e-06
1814,1.2586708564299443e-08,6.038473628677821e-06
1815,1.3486118000116676e-08,5.464574755364993e-06
1816,2.7811246638975717e-08,4.558726885761644e-06
1817,1.401186100480345e-08,7.611554174502544e-06
1818,2.384235475716423e-09,5.470628202886019e-06
1819,1.3456364911235141e-08,3.6539207126651263e-06
1820,3.085285271708926e-08,5.053934494014811e-06
1821,9.86148829262845e-10,3.819354390088847e-06
1822,9.023054303725075e-09,3.626265240086468e-06
1823,5.929612356680991e-09,4.781244145490859e-06
1824,2.7789671008804362e-08,4.1827667800475865e-06
1825,1.0566531649658373e-08,4.588516201664561e-06
1826,1.0569580766173203e-08,6.3408677846155115e-06
1827,3.6869092223668076e-09,4.673157306456233e-06
1828,2.7516903755575584e-09,4.433890566701848e-06
1829,9.430493552731178e-09,4.287445232620257e-06
1830,1.4611570398059825e-08,4.648566651610508e-06
1831,4.677361609140007e-09,4.468439684046643e-06
1832,1.0823975493678972e-08,4.870788934852044e-06
1833,2.0850531967653296e-08,5.290242981459414e-06
1834,3.640467127752345e-08,5.5447113496143174e-06
1835,2.3445572594482655e-08,5.023402934511978e-06
1836,1.5457725766054864e-08,4.072774760999209e-06
1837,4.87052354003481e-09,4.225527220569347e-06
1838,1.5780404538645598e-08,4.278383222811044e-06
1839,8.38977065598101e-09,3.996327041733139e-06
1840,3.821813265858509e-08,3.6230788467150887e-06
1841,8.346713542550788e-09,4.074479889482063e-06
1842,1.0733224087289273e-08,3.575505179043148e-06
1843,1.8311423488626133e-08,3.635703869520057e-06
1844,9.330554107123135e-09,3.0801806936153753e-06
1845,1.3392547515422848e-08,3.402264901808394e-06
1846,4.27378594736183e-08,4.1725029618078224e-06
1847,1.88762818709165e-08,3.7024480690206474e-06
1848,1.126331028444838e-08,4.12719856512922e-06
1849,4.1897072478036534e-09,4.058988679389586e-06
1850,7.467895635215882e-09,4.562884264203149e-06
1851,9.674158363282004e-09,3.684564390482592e-06
1852,1.1718981340891332e-08,3.8731235534328334e-06
1853,1.0152284346531815e-08,4.072260381349224e-06
1854,9.871762074453727e-09,3.890513347926117e-06
1855,1.3798036491152743e-08,3.9738346586659645e-06
1856,3.1063134287023786e-09,3.6670031704488792e-06
1857,1.0739319711294826e-08,3.885193226693673e-06
1858,5.872411001917044e-09,3.7485559261085655e-06
1859,2.4442432078330967e-08,3.861395093451847e-06
1860,1.0985241161165504e-08,4.620209260508545e-06
1861,1.131831339762357e-08,3.685525683749802e-06
1862,1.1746764450037972e-08,4.051278295946759e-06
1863,1.2986014041871385e-08,4.270400900452387e-06
1864,1.1507347408290514e-08,4.339228915739568e-06
1865,1.8827376990770972e-08,3.876086186238581e-06
1866,6.325297008391573e-09,4.504584499187558e-06
1867,1.747012134956094e-08,4.041906898066827e-06
1868,2.321740755206747e-08,5.652698050084837e-06
1869,8.301982323821733e-09,4.391260461034108e-06
1870,2.1789386295267832e-08,3.7368795346992556e-06
1871,1.0621177271019633e-09,4.423720419310939e-06
1872,1.4513614199351821e-08,4.47563601113643e-06
1873,1.6162211291526063e-08,4.744507251075447e-06
1874,4.182226343019124e-09,4.371621365351075e-06
1875,2.0597497041308088e-08,4.702523092703359e-06
1876,1.753344314181504e-08,5.196549878405676e-06
1877,1.6699003291265058e-08,4.395548501179292e-06
1878,8.4547240319921e-09,4.356598402921463e-06
1879,8.553055264037823e-09,4.529453839552389e-06
1880,2.5029599504122757e-08,4.536775342955934e-06
1881,6.275256814181063e-09,4.483322484816199e-06
1882,1.3310770041741193e-08,4.4058651695877415e-06
1883,1.579834707499117e-08,4.302206093598215e-06
1884,2.3766108192546653e-08,4.247531627754597e-06
1885,1.5469526104539e-08,4.376586801413396e-06
1886,1.7424351739236954e-08,4.307687049731612e-06
1887,1.1752064210668323e-08,4.81704060462107e-06
1888,1.0779045211961602e-08,4.534173690728949e-06
1889,6.891650361495749e-09,4.598610246375756e-06
1890,2.6217545912032847e-09,4.749308253337858e-06
1891,7.011642266796514e-09,5.025434987260269e-06
1892,3.1342561879199593e-09,4.4932698060051735e-06
1893,4.310891643655168e-09,4.328135226217e-06
1894,1.071261657159539e-08,4.7129214379992845e-06
1895,1.023164486468886e-08,4.597017792207225e-06
1896,1.2383760683576384e-08,4.665729278485742e-06
1897,7.574727511894253e-09,4.799464100813111e-06
1898,7.921697076085366e-09,4.362025833870575e-06
1899,9.39688327150634e-09,4.619950104256532e-06
1900,8.824790675987515e-09,4.604983061540224e-06
1901,6.706486921359556e-09,4.444165291772606e-06
1902,8.838511089681589e-09,3.986659592669639e-06
1903,5.400220270956879e-09,4.134408861489192e-06
1904,1.5048950530172078e-08,4.094389296938061e-06
1905,1.3934049469810361e-08,4.3768397191001895e-06
1906,1.3889298322578014e-08,4.782548501225392e-06
1907,6.685696163355459e-09,4.864615583244358e-06
1908,9.331638795018193e-09,4.853925773318224e-06
1909,1.1001967337165297e-08,5.387663271960719e-06
1910,2.0842187531400214e-08,4.471451006793359e-06
1911,9.044636040123066e-09,4.519125937463286e-06
1912,8.335073964360618e-09,4.32069383293765e-06
