year,mes_DET ouvertures_NOUN,mes_DET couvertures_NOUN
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,9.524730337773235e-09,2.3811825844433088e-09
1802,0.0,4.4756802708434407e-08
1803,0.0,1.1702034896643454e-08
1804,0.0,2.4718509905596875e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,5.187004603612877e-08
1807,0.0,2.8469551160981155e-09
1808,4.5321479902327155e-09,0.0
1809,2.259030518203531e-09,4.518061036407062e-09
1810,3.042164919975221e-08,3.042164919975221e-08
1811,0.0,1.0028307073639553e-08
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,2.8757416448144113e-09,6.614205716459765e-08
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,0.0,8.091670444798638e-09
1816,3.7081662185300956e-08,1.1588019432906549e-08
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,2.1458118615313992e-08
1819,0.0,1.0351049795076506e-08
1820,2.3732962262101864e-08,5.933240565525466e-09
1821,5.9168927535324656e-09,5.5224333550540905e-08
1822,3.0076847679083585e-09,6.015369535816717e-09
1823,5.929612356680991e-09,1.581229902569703e-08
1824,0.0,5.894778887238772e-09
1825,1.3208164340028361e-08,4.754939197937347e-08
1826,4.403992170942672e-09,1.76159691278599e-08
1827,9.217273055917019e-10,1.2904182611350734e-08
1828,2.7516904310687096e-09,2.935136400594729e-08
1829,4.286587973467704e-09,1.800366966620004e-08
1830,3.1310507520032616e-09,1.461157062010443e-08
1831,0.0,6.236482441579483e-09
1832,5.411987746839486e-09,1.0823975493678972e-08
1833,0.0,5.09679658478035e-08
1834,1.0267983796552471e-08,3.547121707470069e-08
1835,1.4369867074037757e-08,4.0084366048631637e-08
1836,5.376600054063374e-09,1.8818100855355624e-08
1837,2.087367334535628e-08,1.1828414692161004e-08
1838,6.312161904276081e-10,2.840472923537618e-08
1839,6.9914751765765e-10,1.957613093850341e-08
1840,2.5478754661634184e-09,2.8663599493938818e-08
1841,0.0,2.1829865914924085e-08
1842,6.708265054555795e-10,4.159124156188909e-08
1843,5.906911071384968e-10,1.1813821920725331e-08
1844,3.841992946007622e-09,5.488561161115513e-09
1845,6.138250796539069e-09,1.1718478631905782e-08
1846,1.7563503984519002e-09,5.269050973311096e-09
1847,3.235934187273415e-09,6.47186837454683e-09
1848,1.367687652020777e-08,1.6090443422100975e-09
1849,1.3407063903514427e-08,1.0893239199560867e-08
1850,3.394498016007219e-09,3.1229383523623255e-08
1851,3.8696632564949596e-09,1.5478653025979838e-08
1852,3.2552727180501506e-09,1.6927417689771573e-08
1853,1.7915795513800958e-09,1.7318601663873778e-08
1854,7.79349651480743e-09,1.0910895298366086e-08
1855,0.0,1.8043586180738203e-08
1856,3.1063134287023786e-09,2.692138423299184e-08
1857,7.322263795295214e-09,1.4156376515472857e-08
1858,5.3830437884982985e-09,2.4468379322684086e-08
1859,5.092173349652285e-09,2.5460867192350634e-08
1860,1.327383358784573e-08,3.4328881071132855e-08
1861,9.431927239234028e-09,4.857442653660726e-08
1862,9.035972858839614e-09,1.1294965851504912e-08
1863,2.3974180862751382e-08,2.946826249683454e-08
