year,bateaux_NOUN ouverts_ADJ,bateaux_NOUN couverts_ADJ
1800,1.8864987794131594e-08,0.0
1801,0.0,2.1430643926123594e-08
1802,2.6854081625060644e-08,1.1189200677108602e-08
1803,1.950339267864365e-08,3.705644502360883e-08
1804,0.0,3.213406074564773e-08
1805,0.0,3.1271653710973624e-08
1806,2.881669125542885e-09,5.187004603612877e-08
1807,0.0,4.27043254092041e-08
1808,0.0,3.852325747288887e-08
1809,2.0331274441787173e-08,1.8072244145628247e-08
1810,0.0,2.106114038724627e-08
1811,0.0,3.259199843341776e-08
1812,1.3336041604361526e-08,1.8670457180292033e-08
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,1.8880061958270744e-08,2.8320094713762956e-08
1815,0.0,2.1577788444915313e-08
1816,6.952811659743929e-09,1.622322720606917e-08
1817,7.784366928831332e-09,4.981994905506326e-08
1818,1.5497530370112145e-08,7.152706427149269e-09
1819,6.210630232317271e-09,1.449147024601416e-08
1820,7.119888678630559e-09,1.6613073583471305e-08
1821,3.94459531705138e-09,3.94459531705138e-09
1822,1.804610860745015e-08,1.5038423839541792e-08
1823,0.0,2.668325471688604e-08
1824,0.0,1.51580028528997e-08
1825,1.7610886082763955e-09,5.283265824829186e-09
1826,1.8496766784892316e-08,3.082794464148719e-08
1827,7.373818444733615e-09,1.6591091167583727e-08
1828,1.4675682002973645e-08,3.944089499441361e-08
1829,2.571952872898464e-09,8.573175946935407e-09
1830,1.0436835840010872e-09,1.6698937344017395e-08
1831,1.5591206103948707e-09,1.7150327380477393e-08
1832,0.0,9.470978667991403e-09
1833,8.108539617524002e-09,2.0850531967653296e-08
1834,0.0,1.6802156110884425e-08
1835,7.563087933704082e-10,2.4958190181223472e-08
1836,3.36037508930076e-09,3.36037508930076e-09
1837,2.0873671680021744e-09,9.74104708006962e-09
1838,8.2058102535143e-09,2.7773513266993177e-08
1839,0.0,9.788065469251706e-09
1840,8.917564464638872e-09,2.356784811752277e-08
1841,5.778493683550323e-09,8.988767952189392e-09
1842,0.0,1.1404051036834062e-08
1843,7.088293507706567e-09,1.063243981747064e-08
1844,0.0,1.811225303072206e-08
1845,0.0,8.37034175305007e-09
1846,0.0,1.8148954339380907e-08
1847,5.9325460100012606e-09,7.550513103637968e-09
1848,0.0,2.172209789819135e-08
1849,7.54147322368226e-09,1.3407063903514427e-08
1850,3.394498016007219e-09,1.2899092460827433e-08
1851,0.0,2.1283147688677673e-08
1852,2.6042181744401205e-09,1.5625309046640723e-08
1853,6.569124799682413e-09,9.555090940693844e-09
1854,2.0782657816909023e-09,8.832629738719788e-09
1855,5.306937111981824e-10,2.0697054736729115e-08
1856,9.318940286107136e-09,9.318940286107136e-09
1857,1.4644527812635033e-09,2.2943092758964667e-08
1858,9.787352039936081e-10,5.3830437884982985e-09
1859,6.110608019582742e-09,1.629495471888731e-08
1860,9.154367819341758e-10,5.492620580582752e-09
1861,2.8295783494058924e-09,1.4147890858851042e-08
1862,9.035972525772706e-10,1.400575744270327e-08
1863,0.0,1.048870412745373e-08
1864,1.1507347075223606e-08,1.2945765348604255e-08
1865,0.0,1.9298061815220535e-08
1866,4.865612912574591e-10,3.4059290943133647e-09
1867,2.91168689159349e-09,1.8925964795357686e-08
1868,4.93987406535723e-10,4.93987406535723e-10
1869,5.371870948067681e-09,5.860222973552709e-09
1870,1.1468097582678638e-09,1.204150201772336e-08
1871,6.37270636261178e-09,7.434824311758348e-09
1872,2.4189357183956872e-09,4.23313739617015e-09
1873,0.0,1.1972009161809183e-08
1874,0.0,3.5847653734322193e-09
1875,0.0,2.8607636259891933e-09
1876,2.418405919968336e-09,7.255217759905008e-09
1877,0.0,1.36065949618569e-08
1878,0.0,9.058632954861423e-09
1879,4.27652757650776e-09,3.0546627449723474e-09
1880,6.417846254436199e-10,3.2089231272180996e-09
1881,1.3945015142624584e-09,6.972507571312292e-10
1882,6.655385131892899e-10,4.6587693702804245e-09
1883,0.0,1.2006744043446815e-08
1884,6.601696966868076e-09,5.281357573494461e-09
1885,1.160214413431504e-08,5.80107206715752e-09
1886,6.4534639854230136e-09,1.613365974151293e-08
1887,6.528924623161458e-10,1.1099172247952538e-08
1888,0.0,1.9021844099853524e-09
1889,0.0,3.759081934617825e-09
1890,5.243509182406569e-09,5.898947996740844e-09
1891,1.211101796627645e-08,1.4023283867459213e-08
1892,4.387958441043338e-09,1.002961980134387e-08
1893,0.0,1.2316833108982905e-09
1894,6.301539290376468e-10,1.071261657159539e-08
1895,0.0,4.814891596538473e-09
1896,0.0,8.255840455717589e-09
1897,3.4960281336537946e-09,1.1653427112179315e-09
1898,0.0,2.8291773368493978e-09
1899,4.9748205555033564e-09,2.7637891975018647e-09
1900,1.038210628578895e-09,6.748368974740515e-09
1901,0.0,8.38310842965484e-09
1902,0.0,5.4013122863239005e-09
1903,5.400220270956879e-09,1.0260418292773466e-08
1904,5.374625189347171e-10,2.1498500757388683e-09
1905,0.0,7.741138396966107e-09
1906,0.0,1.0802787109298606e-08
1907,0.0,3.599990305858114e-09
1908,0.0,3.929111258571538e-09
1909,2.2003934230241384e-09,1.7603147384193107e-08
1910,0.0,4.809735720812114e-09
