year,soyez_VERB en_ADP
1800,2.0122652699683385e-07
1801,6.572063853127474e-07
1802,2.2825969381301547e-07
1803,2.7304750460643845e-07
1804,3.9549615848955e-07
1805,3.3261667908845993e-07
1806,6.743105700479646e-07
1807,1.7366426163789583e-07
1808,2.22075257738652e-07
1809,1.2650571079575457e-07
1810,3.603795164508483e-07
1811,2.6575014544505393e-07
1812,2.1337666566978442e-07
1813,1.6104152678053651e-07
1814,1.4160046646338742e-07
1815,1.6183341244868643e-07
1816,2.0858435334503156e-07
1817,2.1796228111270466e-07
1818,4.172412104708201e-07
1819,3.5090059213871427e-07
1820,4.0227371300716186e-07
1821,3.7375039596554416e-07
1822,3.1480433904107485e-07
1823,4.081549604961765e-07
1824,2.913704975071596e-07
1825,3.0554886620848265e-07
1826,2.589547420939198e-07
1827,3.336652980578947e-07
1828,3.824849557076959e-07
1829,2.297611132462407e-07
1830,1.9203777412712952e-07
1831,2.1204040479005926e-07
1832,2.0700852587651752e-07
1833,2.108220371610514e-07
1834,2.00692412022363e-07
1835,3.1991862670111004e-07
1836,3.635925907019555e-07
1837,3.103219228250964e-07
1838,2.789975610539841e-07
1839,2.9713768867623003e-07
1840,2.0828882441037422e-07
1841,2.7544152203518024e-07
1842,2.36130929920364e-07
1843,2.6462961955076025e-07
1844,2.3820355465886678e-07
1845,3.119347411484341e-07
1846,2.4881632043616264e-07
1847,1.7851570532911865e-07
1848,2.2607072480695933e-07
1849,2.32109798048441e-07
1850,2.545873485360062e-07
1851,2.5088317556765105e-07
1852,2.884171692585369e-07
1853,2.2932218257665227e-07
1854,3.190137931596837e-07
1855,2.8710530841635773e-07
1856,2.485050742961903e-07
1857,2.650659496339358e-07
1858,2.911737340127729e-07
1859,2.749773670984723e-07
1860,2.572377297838102e-07
1861,2.971057142531208e-07
1862,4.671597935157479e-07
1863,3.401336812203226e-07
1864,2.8432737053663004e-07
1865,3.2618430623188033e-07
1866,2.5009251203300664e-07
1867,2.906834026816796e-07
1868,2.3513800329055812e-07
1869,2.515012340609246e-07
1870,2.328023782638411e-07
1871,2.8783389893760614e-07
1872,2.6729239266387594e-07
1873,2.909198144607217e-07
1874,2.037341744198784e-07
1875,2.345826146665786e-07
1876,2.3095776668924373e-07
1877,2.2512730879498122e-07
1878,2.0532901601200138e-07
1879,2.510932688437606e-07
1880,2.37460312746407e-07
1881,2.3009275196272938e-07
1882,2.15634472056081e-07
1883,2.5024581873367424e-07
1884,2.099339582173343e-07
1885,2.1721791654272238e-07
1886,1.755342111664504e-07
1887,2.3438839491518593e-07
1888,1.7183066347570275e-07
1889,1.5349584714385855e-07
1890,1.7434668109217455e-07
1891,1.5808065256806003e-07
1892,1.5107114847978664e-07
1893,1.250158589982675e-07
1894,1.4304494300176884e-07
1895,1.3120579467340576e-07
1896,1.2501701007749944e-07
1897,1.637306468182942e-07
1898,1.5956560162067035e-07
1899,1.475863484756701e-07
1900,1.3548648780670192e-07
1901,1.005972976031444e-07
1902,1.1637372665518342e-07
1903,1.3338544135876873e-07
1904,1.580139752377363e-07
1905,1.3727618863867974e-07
1906,1.208883304570918e-07
1907,1.2497109480591462e-07
1908,1.3064294535070076e-07
1909,1.6943029379490326e-07
1910,1.1383040998680372e-07
1911,1.0481137024953568e-07
1912,1.3440306645406963e-07
1913,1.320444482644234e-07
1914,1.2857748288297444e-07
1915,1.425472220262236e-07
1916,1.4723198660249182e-07
1917,1.217273108977679e-07
1918,8.729645628591243e-08
1919,1.0957339213746309e-07
1920,1.476585254067686e-07
1921,1.347949023511319e-07
1922,1.416563577549823e-07
1923,1.2632978041438037e-07
1924,1.366512236700146e-07
1925,1.627730341624556e-07
1926,1.2818058792163356e-07
1927,9.699825653797234e-08
1928,1.1883082606800599e-07
1929,1.3702700130124867e-07
1930,8.507918636269096e-08
1931,1.1063195870519849e-07
1932,9.425201596968691e-08
1933,9.061822936473618e-08
1934,7.668211310374318e-08
1935,9.933675926276919e-08
1936,9.33602990471627e-08
1937,9.569249925789336e-08
1938,1.1150084588962272e-07
1939,9.482311469355409e-08
1940,8.621661606866837e-08
1941,1.5052663115966425e-07
1942,1.1226583751522412e-07
1943,8.709705667797607e-08
1944,1.0924833304670756e-07
1945,7.406913482554955e-08
1946,1.0997672461598995e-07
1947,1.4066627329611947e-07
1948,1.0328293598149685e-07
1949,1.2173090624401084e-07
1950,1.063536174683577e-07
1951,1.0021717855579482e-07
1952,1.4235484968594392e-07
1953,1.335954635806047e-07
1954,9.38163466912556e-08
1955,9.479463614070482e-08
1956,9.854890237193104e-08
1957,1.0867096023048362e-07
1958,9.264912392836777e-08
1959,1.3253779229671636e-07
1960,1.2249874714598263e-07
1961,1.5563877298063744e-07
1962,1.3825464861838554e-07
1963,1.2867445775555097e-07
1964,1.4540684389885428e-07
1965,1.242153899738696e-07
1966,1.0635023528493548e-07
1967,1.2276535699129454e-07
1968,1.2261564563686989e-07
1969,1.2898591705834406e-07
1970,1.053108036330741e-07
1971,1.4130593228856014e-07
1972,1.3851396829522855e-07
1973,1.3066292581243033e-07
1974,9.5072159922438e-08
1975,1.0851812248802162e-07
1976,1.1027106694427857e-07
1977,8.286262698220526e-08
1978,1.1524747378643951e-07
1979,1.3693617972876382e-07
1980,1.0176420062180114e-07
1981,1.0184134424662261e-07
1982,1.0490678903352091e-07
1983,8.525676520321213e-08
1984,8.52454249411494e-08
1985,6.677269226429416e-08
1986,1.0670184025229901e-07
1987,1.1427227519789085e-07
1988,1.0434003883119658e-07
1989,9.49445109199587e-08
1990,8.826814479334644e-08
1991,1.0023105545542421e-07
1992,9.256706334781484e-08
1993,9.305868786668725e-08
1994,1.1024596346942417e-07
1995,1.203784023573462e-07
1996,1.0142375117538904e-07
1997,1.0117227589034883e-07
1998,9.202489081872045e-08
1999,1.1059886872999414e-07
2000,9.984751159208827e-08
2001,1.0383472215380607e-07
2002,1.0383494952748151e-07
2003,1.0917337789351222e-07
2004,1.167269658708392e-07
2005,1.0493736368744067e-07
2006,1.2353669376352627e-07
2007,1.4619794796999486e-07
2008,1.8008969959737442e-07
2009,1.7165493204629456e-07
2010,2.3996869913389673e-07
2011,3.372743151430768e-07
2012,3.7821246223757043e-07
2013,3.6258626323615317e-07
2014,3.443057892127399e-07
2015,3.936637824608624e-07
2016,4.5030932938061596e-07
2017,4.1633367686699785e-07
2018,3.9548069707961986e-07
2019,3.887705304350675e-07
