year,ces_DET ouvertures_NOUN,ces_DET couvertures_NOUN
1800,1.1853499870539963e-06,8.803660378475797e-08
1801,1.2786950165377675e-06,9.762848840466631e-08
1802,1.4456447274824313e-06,6.713520406265161e-08
1803,8.796029788982196e-07,9.166594150400442e-08
1804,8.82450812866864e-07,2.1010733419757344e-07
1805,1.1968515138960356e-06,1.449867657044024e-07
1806,7.434706503772759e-07,4.8988376022407465e-08
1807,7.060448581341916e-07,3.4163463169534225e-08
1808,9.358885932897465e-07,7.931258849680489e-08
1809,1.2921654999331622e-06,3.140052342587296e-07
1810,8.143641281321834e-07,7.722417993960562e-08
1811,1.103113810074774e-06,1.353821428295987e-07
1812,1.554982418383588e-06,9.335229123053068e-08
1813,9.173615609370245e-07,1.7254449247161574e-07
1814,1.2775509006246466e-06,7.552024960943982e-08
1815,1.1625033664586226e-06,4.315557666778602e-08
1816,1.4786312902970167e-06,2.5493643107665775e-07
1817,9.450221440943096e-07,8.87417828110415e-08
1818,1.025221280315236e-06,8.344824387052086e-08
1819,1.450182125495303e-06,8.798392592268556e-08
1820,1.1712216405612708e-06,2.610625848831205e-08
1821,1.0206640297383274e-06,6.804427066242624e-08
1822,1.062715256239244e-06,7.318699601910339e-08
1823,9.932100226706098e-07,8.597937384280385e-08
1824,9.507436260491886e-07,8.336901657912676e-08
1825,9.756430898733015e-07,1.1887348261296893e-07
1826,9.574279005164499e-07,3.2589542175998076e-08
1827,1.2231321875333379e-06,8.111200305860322e-08
1828,1.2125781836402894e-06,4.1275355133763014e-08
1829,1.1590934434480005e-06,6.344150271786475e-08
1830,9.487083900694415e-07,1.398536007002349e-07
1831,1.0789114810449973e-06,2.6505050376712802e-08
1832,1.1392234569029824e-06,1.2447572039775423e-07
1833,1.0575852655847484e-06,9.730247541028803e-08
1834,1.0585358012349388e-06,1.1481473194407954e-07
1835,1.0626138475799962e-06,5.294161553592858e-08
1836,1.1593294004796917e-06,5.645429901335319e-08
1837,1.4138434494270768e-06,5.914207346080502e-08
1838,1.1551256164921142e-06,7.511472333021629e-08
1839,1.019357071641025e-06,4.1249704985091284e-08
1840,1.215973512103119e-06,5.414235504375142e-08
1841,1.003531764354193e-06,6.741575830915281e-08
1842,1.1014971477152358e-06,3.4882977839600926e-08
1843,9.994493268550286e-07,5.493427357450287e-08
1844,1.0148349787186817e-06,7.190015516300718e-08
1845,1.1054431610091342e-06,5.970843997005204e-08
1846,1.060250184536926e-06,6.908311611653062e-08
1847,9.874992628056134e-07,9.761735064728327e-08
1848,9.678401582391416e-07,8.286578179195203e-08
1849,1.2719951740791657e-06,6.033178756581492e-08
1850,1.057046688401897e-06,7.264225931891133e-08
1851,1.0860855041983086e-06,7.803820767371406e-08
1852,1.0696826251432867e-06,8.984552390955969e-08
1853,9.31024160877314e-07,4.359510263896027e-08
1854,1.0079589003453293e-06,7.689583103598352e-08
1855,1.0300764898829584e-06,7.429711956774554e-08
1856,9.898785577888702e-07,5.7466799763261633e-08
1857,8.76230878077422e-07,4.7838790040444223e-08
1858,9.802033318351278e-07,9.591605065750741e-08
1859,1.0393125648988644e-06,6.874433911008282e-08
1860,9.200139885479075e-07,4.668727626722102e-08
1861,1.006386682433913e-06,5.989273876849666e-08
1862,8.118821313018998e-07,5.783022460903453e-08
1863,9.694558826822686e-07,7.242200172896673e-08
1864,9.479177265347971e-07,6.137251684634748e-08
1865,9.008900150320187e-07,6.071829394826977e-08
1866,9.147352102445439e-07,7.24976301214042e-08
1867,1.053545389595456e-06,6.745407965524919e-08
1868,9.41046025104697e-07,1.225088759326809e-07
1869,9.30798719878112e-07,7.520619327294753e-08
1870,1.0332756090747353e-06,6.651496420317926e-08
1871,1.0026391237261123e-06,6.266494700923886e-08
1872,9.548748920451544e-07,7.135860258244975e-08
1873,9.296264948943644e-07,7.781805422268917e-08
1874,9.320390006450907e-07,7.76699158322458e-08
1875,9.240266081178561e-07,1.2301283192073242e-07
1876,8.168166090172235e-07,5.743713948902496e-08
1877,9.475138256220816e-07,5.380789891429316e-08
1878,9.106945952908063e-07,5.918307000030154e-08
1879,6.372026462031499e-07,5.9260453433296334e-08
1880,7.823354337688215e-07,5.262634017455525e-08
1881,8.820222205940809e-07,5.6477310828029204e-08
1882,7.420754286613374e-07,6.256062157206088e-08
1883,7.55792910922537e-07,7.014466074650727e-08
1884,8.21251120441957e-07,7.459917927832294e-08
1885,7.766990890445413e-07,5.414333914544045e-08
1886,8.312061581250418e-07,7.486018116509285e-08
1887,7.175287990435208e-07,7.116527811490414e-08
1888,7.786274949239669e-07,5.896771693159053e-08
1889,5.839107544147737e-07,6.954301667860818e-08
1890,6.646147738820218e-07,8.192983180776992e-08
1891,7.387721012719339e-07,4.461953917456185e-08
1892,7.609974019828769e-07,6.707308042308568e-08
