year,livres_NOUN ouverts_ADJ,livres_NOUN couverts_ADJ
1800,1.8864987794131594e-08,0.0
1801,5.2386017301842e-08,9.52473055981784e-09
1802,1.5664880947952042e-08,4.475680270843441e-09
1803,2.7304748684287006e-08,0.0
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,1.421438877713399e-08,0.0
1806,1.729001475325731e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,0.0,2.3401267590372754e-09
1811,2.5070767684098882e-09,3.5099072981381596e-08
1812,1.8670457180292033e-08,0.0
1813,1.7254450312975678e-08,8.627224934443234e-09
1814,4.72001566720337e-08,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,1.8631890696951814e-08,0.0
1820,8.306536791735653e-09,0.0
1821,2.9584464655840748e-08,4.930744257336528e-09
1822,1.5038423839541792e-08,0.0
1823,2.4706716672540097e-08,1.680056804787e-08
1824,3.9579230559638745e-08,5.894778887238772e-09
1825,2.905796137042671e-08,6.163809906922779e-09
1826,1.8496767562048433e-08,5.284790383086602e-09
1827,1.3825909306319772e-08,4.608636583469661e-09
1828,7.337841001486822e-09,3.668920500743411e-09
1829,3.257806824308318e-08,0.0
1830,1.3567886369969528e-08,8.349468672008697e-09
1831,6.236482441579483e-09,0.0
1832,6.764984572527055e-09,0.0
1833,1.2741991128883967e-08,3.4750886612755494e-09
1834,3.173740625861399e-08,0.0
1835,1.4369867074037757e-08,9.075705520444899e-09
1836,6.048674894287842e-09,0.0
1837,9.74104708006962e-09,1.3915781860163179e-09
1838,2.2723781967215473e-08,1.8936485712828244e-09
1839,2.6567605004856887e-08,2.0974426639952526e-09
1840,2.7389662093924017e-08,5.732719632334238e-09
1841,1.926164472365599e-08,1.0914932957462042e-08
1842,2.1466448174578545e-08,1.2074877098200432e-08
1843,2.1855571574747046e-08,7.088293507706567e-09
1844,2.6893950177964143e-08,2.7442805805577564e-09
1845,2.7901139010300113e-08,1.0044410636567136e-08
1846,1.6978054739880122e-08,4.0981511517657054e-09
1847,3.721324404182269e-08,1.7258315665458213e-08
1848,5.470750608083108e-08,1.6090443422100975e-09
1849,4.1059134758825167e-08,6.703531951757213e-09
1850,4.8880771430503955e-08,6.788996032014438e-09
1851,4.708090162175438e-08,1.483370937194195e-08
1852,1.9531637196479323e-08,6.510545436100301e-10
