year,mois_NOUN couverts_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,0.0
1819,1.035105001712111e-09
1820,0.0
1821,9.86148829262845e-10
1822,3.0076847679083585e-09
1823,0.0
1824,0.0
1825,6.163809906922779e-09
1826,0.0
1827,2.7651818612639545e-09
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,6.236482441579483e-09
1832,0.0
1833,0.0
1834,1.8669061851994684e-09
1835,0.0
1836,6.720750067579218e-10
1837,0.0
1838,5.680945491803868e-09
1839,0.0
1840,1.2739377330817092e-09
1841,4.494383976094696e-09
1842,0.0
1843,2.953455480181333e-09
1844,1.6465684371524958e-09
1845,1.1160455892778032e-09
1846,4.6836010625384006e-09
1847,1.6179670936367074e-09
1848,0.0
1849,5.865590679832167e-09
1850,2.0366988096043315e-09
1851,8.384270167027807e-09
1852,1.3021090872200602e-09
1853,0.0
1854,2.5978321716024766e-09
1855,5.306937111981824e-10
1856,5.177189343896771e-09
1857,3.905207268672939e-09
1858,1.9574704079872163e-09
1859,8.147477359443656e-09
1860,0.0
1861,1.8863854922557266e-09
1862,4.066187830886747e-09
1863,1.4983863039219614e-09
1864,1.9178911792039344e-09
1865,1.4120533631256649e-09
1866,4.865612801552288e-09
1867,6.79393608038481e-09
1868,9.87974813071446e-10
1869,3.906815315701806e-09
1870,5.734048791339319e-10
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,5.986004469882289e-10
1874,1.7923826867161097e-09
1875,0.0
1876,1.813804439976252e-09
1877,4.9478527941460015e-09
1878,3.6234530931267273e-09
1879,1.221865097988939e-08
1880,3.2089231272180996e-09
1881,2.7890030285249168e-09
1882,2.6621540527571597e-09
1883,6.319338941018771e-10
1884,1.9805090900604227e-09
1885,1.933690763067375e-09
1886,4.5174246565693466e-09
1887,1.3057849246322917e-09
1888,5.07249175996094e-09
1889,1.8795409673089125e-09
1890,1.3108772956016423e-09
1891,3.824531802365527e-09
1892,1.2537024751679837e-09
1893,4.310891643655168e-09
1894,3.150769645188234e-09
1895,1.8055843487019274e-09
1896,7.66613794667137e-09
1897,1.1653427112179315e-09
1898,3.960848538042683e-09
1899,1.6582735185011188e-09
1900,4.671947717582725e-09
1901,5.58873880507349e-09
1902,0.0
1903,2.1600881083827517e-09
1904,1.0749250378694342e-09
1905,7.741138396966107e-09
1906,1.5432553013283723e-09
1907,1.028568674676933e-09
1908,4.911389073214423e-10
1909,1.1001967115120692e-09
1910,1.6032452032632705e-09
1911,2.128149656499545e-09
1912,1.5628263128064646e-09
1913,2.121195885607108e-09
1914,6.696743715117748e-10
1915,2.3561523843085297e-09
1916,2.197492410260793e-09
