year,plus_ADV osé_VERB,plus_ADV causé_VERB
1800,7.860410988769218e-08,0.0
1801,1.7858869227893592e-07,2.1430643926123594e-08
1802,6.937304419807333e-08,2.2378401354217203e-09
1803,9.361627917314763e-08,0.0
1804,6.673997887673977e-08,9.887403784603066e-09
1805,1.194008660831969e-07,1.421438877713399e-08
1806,1.123850950079941e-07,0.0
1807,8.54086508184082e-08,8.540865792383556e-09
1808,5.4385775882792586e-08,6.798221985349073e-09
1809,7.228897658251299e-08,2.4849335034105025e-08
1810,5.8503168531842675e-08,2.3401266702194334e-08
1811,1.0279014617253779e-07,1.2535384286138651e-08
1812,9.335229123053068e-08,0.0
1813,1.6966875193702435e-07,5.751483289628823e-09
1814,1.0698702368472368e-07,1.5733386149463513e-08
1815,7.282503844407984e-08,1.0788894222457657e-08
1816,7.879853569647821e-08,2.3176038865813098e-09
1817,9.652615062805125e-08,2.3353100786493997e-08
1818,4.6492591110336434e-08,4.768470951432846e-09
1819,1.0351050150347874e-07,6.210630232317271e-09
1820,5.814575843032799e-08,2.4919611263385377e-08
1821,1.34116234562498e-07,3.648750634965836e-08
1822,7.619468078701175e-08,2.105379337535851e-08
1823,1.2452186126665765e-07,2.3718449426723964e-08
1824,1.0021123841852386e-07,2.2737005167527968e-08
1825,8.805442774928451e-08,1.4969252504215547e-08
1826,7.398706713956926e-08,3.5231937367541377e-09
1827,6.636436467033491e-08,1.474763688946723e-08
1828,8.89713192009367e-08,1.3758452155343548e-08
1829,9.259029809527419e-08,1.5431716349212365e-08
1830,8.140732177253085e-08,8.349468672008697e-09
1831,7.795603096383275e-08,6.236482441579483e-09
1832,1.244757186213974e-07,3.92369123858316e-08
1833,1.1467792404573629e-07,1.853380560135065e-08
1834,1.1294782353843402e-07,1.4001796166951408e-08
1835,7.865611451052246e-08,6.050470346963266e-09
1836,1.0215540413582858e-07,9.409050427677812e-09
1837,7.305785487687899e-08,1.461157062010443e-08
1838,1.0162580821315714e-07,1.4517972601879592e-08
1839,9.648235987924636e-08,3.4957374772659477e-09
1840,1.3440043744594732e-07,7.0066574764382494e-09
1841,8.796151718115652e-08,1.219904177673925e-08
1842,1.1336967986608215e-07,2.0124795163667386e-09
1843,7.797122947295065e-08,1.594865928211675e-08
1844,1.2513919500634074e-07,1.5367971784030487e-08
1845,8.7051553521178e-08,1.3950569588416784e-08
1846,9.659927258098833e-08,1.8734404250153602e-08
1847,7.658377398911398e-08,1.77976389181822e-08
1848,9.412909207640041e-08,8.84974404868899e-09
1849,1.1563592750007956e-07,5.02764896381791e-09
1850,8.62202469420481e-08,4.073397619208663e-09
1851,8.964720166204643e-08,2.96674187438839e-08
1852,1.3672145371401712e-07,9.765818376195057e-09
1853,7.226037723739864e-08,5.971931837933653e-09
1854,6.078927583530458e-08,7.27393034694046e-09
1855,7.270503488143731e-08,1.4328730202350926e-08
1856,6.419714537742038e-08,1.501384794266869e-08
1857,9.616572782533694e-08,3.270611159678083e-08
1858,1.2870367527284543e-07,2.4468380654951716e-09
1859,8.554851405051522e-08,2.036869339860914e-09
1860,1.4097726364070695e-07,5.492620580582752e-09
1861,9.90352404528494e-08,2.8295783494058924e-09
1862,1.0029929597976661e-07,4.066187830886747e-09
1863,9.439833092983463e-08,1.1987090431375691e-08
1864,1.0931979943507031e-07,2.3973640850272204e-09
1865,1.0260920646487648e-07,6.589582213223366e-09
1866,8.612134649865766e-08,9.244664589402873e-09
1867,7.958610837022206e-08,6.308654931785895e-09
1868,1.0917121784359551e-07,1.6301584082611953e-08
1869,1.3966864287340286e-07,9.278686263769487e-09
1870,1.387639798622331e-07,1.548193218070537e-08
1871,1.327647112248087e-07,4.248470908407853e-09
1872,1.2880832400696818e-07,1.2094678591978436e-09
1873,1.0894527946447852e-07,1.3169209722718733e-08
1874,9.798358746593294e-08,1.0156835372754358e-08
1875,9.612165285943775e-08,5.721527251978387e-09
