year,bancs_NOUN ouverts_ADJ,bancs_NOUN couverts_ADJ
1800,0.0,1.5720821977538435e-08
1801,0.0,9.524730337773235e-09
1802,0.0,2.0140561218795483e-08
1803,0.0,1.5602713787643552e-08
1804,0.0,2.7190360185613827e-08
1805,0.0,8.528632911009026e-09
1806,0.0,5.76333825108577e-09
1807,0.0,2.562259560079383e-08
1808,0.0,3.6257183921861724e-08
1809,0.0,2.25903047379461e-08
1810,0.0,4.680253518074551e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,5.3344166417446104e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,3.0128852301913867e-08
1817,0.0,1.71256075987003e-08
1818,0.0,2.6226590676969863e-08
1819,0.0,8.280840013696888e-09
1820,0.0,0.0
1821,0.0,2.3667571014129862e-08
1822,0.0,1.2030739071633434e-08
1823,0.0,2.2730180404550993e-08
1824,0.0,7.663212642228245e-08
1825,0.0,7.924898959288385e-09
1826,0.0,4.932471142637951e-08
1827,0.0,3.2260455640198415e-08
1828,0.0,3.8523666034961934e-08
1829,0.0,5.1439055681612444e-08
1830,0.0,4.383471008395645e-08
1831,0.0,3.741889287312006e-08
1832,0.0,3.2471927369215337e-08
1833,0.0,1.3900354645102198e-08
1834,0.0,1.0267983796552471e-08
1835,0.0,2.7227116561334697e-08
1836,0.0,1.4785650037651976e-08
1837,0.0,1.461157062010443e-08
1838,6.312161904276081e-10,2.3354999711955315e-08
1839,0.0,1.1885507689157748e-08
1840,0.0,1.2102408852854296e-08
1841,0.0,2.632424944692957e-08
1842,0.0,7.379091560011375e-09
1843,0.0,2.3627643841450663e-08
1844,0.0,1.5367971784030487e-08
1845,0.0,2.2320911341466854e-08
1846,0.0,8.781752214304106e-09
1847,0.0,2.7505439703645607e-08
1848,0.0,1.045878850192139e-08
1849,0.0,8.379414495607307e-09
1850,0.0,1.6293590476834652e-08
1851,6.449438760824933e-09,1.3543821175687754e-08
1852,0.0,2.278690836021724e-08
1853,0.0,1.3138249599364826e-08
