year,avions_VERB omis_VERB,avions_VERB commis_VERB
1800,2.829747991484055e-08,1.2576657937302116e-08
1801,5.476719877606229e-08,1.1905912700171939e-08
1802,3.8043282302169246e-08,1.1189200677108602e-08
1803,1.950339267864365e-08,1.5602713787643552e-08
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,6.798221985349073e-09,9.064295980465431e-09
1809,4.51806094758922e-08,4.518061036407062e-09
1810,5.8503168531842675e-08,2.3401267590372754e-09
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,2.6672083208723052e-08,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,1.2586708564299443e-08
1815,1.0788894222457657e-08,4.045835311217161e-08
1816,2.3176038865813098e-09,1.8540831092650478e-08
1817,3.580808893843823e-08,2.6466848268569265e-08
1818,9.536941902865692e-09,2.384235475716423e-09
1819,1.2421260464634543e-08,1.3456364911235141e-08
1820,3.5599443393152796e-09,9.493184904840746e-09
1821,8.875339574387908e-09,8.875339574387908e-09
1822,1.303330066093622e-08,1.0025615893027862e-08
1823,1.087095569118901e-08,9.882686669016039e-09
1824,1.6000115010683658e-08,6.736890156844311e-09
1825,5.283265824829186e-09,2.0252519661312363e-08
1826,2.554315514657901e-08,3.5231937367541377e-09
1827,8.295545583791863e-09,1.474763688946723e-08
1828,9.172301140836225e-09,9.172301140836225e-09
1829,1.628903412154159e-08,2.4862210068476998e-08
1830,2.7135772739939057e-08,5.218417697960831e-09
1831,2.3386808933878456e-08,0.0
1832,6.22378593106987e-08,6.764984572527055e-09
1833,2.548398292390175e-08,1.0425265983826648e-08
1834,2.7070139907436896e-08,1.7735608537350345e-08
1835,4.310960122211327e-08,2.2689263801112247e-08
1836,9.409050427677812e-09,2.419469957715137e-08
1837,1.530736071231331e-08,8.349468672008697e-09
1838,1.7674054220151447e-08,9.468243078458727e-09
1839,2.0974425751774106e-08,1.7478688718597368e-08
1840,2.6752692505738196e-08,1.6561189752906103e-08
1841,2.5682194149112547e-08,2.1829865914924085e-08
1842,1.1404051036834062e-08,2.817471411731276e-08
1843,1.0041748765843295e-08,1.063243981747064e-08
1844,1.3721403568922597e-08,1.4270259640625227e-08
1845,1.2834524554250493e-08,9.48638767539478e-09
1846,1.2294452567118697e-08,2.2832555401919308e-08
1847,2.7505439703645607e-08,2.0494249852731627e-08
1848,4.907585093860689e-08,1.769948809737798e-08
1849,1.8434713311421547e-08,2.5976186535103807e-08
1850,1.0183494048021657e-08,1.6293590476834652e-08
1851,2.1283147688677673e-08,3.2247193804124663e-09
1852,7.812654523320361e-09,1.6276363368206148e-08
1853,4.001194398028929e-08,2.508211416341055e-08
1854,2.5978321716024766e-08,8.832629738719788e-09
1855,1.8574279891936385e-08,1.3798036491152743e-08
1856,3.209857268871019e-08,2.2261913201759853e-08
1857,4.735063896532665e-08,7.810414537345878e-09
1858,1.8595969208945462e-08,1.7127865348243176e-08
1859,1.629495471888731e-08,1.2730433596175317e-08
1860,2.1512764902809067e-08,1.830873586072812e-08
1861,2.5937801240161207e-08,1.131831339762357e-08
1862,1.536115412648087e-08,1.2650361647104091e-08
1863,3.0467187883687075e-08,2.4973103585068657e-09
1864,1.6302074357099627e-08,1.6302074357099627e-08
1865,1.7886009118228685e-08,1.97687466396701e-08
1866,3.8924903300596725e-09,1.897589108068587e-08
1867,8.73506067478047e-09,1.6984840200962026e-08
1868,1.679557115608077e-08,1.0867722721741302e-08
1869,1.2208797528501236e-08,1.5138908793232986e-08
1870,1.204150201772336e-08,8.027668307875047e-09
1871,3.18635318130589e-09,9.559059321873065e-09
1872,2.1770421909650395e-08,3.084143074261192e-08
1873,2.2746817762708815e-08,1.855661402316855e-08
1874,1.0156835372754358e-08,8.961913877669758e-09
1875,9.154443425529735e-09,4.005069165202713e-09
1876,3.02300739996042e-09,7.255217759905008e-09
1877,2.3502300550148902e-08,2.040989244278535e-08
1878,1.3889904337816006e-08,1.0266450800600069e-08
1879,1.3440515367335593e-08,1.4662380642960215e-08
1880,1.6044616302224313e-08,1.2835692508872398e-08
1881,9.064259565150223e-09,1.8128519130300447e-08
1882,2.4624924321869912e-08,1.1314154946262533e-08
1883,1.3270612164717477e-08,6.319338829996468e-09
1884,1.9144920315739e-08,1.1222884843675729e-08
1885,2.0626034213933053e-08,2.0626034213933053e-08
1886,2.452316216761119e-08,3.291266637006629e-08
1887,3.0685946228459215e-08,1.1099172247952538e-08
1888,1.6485598663962264e-08,1.8387781963724592e-08
1889,2.0674951528576457e-08,1.0650732740202784e-08
1890,2.6217545467943637e-08,2.1629475099871343e-08
1891,6.3742202627281586e-09,5.099376032546843e-09
1892,1.3163876211308434e-08,1.817868522380195e-08
1893,1.1085149687062312e-08,1.1085149687062312e-08
1894,1.8904618315218613e-08,1.8904617871129403e-09
1895,1.3240951446391591e-08,3.009307292245467e-08
1896,1.6511680911435178e-08,2.240870955461105e-08
