year,trois_DET anneaux_NOUN,trois_DET canaux_NOUN
1800,7.231578535993322e-08,1.0375742931501009e-07
1801,1.166779455274991e-07,4.524246932646747e-08
1802,1.3427040812530322e-07,9.622712582313397e-08
1803,2.0478562134940148e-07,1.9308357934733067e-07
1804,6.673997354766925e-08,1.8291696335381857e-07
1805,7.107194477384837e-08,3.098736840456695e-07
1806,6.916005901302924e-08,7.492339815229343e-08
1807,1.708173016368164e-07,5.693910054560547e-08
1808,1.0423940466353088e-07,3.172503681980743e-08
1809,6.325285539787728e-08,1.219876537561504e-07
1810,9.594519667643908e-08,4.446240753352981e-08
1811,7.270522672797597e-08,1.2284675676710322e-07
1812,5.867858021701977e-08,8.801787165779729e-08
1813,9.202373263406116e-08,7.189353823378042e-08
1814,5.3493510066005e-08,3.4613449440001887e-08
1815,5.664169577812572e-08,4.8550023556970245e-08
1816,2.0858435334503156e-07,1.7382029682266875e-07
1817,1.5724421587037796e-07,1.4945985071790346e-07
1818,8.225612191381515e-08,8.583247534943439e-08
1819,1.0868602373648173e-07,1.0351050150347874e-07
1820,1.0561168028999646e-07,6.407899721949661e-08
1821,1.173517123476131e-07,6.804426977424782e-08
1822,1.1028177482330648e-07,7.719724237631453e-08
1823,1.1760397722326843e-07,2.0753642027138142e-08
1824,8.58953512761218e-08,1.178955759684186e-07
1825,1.0478476886177646e-07,1.1447075820569808e-07
1826,1.4180854890355477e-07,9.336463135944939e-08
1827,1.4378945456527958e-07,1.0139000455877678e-07
1828,1.9720447141935438e-07,7.704732968294437e-08
1829,6.3441500608441e-08,1.0630738511707705e-07
1830,7.514521627172144e-08,8.453836963795425e-08
1831,6.080570358335535e-08,4.209625514839388e-08
1832,1.8671357793209609e-07,6.494385040856088e-08
1833,9.614411311531512e-08,8.91939393454777e-08
1834,1.4001796966311986e-07,5.974099970273983e-08
1835,1.194967893525245e-07,1.1571524538567246e-07
1836,6.855165191055335e-08,8.266522399935639e-08
1837,1.0854309540064833e-07,7.166627558063965e-08
1838,9.65760751370226e-08,1.2561202389349546e-07
1839,8.599514256246721e-08,7.620707886957234e-08
1840,9.490836117009849e-08,9.108654663858573e-08
1841,6.292137655350416e-08,9.374000642381475e-08
1842,5.9032732480091e-08,9.190322991514677e-08
1843,6.14318764746713e-08,1.1164061586299567e-07
1844,1.0098952429871133e-07,6.421616793872431e-08
1845,1.2109094349455063e-07,1.1551072098825443e-07
1846,1.6099879163178343e-07,9.601382089385879e-08
1847,5.555020443637204e-08,9.546005497185206e-08
1848,6.516629724728773e-08,6.918890504969966e-08
1849,8.882179525215861e-08,6.871120206142223e-08
1850,5.634866795389826e-08,6.856885814698899e-08
1851,8.513259008857688e-08,9.093708719376536e-08
1852,1.3737250981193938e-07,8.854341859709791e-08
1853,1.5885338111587544e-07,5.4344579947240845e-08
1854,7.377843314060328e-08,5.3515345710408724e-08
1855,1.1038429192922194e-07,6.899018245576372e-08
1856,1.1803991606385011e-07,6.885661729683079e-08
1857,9.323682093054231e-08,8.15212042315494e-08
1858,7.095829879233406e-08,5.627727439616592e-08
1859,6.416138353948497e-08,8.809460072534137e-08
1860,1.180913438147968e-07,4.394096464466202e-08
1861,6.31939118811431e-08,2.782418562219391e-08
1862,9.623310881501368e-08,3.433669715224852e-08
1863,8.191178224592477e-08,4.1455351706964905e-08
1864,1.2370398394523363e-07,5.657779089673909e-08
1865,1.1343495209814591e-07,8.613525537271016e-08
1866,1.508339952938087e-07,6.179328571054299e-08
1867,1.1889388318309102e-07,6.260126816926004e-08
1868,1.8425730985427435e-07,6.965222099086787e-08
1869,1.2745985555895345e-07,7.42294901101559e-08
1870,1.6284698034496614e-07,8.486392033546508e-08
1871,1.1683294864894833e-07,9.665271250014484e-08
1872,1.8988644878703553e-07,4.23313738506792e-08
1873,1.741927366794016e-07,8.021246261646908e-08
1874,1.654966768072086e-07,9.260644295849829e-08
1875,2.208509455314811e-07,4.3483606049221635e-08
1876,1.281755084292513e-07,7.134297552724433e-08
1877,1.4286924776563126e-07,8.349501845472673e-08
1878,1.8056875550342966e-07,6.522215789672714e-08
1879,1.484566007903254e-07,4.826367017152222e-08
1880,1.2322264808517502e-07,5.39099096474871e-08
1881,1.8686320046867877e-07,4.3229546664580454e-08
1882,1.4508739010210547e-07,6.788492834530757e-08
1883,1.2385904679668158e-07,5.9401786600687956e-08
1884,2.0003141543156744e-07,6.139578268005152e-08
1885,1.7338759850105134e-07,7.219111930467648e-08
1886,1.6520867607283662e-07,5.0982364996343676e-08
1887,2.0957847546299035e-07,8.552891328506007e-08
1888,1.6231972921332272e-07,6.277208708382886e-08
1889,1.2467622223510944e-07,8.833843112565631e-08
1890,1.1339088656914242e-07,5.767860145056147e-08
1891,1.2748440303411712e-07,9.497588049356409e-08
1892,1.435489271894852e-07,8.838602716387811e-08
1893,1.4657031588427571e-07,6.281584763456749e-08
1894,1.001944731626736e-07,6.868677537852363e-08
1895,1.1495553797757907e-07,6.620475789809177e-08
1896,1.1204354855021137e-07,3.538217407950128e-08
1897,1.2760502143827068e-07,7.225124754040024e-08
1898,1.2391797232780277e-07,6.11102317638057e-08
1899,9.839089720742322e-08,5.417026649467971e-08
1900,1.1783691000744057e-07,7.111742705845359e-08
1901,8.941982132526505e-08,6.762374149538175e-08
1902,1.3257766395824433e-07,8.298379583493443e-08
1903,6.210253333804872e-08,4.536185005399318e-08
1904,1.3275323862416144e-07,5.53586412266327e-08
1905,1.150849282538502e-07,7.895961023907105e-08
1906,1.2294600715279103e-07,7.047532779580479e-08
1907,9.668545342123025e-08,5.708556205519244e-08
1908,1.1148853396036884e-07,5.1569584602617624e-08
1909,1.0066800104624463e-07,3.630649025865296e-08
1910,7.054278938767311e-08,4.114995943993449e-08
1911,9.576673143385506e-08,5.852411488760367e-08
