year,sans_ADP oser_VERB,sans_ADP causer_VERB
1800,1.7512996208779441e-06,5.785262828794657e-07
1801,1.5930110990325375e-06,6.024391723258304e-07
1802,1.4904015586125752e-06,7.474386052308546e-07
1803,1.655838033798318e-06,7.235758516799251e-07
1804,1.7772607918686845e-06,7.291960173461121e-07
1805,1.6147544954492332e-06,6.766048841200245e-07
1806,1.7491731512109254e-06,5.965055152046261e-07
1807,1.2612010920065586e-06,5.494623565027723e-07
1808,1.5817196015177615e-06,5.257291491034266e-07
1809,1.5090323728372823e-06,4.585832016346103e-07
1810,2.1084541259597245e-06,6.13113229519513e-07
1811,1.5192885669534917e-06,5.214719749346841e-07
1812,1.4616301342584848e-06,9.28188455873169e-07
1813,1.2768292876330634e-06,8.368407975467562e-07
1814,1.2429375146894017e-06,5.160550244909246e-07
1815,1.3216395799986458e-06,6.014808491272561e-07
1816,1.36506867320918e-06,8.575134415877983e-07
1817,1.6222620473627103e-06,7.955623004818335e-07
1818,1.9526888124232755e-06,7.426893375850341e-07
1819,1.9998228424356057e-06,8.405052653870371e-07
1820,2.200045621236768e-06,7.594547923872597e-07
1821,2.009771282729389e-06,7.396116075142345e-07
1822,1.951987357529106e-06,6.115625410529901e-07
1823,1.6622678984390404e-06,5.741841277995263e-07
1824,1.466115726600492e-06,6.248465638236667e-07
1825,1.7029727246153925e-06,5.917257794862962e-07
1826,1.5563708046784086e-06,7.592482234031195e-07
1827,1.3226786634845666e-06,4.811416260963597e-07
1828,1.5060918769904674e-06,7.347013024627813e-07
1829,1.875810937690403e-06,7.25290703940118e-07
1830,1.6145785259880086e-06,6.70044869366393e-07
1831,1.198963762050198e-06,4.880047299593571e-07
1832,1.3908808718099408e-06,6.074956218071748e-07
1833,1.348334357942349e-06,7.274518907252059e-07
1834,1.5532659478623145e-06,6.048775844647025e-07
1835,1.6873249109039534e-06,6.171479753902531e-07
1836,1.4866298769788955e-06,5.29595126863569e-07
1837,1.472289671511362e-06,6.630870075241546e-07
1838,1.5502670009936992e-06,4.734121432647953e-07
1839,1.3626385495513205e-06,7.424946488754358e-07
1840,1.7975260888647426e-06,5.63717435397848e-07
1841,1.4215094950031926e-06,5.406101877269975e-07
1842,1.4489852446786244e-06,5.956939617135504e-07
1843,1.6639768674053812e-06,4.394741779378819e-07
1844,1.4819115321529353e-06,5.00556780025363e-07
1845,1.5730662994428712e-06,5.836918148816039e-07
1846,1.3254591522127157e-06,6.703403983010503e-07
1847,1.2657895780421313e-06,5.587379519056412e-07
1848,1.0474878138211352e-06,5.132851583766751e-07
1849,1.125355446163212e-06,6.477287683992472e-07
1850,1.2512119234031616e-06,5.322572746990772e-07
1851,1.2208787509848662e-06,4.791933179149055e-07
1852,1.3691677303029337e-06,4.622487210781401e-07
1853,1.41713936940846e-06,4.771573571815679e-07
1854,1.1820137117979357e-06,4.3695538920474064e-07
1855,1.4344651333431102e-06,5.752719971496845e-07
1856,1.5702414728480107e-06,4.5093318590261333e-07
1857,1.541580559205613e-06,4.593499909333332e-07
1858,1.47397519967285e-06,4.957293526786088e-07
1859,1.4690920338011892e-06,4.4607438098864804e-07
1860,1.5461727187471297e-06,4.188123341464234e-07
1861,1.4397837588830953e-06,4.626360521342576e-07
1862,1.4127742531400145e-06,4.079741700024897e-07
1863,1.3105885230402237e-06,4.664975961077289e-07
1864,1.4173215276969131e-06,4.032366121009545e-07
1865,1.4638286067736317e-06,4.95160008995299e-07
1866,1.2825756030565572e-06,4.865613050242246e-07
1867,1.2253348700141942e-06,5.590438831859501e-07
1868,1.1959435042285804e-06,5.033731440562406e-07
1869,1.3771524436378968e-06,3.9019317910060636e-07
1870,1.2729587979265489e-06,4.7133880798355676e-07
1871,1.1364659258106258e-06,5.947859449406678e-07
1872,1.2088631038409403e-06,4.680640586229856e-07
1873,1.2043840982300935e-06,4.884579425379343e-07
1874,1.1429427573261819e-06,5.096341624266643e-07
1875,1.2896322232336388e-06,4.5486140720640833e-07
1876,1.2092029422205997e-06,4.6131091835377447e-07
1877,1.2066576502434145e-06,5.362235242500901e-07
1878,1.0834125241387937e-06,4.613863779923122e-07
1879,1.3678779495762683e-06,4.10546647344745e-07
1880,1.1532869805819246e-06,4.293539177524508e-07
1881,1.1804454942421216e-06,4.4554323608281265e-07
1882,1.3091142534449318e-06,4.685390990744054e-07
1883,1.1368490646646023e-06,4.0317382854482275e-07
1884,1.2285757691188337e-06,4.1854758592307917e-07
1885,1.1241189241673055e-06,4.4797167220167466e-07
1886,1.0970888268957424e-06,4.646493891868886e-07
1887,9.858676364160601e-07,4.720412505321292e-07
1888,1.0341542449054941e-06,4.831548494621529e-07
1889,9.823734323788358e-07,4.0973995396598184e-07
1890,8.894302396811327e-07,4.817474064111593e-07
1891,9.478465443635287e-07,5.17586670412129e-07
1892,8.920093250708305e-07,4.6888473548278853e-07
1893,9.471644411007674e-07,4.858990791944962e-07
1894,9.58464106304291e-07,5.192468393033778e-07
1895,1.0219607702310896e-06,4.261179071818333e-07
1896,9.276026347038169e-07,4.623270797310397e-07
1897,8.920698313374942e-07,4.300114540001232e-07
1898,9.421161095701791e-07,4.6964345301603316e-07
1899,8.899401251483141e-07,5.212506266616401e-07
1900,8.798835011702977e-07,4.864016887040634e-07
1901,9.115233083889507e-07,4.851025323659997e-07
