year,ports_NOUN ouverts_ADJ,ports_NOUN couverts_ADJ
1800,9.432493897065797e-09,3.144164484325529e-09
1801,2.6193008650921e-08,1.4287095950749062e-08
1802,2.9091921760482364e-08,0.0
1803,1.1702035562777269e-08,1.950339223455444e-09
1804,9.887403784603066e-09,0.0
1805,2.2743021688143017e-08,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,4.0662548883574345e-08,2.0331274441787173e-08
1810,1.1700633351097167e-08,1.1700633351097167e-08
1811,2.2563691359778204e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,2.0239355080775567e-08,3.113746815941454e-09
1818,7.152706427149269e-09,0.0
1819,1.7596784473994376e-08,0.0
1820,0.0,5.933240565525466e-09
1821,7.88919063410276e-09,1.1833785507064931e-08
1822,3.0076847679083585e-09,1.1028177482330648e-08
1823,2.4706716672540097e-08,8.894418535021487e-09
1824,3.3684450784221553e-09,0.0
1825,2.201360693732113e-08,0.0
1826,1.5854372037438225e-08,1.9377566218281572e-08
1827,9.217273055917019e-10,2.7651818612639545e-09
1828,3.485474309172787e-08,0.0
1829,2.571952872898464e-09,1.714635211591542e-09
1830,1.0436835395921662e-08,5.218417697960831e-09
1831,7.795603274018958e-09,6.236482441579483e-09
1832,6.764984572527055e-09,1.3529969367098715e-09
1833,1.1583628278799551e-08,2.3167257001688313e-09
1834,2.8003592777992026e-09,6.534171426153534e-09
1835,1.0588323107185715e-08,1.5126175867408165e-09
1836,2.016224964762614e-09,8.736974699274924e-09
1837,9.045257765016856e-09,6.957891152126194e-09
1838,9.468243078458727e-09,3.787297142565649e-09
1839,2.0974425751774106e-08,2.7965900706306e-09
1840,3.503328827036967e-08,3.1848443882154243e-09
1841,2.5682194149112547e-09,8.988767952189392e-09
1842,2.683306021822318e-09,1.341653010911159e-09
1843,2.5990408991649616e-08,2.953455480181333e-09
1844,2.8540519281250454e-08,0.0
1845,7.254296274794569e-09,1.1160455892778032e-09
1846,3.1614307616223414e-08,1.7563503984519002e-09
1847,2.9662729161827883e-08,2.1572894581822766e-09
1848,1.448139919091318e-08,1.6090443422100975e-09
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,1.5614691761811628e-08,2.0366988096043315e-09
1851,2.5152811389261842e-08,1.9348316282474798e-09
1852,1.3021090872200602e-08,3.906327261660181e-09
1853,7.763511611358354e-09,2.388772735173461e-09
1854,1.7665259310906123e-08,1.0391328908454511e-09
1855,1.6982198758341838e-08,5.306937111981824e-10
1856,4.2970671798592264e-08,0.0
1857,1.1715622250108026e-08,1.4644527812635033e-09
1858,5.2851699905431815e-08,1.468102750479261e-09
1859,5.7541558184937e-08,2.5460866748261424e-09
1860,6.545373310018476e-08,1.373155145145688e-09
1861,8.017138153348924e-08,4.2443675241088386e-09
1862,3.162590545002786e-08,9.035972525772706e-10
1863,4.6449973312157056e-08,2.9967726078439227e-09
1864,4.9865171547480713e-08,4.315255264231155e-09
1865,4.753912818955541e-08,1.4120533631256649e-09
1866,1.1385534293140154e-07,1.9462451650298362e-09
1867,8.686532737556263e-08,1.455843445796745e-09
1868,1.1015919154644394e-07,7.409810987013543e-09
1869,5.518376455793117e-08,0.0
1870,2.0642576092910758e-08,1.7202146374017957e-09
1871,3.504988654867702e-08,0.0
1872,5.6844989160254045e-08,0.0
1873,1.4007250859204845e-07,0.0
1874,1.0216581464161933e-07,1.1949218281515073e-09
1875,8.696721209844327e-08,4.577221712764867e-09
1876,1.0096844960116869e-07,3.02300739996042e-09
1877,9.091679231687522e-08,1.8554447978047506e-09
1878,1.304443104088726e-07,6.039088673581716e-10
1879,8.858521738375202e-08,0.0
1880,2.2077391026442683e-07,0.0
1881,1.0946836881409183e-07,2.7890030285249168e-09
1882,1.1047939096897608e-07,6.655385131892899e-10
1883,1.851566336918964e-07,0.0
1884,1.5051868729187845e-07,2.6406787867472303e-09
1885,2.694275846870653e-07,3.2228177904158883e-09
1886,1.6004590619456138e-07,0.0
1887,1.1817353456899937e-07,1.3057849246322917e-09
1888,8.242798865687462e-08,0.0
1889,7.204907515045988e-08,0.0
1890,9.307228615584862e-08,0.0
1891,2.1991058929415885e-07,3.1871101313640793e-09
1892,1.4605633680275787e-07,6.268512375839919e-10
1893,6.651090034281992e-08,0.0
1894,1.1090709506333951e-07,0.0
1895,8.847363375252826e-08,0.0
1896,2.3882967070676386e-07,0.0
1897,2.1791909388113595e-07,0.0
1898,2.393484095364329e-07,5.6583548957434e-10
1899,2.0452040239149483e-07,5.527578395003729e-10
1900,3.2080709289061815e-07,5.191053142894475e-10
1901,3.0793951566465694e-07,1.676621730339889e-09
1902,4.25230582856706e-07,0.0
1903,2.3814971328306456e-07,0.0
1904,2.4938259723938927e-07,0.0
1905,2.7610061437144395e-07,0.0
1906,1.68214838280889e-07,0.0
1907,1.362853445097123e-07,0.0
1908,1.2573155738770936e-07,0.0
1909,1.5347744297677934e-07,5.500983557560346e-10
1910,1.8330436879487877e-07,0.0
1911,1.729121530402722e-07,3.7242617878519013e-09
1912,1.9847895416091887e-07,0.0
1913,1.0340829664778894e-07,0.0
1914,1.178626913844738e-07,0.0
1915,1.7199911894749675e-07,1.1780761921542648e-09
1916,7.14185002248513e-08,0.0
1917,7.566833204464274e-08,3.289927441585405e-09
