year,magasins_NOUN ouverts_ADJ,magasins_NOUN couverts_ADJ
1800,6.288328968651058e-09,0.0
1801,1.904946067554647e-08,9.524730337773235e-09
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,1.730295728918918e-08,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,2.2660739062985158e-08,1.1330369531492579e-08
1809,2.259030518203531e-09,0.0
1810,2.3401266702194334e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,4.670620334934483e-09,0.0
1818,1.3113295338484932e-08,9.536941902865692e-09
1819,1.0351049795076506e-08,2.4842520929269085e-08
1820,7.119888678630559e-09,1.1866481131050932e-09
1821,0.0,1.1833785507064931e-08
1822,5.012807946513931e-09,7.017931125119503e-09
1823,1.1859224713361982e-08,0.0
1824,2.5263338088166165e-09,5.052667617633233e-09
1825,6.163809906922779e-09,0.0
1826,0.0,0.0
1827,1.8434546333878643e-08,3.6869092223668076e-09
1828,3.668920500743411e-09,1.1006761724274838e-08
1829,2.571952872898464e-09,4.286587973467704e-09
1830,1.1480519646056564e-08,1.0436835840010872e-09
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,0.0,2.8003592777992026e-09
1835,2.2689263801112247e-09,7.563087933704082e-10
1836,6.72075017860152e-09,2.016224964762614e-09
1837,7.653680356156656e-09,2.1569462660409044e-08
1838,3.787297142565649e-09,1.199310784016916e-08
1839,9.088918062616358e-09,5.5931801412612e-09
1840,1.3376346252869098e-08,9.554533164646273e-09
1841,1.0272877659645019e-08,1.2841097074556274e-08
1842,1.609983613093391e-08,2.683306021822318e-09
1843,1.2995204023980023e-08,1.3585895075607368e-08
1844,1.2074834465636286e-08,3.2931368743049916e-09
1845,2.3436957263811564e-08,9.48638767539478e-09
1846,5.269050973311096e-09,1.1709002656346001e-09
1847,9.168480197274675e-09,4.314578916364553e-09
1848,1.689496542667257e-08,0.0
1849,6.703531951757213e-09,0.0
1850,4.752297222410107e-09,5.431196825611551e-09
1851,2.192809134271556e-08,1.2898877521649865e-08
1852,1.1067927019325907e-08,0.0
1853,7.166318205520383e-09,2.388772735173461e-09
1854,4.676098175337984e-09,4.676098175337984e-09
1855,1.0083180512765466e-08,6.8990182455763716e-09
1856,1.7084724746041502e-08,5.177189232874468e-10
1857,8.298565390418844e-09,1.9526036343364694e-09
1858,3.9149408159744326e-09,2.936205500958522e-09
1859,1.2221216039165483e-08,5.092173349652285e-09
1860,1.0527522853465143e-08,1.8308735638683515e-09
1861,2.0278644541349422e-08,1.4147891747029462e-09
1862,1.0391368654438793e-08,4.517986429419807e-09
1863,4.495158911765884e-09,6.493007020935693e-09
1864,1.6781548595190543e-08,3.3563094525845827e-09
1865,5.177528628053096e-09,3.294791106611683e-09
1866,1.0704348518686402e-08,4.865612912574591e-10
1867,9.220341823379385e-09,2.426405742994575e-09
1868,8.397785578040384e-09,4.93987406535723e-10
