year,plusieurs_DET anneaux_NOUN,plusieurs_DET canots_NOUN
1800,2.200915076855381e-07,5.973912564627426e-08
1801,2.1906879510424915e-07,6.905429472681135e-08
1802,2.4616241489638924e-07,6.489736392722989e-08
1803,4.446773367305923e-07,2.9255089017965474e-08
1804,1.6314216177981677e-07,4.696516775481996e-08
1805,1.2224374379421477e-07,7.391482181873243e-08
1806,1.5849180101668026e-07,3.1698359492793315e-08
1807,1.1672516109229036e-07,1.1103124819555887e-07
1808,1.0650547466184435e-07,3.6257184810040144e-08
1809,1.987946802728402e-07,3.388545799509757e-08
1810,1.9657065308820165e-07,2.8081521108447305e-08
1811,1.3788921648938413e-07,0.0
1812,1.0935553973467904e-07,5.067695507676717e-08
1813,7.189353823378042e-08,3.163315653864629e-08
1814,4.090680150170556e-08,4.090680150170556e-08
1815,1.1328339155625144e-07,7.012781111370714e-08
1816,2.201723674488676e-07,2.0858434979231788e-08
1817,1.5724421587037796e-07,1.0898114077839693e-08
1818,1.3709353652302525e-07,6.91428301280439e-08
1819,1.0247539705687814e-07,2.070209959015301e-08
1820,5.814575754214957e-08,5.3399165977907614e-08
1821,7.790575695665325e-08,4.930744035291923e-08
1822,7.017931125119503e-08,4.3110148340019805e-08
1823,1.096978223813494e-07,3.3601135762673096e-08
1824,9.094802067011187e-08,3.2842340402794434e-08
1825,6.251864870243651e-08,3.3460683113162304e-08
1826,6.694067877788257e-08,3.170874318669803e-08
1827,4.792982133405843e-08,8.572063858736101e-08
1828,1.008953110503974e-07,3.210305354883758e-08
1829,6.85854093518401e-08,3.9436608478826685e-08
1830,1.6490200493990415e-07,1.9829987651931447e-08
1831,6.860130752350813e-08,1.0446108333894699e-07
1832,1.0282776508052649e-07,6.494385296207383e-08
1833,7.876867158529421e-08,2.803238068338487e-07
1834,1.3255033870507305e-07,1.6148737813637126e-07
1835,1.1117739262545001e-07,5.445423312266939e-08
1836,6.653542494738929e-08,3.5619975857770214e-08
1837,6.95789097449051e-08,3.1310509740478665e-08
1838,9.02639172295494e-08,1.009945904684173e-08
1839,8.389769967642735e-08,3.9152260211672285e-08
1840,1.5223555749344087e-07,2.293087852933695e-08
1841,6.934192375851467e-08,2.247191943638427e-08
1842,6.238686367510127e-08,4.360372152234504e-08
1843,1.0159887153804448e-07,2.539971788451112e-08
1844,9.056126254458619e-08,2.6893951121653714e-08
1845,7.86812153208416e-08,1.7298706023183286e-08
1846,1.1299187652191733e-07,9.952652257894101e-09
1847,7.981971261727949e-08,2.8044763844548015e-08
1848,6.918890527174426e-08,1.2872354626658478e-08
1849,1.1144621714365144e-07,2.765206863486469e-08
1850,5.091747024010829e-08,1.425689166723032e-08
1851,5.804494862537979e-08,2.837752988149589e-08
1852,9.89602870760109e-08,1.888058198673548e-08
1853,7.226037723739864e-08,2.2693341206192486e-08
1854,5.2995776489428437e-08,1.454786069388092e-08
1855,5.3600064831016425e-08,1.8043586180738203e-08
