year,trois_DET âges_NOUN,trois_DET ages_NOUN,trois_DET cages_NOUN
1800,1.3834323908668011e-07,0.0,0.0
1801,1.166779455274991e-07,7.143547975374531e-09,0.0
1802,7.832440473976021e-08,0.0,2.6854081625060644e-08
1803,2.2038832980797451e-07,0.0,0.0
1804,6.921182738039988e-08,7.4155526164076946e-09,0.0
1805,3.1271655132059095e-07,5.685755422035754e-09,0.0
1806,6.051504897186533e-08,0.0,0.0
1807,8.540865303885425e-08,0.0,2.8469551160981155e-09
1808,1.0197332933614689e-07,2.2660739951163578e-09,9.064295980465431e-09
1809,2.5978849693686357e-07,2.259030518203531e-09,1.8072244145628247e-08
1810,8.89248181756841e-08,0.0,0.0
1811,6.267691565753353e-08,0.0,0.0
1812,9.601949635396068e-08,0.0,0.0
1813,1.2365688917270745e-07,0.0,2.8757416448144113e-09
1814,1.0069366851439554e-07,0.0,3.1466771410748606e-09
1815,8.091670622434322e-08,0.0,2.697223555614414e-09
1816,1.0197456923322079e-07,0.0,0.0
1817,7.784366895524641e-08,0.0,0.0
1818,4.887682614196365e-08,0.0,2.6226590676969863e-08
1819,9.729986949480462e-08,0.0,0.0
1820,7.950542357804125e-08,0.0,1.1866481131050932e-09
1821,1.1932401111636182e-07,9.86148829262845e-10,8.875339574387908e-09
1822,5.3135764233047666e-08,1.0025615893027862e-09,0.0
1823,9.289725966254991e-08,0.0,0.0
1824,9.263224054478769e-08,0.0,0.0
1825,5.8115923406987235e-08,0.0,2.641632912414593e-09
1826,5.9013494535520294e-08,0.0,8.80798456392995e-09
1827,1.3365046402924463e-07,9.217273055917019e-10,0.0
1828,1.2749498523589864e-07,9.172301251858528e-10,9.172301251858528e-10
1829,7.287199432770564e-08,3.429270423183084e-09,8.57317605795771e-10
1830,1.2941676086342113e-07,0.0,1.0436835840010872e-09
1831,8.263338902025907e-08,0.0,2.8064171431196883e-08
1832,1.0147477369493174e-07,1.3529969367098715e-09,1.0823975493678972e-08
1833,2.0039677472993844e-07,0.0,0.0
1834,1.7548918584964213e-07,9.334530925997342e-10,1.120143711119681e-08
1835,1.7016947850834185e-07,1.5126175867408165e-09,1.5126175867408165e-09
1836,9.610672258020259e-08,6.720750067579218e-10,6.048674894287842e-09
1837,8.210310964429368e-08,6.957890930081589e-10,3.478945576063097e-09
1838,8.458297107161172e-08,0.0,1.009945904684173e-08
1839,7.131304480267886e-08,0.0,6.9914751765765e-10
1840,9.55453303141951e-08,0.0,7.64362617644565e-09
1841,1.0850727383271419e-07,6.420548537278137e-10,2.5682194149112547e-09
1842,8.31824840119566e-08,0.0,1.0733224087289273e-08
1843,1.4353793309496155e-07,5.906911071384968e-10,2.953455480181333e-09
1844,1.0208724354754395e-07,3.2931368743049916e-09,6.037417232818143e-09
1845,9.263178046836629e-08,5.580227946389016e-10,3.9061593959388574e-09
1846,6.615586789493477e-08,2.3418005312692003e-09,4.6836010625384006e-09
1847,5.015697901455951e-08,0.0,6.47186837454683e-09
1848,6.194820656446609e-08,8.045221711050488e-10,1.689496542667257e-08
1849,1.0977033770842581e-07,1.6758829879393033e-09,3.3517659758786067e-09
1850,7.603675911127539e-08,2.0366988096043315e-09,6.1100964288129944e-09
1851,9.158203084780325e-08,0.0,1.2898877521649865e-08
1852,1.23049304079359e-07,2.6042181744401205e-09,6.510545436100301e-10
1853,8.539862506040663e-08,1.1943863675867306e-09,5.971931837933653e-10
1854,7.118060096900081e-08,5.195664454227256e-10,3.6369650624479277e-09
1855,1.310813395605237e-07,1.5920811335945473e-09,3.1841622671890946e-09
1856,8.749449492695405e-08,2.5885946164372342e-09,6.73034605824796e-09
1857,8.005675150579705e-08,1.4644527812635033e-09,2.9289055625270066e-09
1858,1.0961834107092727e-07,1.9574704079872163e-09,4.893676075479192e-09
1859,1.059172090034366e-07,1.018434669930457e-09,5.601390462572908e-09
1860,1.0207120348937337e-07,0.0,4.577183909670879e-10
1861,1.0469439470917052e-07,4.715963730639317e-10,3.772770984511453e-09
