year,avez_VERB ouvert_VERB,avez_VERB couvert_VERB
1800,7.231578535993322e-08,3.144164484325529e-09
1801,1.2382149350287364e-07,4.7623651688866175e-09
1802,9.398928568771225e-08,0.0
1803,5.655983770225248e-08,3.900678446910888e-09
1804,8.898663139689234e-08,4.943701892301533e-09
1805,8.812921237222326e-08,2.842877711017877e-09
1806,1.3832011802605848e-07,1.4408345627714425e-08
1807,9.11025637151397e-08,5.693910232196231e-09
1808,9.290903335568146e-08,0.0
1809,6.09938268780752e-08,0.0
1810,1.8018975822542416e-07,0.0
1811,6.518399686683551e-08,0.0
1812,1.0668833283489221e-07,0.0
1813,1.121539270343419e-07,0.0
1814,7.237357380063258e-08,0.0
1815,2.966945977789237e-08,0.0
1816,1.3442102897442965e-07,0.0
1817,1.4323235575375293e-07,0.0
1818,9.536941547594324e-08,0.0
1819,8.384350280721264e-08,1.035105001712111e-09
1820,1.044250339532482e-07,1.1866481131050932e-08
1821,1.203101618330038e-07,7.88919063410276e-09
1822,1.3334069137727056e-07,1.5038423839541792e-08
1823,1.1562743651438723e-07,0.0
1824,1.2042191599448415e-07,8.421112696055388e-10
1825,1.2944001070991362e-07,1.7610886082763955e-09
1826,8.455664612938563e-08,3.5231937367541377e-09
1827,7.005127855563842e-08,9.217273055917019e-10
1828,1.0272977135628025e-07,9.172301251858528e-10
1829,9.687688873327716e-08,1.714635211591542e-09
1830,7.410153557430021e-08,1.0436835840010872e-09
1831,9.822459645647541e-08,0.0
1832,6.900284432731496e-08,1.0823975493678972e-08
1833,1.2278646011054661e-07,1.1583628500844156e-09
1834,1.2601616106167057e-07,3.733812370398937e-09
1835,1.1193370141882042e-07,7.563087933704082e-10
1836,1.1089237261785456e-07,0.0
1837,8.001574514082677e-08,0.0
1838,1.1298769919676488e-07,1.8936485712828244e-09
1839,8.87917366299007e-08,3.4957374772659477e-09
1840,1.172022692230712e-07,1.2739377330817092e-09
1841,1.2776891367138887e-07,6.420548537278137e-10
1842,9.726984018243456e-08,4.024959032733477e-09
