year,nouveaux_ADJ anneaux_NOUN,nouveaux_ADJ canaux_NOUN
1800,1.8864987794131594e-08,2.0751485863002017e-07
1801,0.0,1.4048977448055666e-07
1802,2.0140561218795483e-08,6.713520406265161e-08
1803,0.0,8.971560561121805e-08
1804,2.2246657849223084e-08,1.8291696335381857e-07
1805,0.0,7.107194477384837e-08
1806,0.0,1.2679343797117326e-07
1807,2.8469551160981155e-09,9.679647661187119e-08
1808,0.0,9.970725756147658e-08
1809,0.0,1.423189246452239e-07
1810,1.4040760554223652e-08,1.310471020588011e-07
1811,0.0,1.7298829391165782e-07
1812,8.00162425207418e-09,1.0402111882967802e-07
1813,0.0,4.026038169513413e-08
1814,3.1466771410748606e-09,1.321604372606089e-07
1815,0.0,9.710004889029733e-08
1816,1.9467873357825738e-07,1.1356259221884102e-07
1817,3.113746771532533e-08,7.7843672841027e-08
1818,1.668964877410417e-08,5.48374146092101e-08
1819,2.070209959015301e-08,1.0765091928988113e-07
1820,0.0,9.611849804969097e-08
1821,4.930744257336528e-09,7.59334568556369e-08
1822,1.0025615893027862e-09,1.5639960793123464e-07
1823,7.906149512848515e-09,1.087095569118901e-07
1824,4.210556348027694e-09,1.0526390781251393e-07
1825,2.641632912414593e-09,7.396572243578703e-08
1826,1.6735169694470642e-08,8.279505436803447e-08
1827,3.6869092667757286e-08,1.3549392008371797e-07
1828,1.1006761724274838e-08,1.0272977135628025e-07
1829,8.573175946935407e-09,1.7489279002802505e-07
1830,1.461157062010443e-08,1.4715938334575185e-07
1831,0.0,1.1381580122815649e-07
1832,2.705993873419743e-09,1.312406965325863e-07
1833,1.0425265983826648e-08,1.054110185805257e-07
1834,2.240287422239362e-08,8.961149688957448e-08
1835,1.285724948729694e-08,7.109302657681837e-08
1836,1.3441500135158435e-09,5.779845224651581e-08
1837,1.2524203896191466e-08,7.305785487687899e-08
1838,1.0730675015224733e-08,5.3653376852480505e-08
1839,1.5381244722334486e-08,7.2012191765225e-08
1840,1.9109065441114126e-09,9.618229768193487e-08
1841,1.733548060656176e-08,1.4510439427795063e-07
1842,4.024959032733477e-09,1.355069514374918e-07
1843,1.4767278067040479e-08,1.4235655498850974e-07
1844,3.2931367854871496e-08,9.00124064173724e-08
1845,7.14269177137794e-08,2.070264599751681e-07
1846,4.27378594736183e-08,1.2060272069902567e-07
1847,2.7505439703645607e-08,1.5963942701091582e-07
1848,1.045878850192139e-08,9.010648227558704e-08
1849,5.9493846293889874e-08,1.1144621936409749e-07
1850,3.93761752093269e-08,6.381656447729256e-08
1851,4.063146263888484e-08,3.805168802273329e-08
1852,2.0833745395520964e-08,6.445439737490233e-08
1853,4.120633079196523e-08,3.881755716861335e-08
1854,3.792835201466005e-08,5.7152309551611324e-08
1855,2.2289135870323662e-08,5.094659627502551e-08
1856,2.329735160344626e-08,4.4523826403519706e-08
1857,1.610898081594314e-08,4.9791392342513063e-08
1858,7.53626139271546e-08,4.159624467092726e-08
1859,1.782260738991681e-08,3.1571474323754956e-08
1860,4.7602711106264906e-08,6.224970405810382e-08
1861,1.650587222457034e-08,2.6880993431177558e-08
1862,3.4788495639759276e-08,7.002878987805161e-08
1863,1.4983863039219614e-08,6.1433837572622e-08
1864,1.8699438775193755e-08,4.8426752385921645e-08
1865,1.9768746861714703e-08,8.189908839995041e-08
1866,2.140869637123899e-08,6.27664036301212e-08
1867,3.785192959071537e-08,7.036576477048584e-08
1868,3.655506863875502e-08,7.064019769131846e-08
1869,3.1742874995188686e-08,4.199826619810665e-08
1870,3.268407766654491e-08,5.504686839685746e-08
1871,1.274541272522356e-08,3.080141297573391e-08
1872,3.023669647994609e-08,7.25680706636922e-08
1873,1.1972009161809183e-08,4.8486636927691507e-08
1874,1.4936523129449597e-08,5.795370938699307e-08
1875,2.1741803024610817e-08,7.323554740423788e-08
1876,1.6928840551599933e-08,5.8041742079240066e-08
1877,2.040989244278535e-08,1.1874846705950404e-07
1878,2.3552445327368332e-08,4.5293166550663955e-08
1879,1.7717043832021773e-08,8.430868803088742e-08
1880,4.941741593711413e-08,8.856628141984402e-08
1881,6.554157039317943e-08,1.220188892148144e-07
1882,2.7952617998039386e-08,9.184431348785438e-08
1883,1.516641390253426e-08,7.204046426068089e-08
1884,3.3668655419205606e-08,8.912290638818376e-08
1885,3.222817923642651e-08,5.801071978339678e-08
1886,6.195325141788999e-08,6.582533274013258e-08
1887,1.6322312390570914e-08,3.656197833379338e-08
1888,3.804368686743942e-08,6.467426771905593e-08
1889,6.139833830243191e-08,8.207329216247672e-08
1890,2.0318598359381213e-08,6.292211196523567e-08
1891,2.804656840105224e-08,7.776548471838396e-08
1892,2.820830591332424e-08,7.27147408952078e-08
1893,1.6011883374744684e-08,6.404753349897874e-08
1894,1.1972924873759894e-08,5.230277722034771e-08
1895,1.625025980445116e-08,4.5741469278937075e-08
1896,2.5946928161602045e-08,8.078929880639407e-08
1897,1.4566784223291052e-08,3.96216535136773e-08
1898,2.319925584970406e-08,7.751945929612702e-08
1899,2.266307141951529e-08,6.080335879232734e-08
1900,1.8687791425442413e-08,6.073532432537831e-08
1901,1.2295225282343836e-08,8.550770758120052e-08
1902,1.4239823542538943e-08,1.1833783730708092e-07
1903,1.296052865029651e-08,9.396383404691733e-08
1904,1.5048950530172078e-08,6.772027916213119e-08
1905,9.28936660926638e-09,1.0785986148675875e-07
1906,8.230695236477459e-09,9.56818340114296e-08
1907,3.1371342856800766e-08,8.948547502996007e-08
1908,1.0313916831705683e-08,1.5470875780465576e-07
1909,5.5009836685826485e-09,9.626721464428556e-08
1910,8.550641084070776e-09,8.44375804831543e-08
1911,6.916486494645824e-09,5.160762839295785e-08
1912,1.1460726589973547e-08,5.938740343935933e-08
1913,6.363587878865928e-09,5.409049563809276e-08
1914,1.4063162190325329e-08,7.768223042603495e-08
1915,0.0,6.243804051564439e-08
1916,6.592477230782379e-09,2.6369908923129515e-08
1917,3.289927441585405e-09,4.605898240583883e-08
1918,1.378365155346728e-08,5.6283244731503146e-08
1919,3.1306683467846597e-08,4.235610262526279e-08
1920,2.1959472462640406e-08,4.164727585020955e-08
1921,1.438822039290244e-08,4.240738604721628e-08
1922,6.640141769764796e-09,4.131644004701229e-08
1923,1.9108707505210987e-08,3.8217415010421973e-08
1924,7.734974438733389e-09,2.3204924204378585e-08
1925,4.399271169575059e-09,2.969508017258704e-08
1926,2.229227691330493e-09,3.78968714187522e-08
1927,1.4493992672726108e-08,4.3481975353643065e-08
1928,1.3711249025050165e-08,3.7705934374798744e-08
1929,7.798284684668033e-09,4.567566591617833e-08
1930,7.352522590764465e-09,4.936693542845205e-08
1931,5.7026783295555106e-09,5.47457119637329e-08
1932,5.4797681947604815e-09,4.603005265835236e-08
1933,3.4411986593596566e-09,4.588265056781893e-08
1934,7.188948103475923e-09,3.2350264689284813e-08
1935,1.4361940969820353e-08,3.7101681726881e-08
1936,1.4549657478823974e-08,4.364897421282876e-08
1937,2.5182236296217297e-09,6.1696475484041e-08
1938,5.186085783037697e-09,3.241303758727554e-08
1939,4.588215141154706e-09,2.7529290846928234e-08
1940,1.0143131667916805e-08,4.564409294971483e-08
1941,1.4757512545315876e-08,3.836953510472085e-08
1942,3.034211770724937e-09,3.034211815133858e-08
1943,1.1612940831184915e-08,4.064529335323641e-08
1944,9.639558484764166e-09,2.2492303131116387e-08
1945,1.742803190651898e-08,5.664110602765504e-08
1946,9.744772988540262e-09,5.0115975369635635e-08
1947,1.4305045148432782e-08,2.622591566137089e-08
1948,1.0871888278529696e-08,2.0656587551570738e-08
1949,6.8719057111366055e-09,5.792034940554913e-08
