year,sans_ADP ouvrir_VERB,sans_ADP couvrir_VERB
1800,2.6725399493443547e-07,4.4018303668735825e-08
1801,2.1668761895909938e-07,6.667310969987739e-08
1802,2.0364345232337655e-07,1.7902721083373763e-08
1803,2.925508795215137e-07,3.315576790896557e-08
1804,3.015658194271964e-07,4.69651695311768e-08
1805,2.757591308633067e-07,2.55858996212055e-08
1806,3.861436539409624e-07,5.76333825108577e-09
1807,3.1031811431603273e-07,4.27043254092041e-08
1808,2.809931629599305e-07,7.704651672213458e-08
1809,2.688246232285252e-07,2.7108365552308555e-08
1810,4.6100495865175617e-07,3.042164831157379e-08
1811,2.8329966994533606e-07,5.515568801683912e-08
1812,3.280666192040371e-07,2.9339290108509886e-08
1813,2.645682286583906e-07,1.4378708002027452e-08
1814,1.3530711839848664e-07,8.181360300341112e-08
1815,3.3445573421886365e-07,8.091670444798638e-09
1816,5.446369186756783e-07,4.1716869958463576e-08
1817,2.1951915130102861e-07,4.981994905506326e-08
1818,3.3975356683590974e-07,2.741870730460505e-08
1819,3.467601663587061e-07,1.2421260131567635e-08
1820,2.764890174589141e-07,4.6279275522920216e-08
1821,2.4949565613496816e-07,2.465372084259343e-08
1822,3.18814585398286e-07,4.6117833107928163e-08
1823,3.5874154669102154e-07,4.15072847204101e-08
1824,2.4421226374471416e-07,2.4421226818560626e-08
1825,2.3246369362794894e-07,2.289415235168235e-08
1826,3.250146307642865e-07,3.52319382557198e-08
1827,2.313535502618258e-07,7.373818239342356e-08
1828,3.5129914977005683e-07,4.586150481600271e-08
1829,3.369258259056096e-07,4.6295149047637096e-08
1830,3.172798130890442e-07,6.262101237552997e-08
1831,3.0870589284859307e-07,3.585977381703742e-08
1832,3.639561834134497e-07,6.22378593106987e-08
1833,2.6410671916110573e-07,3.70676112027013e-08
1834,2.5669958869656284e-07,2.6136685704614138e-08
1835,3.6832238947681617e-07,5.142899794918776e-08
1836,2.55388514946997e-07,5.2421849972006385e-08
1837,4.550460602770201e-07,5.844628248041772e-08
1838,2.777351193472555e-07,3.2192025267718805e-08
1839,3.957174934399177e-07,5.033862038317238e-08
1840,3.802704058308848e-07,2.86635986057604e-08
1841,3.70465647492324e-07,8.346713542550788e-09
1842,3.360840672428367e-07,3.6895457800056874e-08
1843,2.6285753418342495e-07,2.2446261738195972e-08
1844,3.567564919038091e-07,2.25031016043431e-08
1845,3.108186968359128e-07,2.1204865419122143e-08
1846,3.0033592679501453e-07,2.6930706553685013e-08
1847,2.9770595322275994e-07,3.9909856752728956e-08
1848,2.815827490065814e-07,5.792559676365272e-08
1849,3.7204601555096417e-07,3.77073661184113e-08
1850,2.240368619510491e-07,3.8018379555637694e-08
1851,3.218269961635656e-07,3.805169002113473e-08
1852,3.4050152208919826e-07,3.320378327842377e-08
1853,2.753060588389644e-07,2.9859659633757474e-08
1854,2.6030277577859806e-07,2.1821790430198718e-08
1855,3.2903009383744575e-07,1.8574279891936385e-08
1856,2.8060366297211203e-07,3.6240326295455816e-08
1857,3.802695718313487e-07,4.8326938895115745e-08
1858,2.872587860913711e-07,4.1106879677954566e-08
1859,3.1316864923525145e-07,2.1387128512628806e-08
1860,2.695961338616826e-07,2.013961006297471e-08
1861,2.8578740529638935e-07,3.3483342321005694e-08
1862,2.480374456936829e-07,2.6656119089807362e-08
1863,2.6671274167000547e-07,5.943598679891693e-08
1864,2.804915935072927e-07,4.2193605054308136e-08
1865,2.894709310030663e-07,3.6242702172728514e-08
1866,2.9826206326966087e-07,2.0435575009969398e-08
1867,3.275647735279108e-07,3.34843974769683e-08
1868,2.6329529523305695e-07,2.667531973088444e-08
