year,fruits_NOUN ouverts_ADJ,fruits_NOUN couverts_ADJ
1800,0.0,3.772997558826319e-08
1801,0.0,0.0
1802,4.475680270843441e-09,2.4616241489638924e-08
1803,3.900678446910888e-09,4.8758479920252285e-08
1804,4.943701892301533e-09,1.4831105232815389e-08
1805,0.0,1.421438877713399e-08
1806,0.0,1.152667650217154e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,6.798221985349073e-09
1809,0.0,4.518061036407062e-09
1810,0.0,9.360507036149102e-09
1811,7.521229861140455e-09,1.2535384286138651e-08
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,2.1577788444915313e-08
1816,0.0,4.6352077731626196e-09
1817,2.490997452753163e-08,7.940054302935096e-08
1818,0.0,0.0
1819,1.035105001712111e-09,1.8631889475706487e-08
1820,0.0,1.7799721696576398e-08
1821,0.0,0.0
1822,0.0,1.604098542884458e-08
1823,0.0,0.0
1824,0.0,1.6842225392110777e-09
1825,0.0,3.78634048558979e-08
1826,0.0,1.4973572604048968e-08
1827,0.0,9.217273055917019e-10
1828,0.0,4.586150570418113e-09
1829,0.0,6.858540846366168e-09
1830,0.0,0.0
1831,0.0,1.870944732473845e-08
1832,0.0,5.411987746839486e-09
1833,4.6334514003376626e-09,1.2741991461950875e-08
1834,7.467624740797874e-09,1.6802156110884425e-08
1835,7.563087933704082e-10,2.2689263801112247e-09
1836,0.0,2.016224964762614e-09
1837,0.0,4.174734336004349e-09
1838,0.0,9.468243078458727e-09
1839,0.0,2.0974426639952526e-09
1840,0.0,3.1848443882154243e-09
1841,0.0,5.1364388298225094e-09
1842,0.0,4.695785538189057e-09
1843,0.0,0.0
1844,3.2931368743049916e-09,2.7442805805577564e-09
1845,0.0,1.1160455892778032e-09
1846,0.0,1.7563503984519002e-09
1847,0.0,0.0
1848,2.413566457803995e-09,1.6090443422100975e-09
1849,7.54147322368226e-09,5.865590457787562e-09
1850,2.0366988096043315e-09,0.0
1851,6.449438760824933e-10,6.449438760824933e-10
1852,9.765818376195057e-09,2.6042181744401205e-09
1853,3.5831591027601917e-09,1.1943863675867306e-09
1854,0.0,1.0391328908454511e-09
1855,5.837630823180007e-09,4.2455496895854594e-09
1856,2.0708756931497874e-09,1.0354378465748937e-09
1857,3.4170564155999728e-09,1.464452725752352e-09
1858,9.787352039936081e-10,4.893676019968041e-10
1859,6.110608019582742e-09,1.018434669930457e-09
1860,0.0,1.8308735638683515e-09
1861,0.0,9.431927461278633e-10
1862,0.0,8.132375328706587e-09
1863,1.9978483312144135e-09,3.995696717939978e-09
1864,0.0,1.1986820203091497e-08
1865,0.0,9.41368871743009e-10
1866,6.811858188626729e-09,3.8924903300596725e-09
1867,0.0,1.455843445796745e-09
1868,0.0,1.4819622196071691e-09
1869,0.0,1.4650557433881772e-09
1870,1.1468097582678638e-09,5.160643912205387e-09
1871,0.0,2.1242354542039266e-09
1872,0.0,6.047339295989218e-10
1873,0.0,2.3944017879529156e-09
1874,2.3898436563030145e-09,7.169530746864439e-09
1875,0.0,1.1443054281912168e-09
1876,0.0,1.753344314181504e-08
1877,0.0,1.2369631985365004e-09
1878,0.0,1.2078177569208037e-08
1879,6.10932526790009e-10,1.221865053580018e-09
1880,6.417846254436199e-10,3.8507077526617195e-09
1881,0.0,8.367009307619355e-09
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,0.0,3.159669414998234e-09
1884,5.281357573494461e-09,1.3203393933736152e-09
1885,6.445635691854079e-10,3.8673814151124475e-09
1886,1.936039106809062e-09,5.162771044009418e-09
1887,2.6115698492645834e-09,5.876032105334161e-09
1888,0.0,6.340614699951175e-10
1889,1.2530273485467092e-09,6.265136742733546e-10
1890,0.0,3.2771931834929546e-09
1891,2.5496880162734215e-09,5.099376032546843e-09
1892,6.268512375839919e-10,3.761107425503951e-09
1893,6.158416554491453e-10,0.0
1894,0.0,4.411077725308132e-09
1895,3.0093072478365457e-09,4.213030146971164e-09
1896,5.89702897624278e-10,1.1794058174530164e-08
1897,6.409385022720926e-09,1.7480140668268973e-09
1898,1.13167097914868e-09,3.3950129374460403e-09
1899,0.0,1.1055156790007459e-09
1900,5.191053142894475e-10,1.5573159428683425e-09
1901,0.0,4.470991132876634e-09
1902,9.820567692386817e-10,6.874397495693074e-09
1903,1.6200660812870638e-09,5.400220270956879e-09
1904,4.837162670412454e-09,5.912087708281888e-09
