year,leurs_DET hôtes_NOUN,leurs_DET côtes_NOUN
1800,5.439404731077957e-07,8.866543752539258e-07
1801,4.262316743997019e-07,9.238988525339664e-07
1802,4.632329080322961e-07,6.84779053017337e-07
1803,3.666637837795861e-07,8.308444989779673e-07
1804,3.707776556893805e-07,7.291960226751826e-07
1805,2.985021543278066e-07,7.988486458998523e-07
1806,4.437770542153885e-07,3.861436539409624e-07
1807,4.298902354094025e-07,7.971474076384766e-07
1808,3.829665158328055e-07,7.568687010461872e-07
1809,6.709320408138097e-07,8.539135640805995e-07
1810,5.429093903330795e-07,4.914266469313588e-07
1811,4.1116058469015115e-07,4.7133042135882874e-07
1812,4.907662969344528e-07,4.7476305553573184e-07
1813,5.463909360514663e-07,4.658701486803807e-07
1814,8.684829060356947e-07,5.066150379207102e-07
1815,9.683033113105921e-07,6.985808975734642e-07
1816,3.10558915472825e-07,6.188002572571349e-07
1817,4.5927764669162485e-07,5.449056708073385e-07
1818,6.318224228252234e-07,6.604332156712189e-07
1819,5.506758702367165e-07,6.220981276783277e-07
1820,4.2007343381555984e-07,6.740161104801246e-07
1821,4.5855921371185104e-07,3.9445953792238697e-07
1822,5.494037509379268e-07,4.421296608825287e-07
1823,5.000639493601966e-07,4.872164494074127e-07
1824,5.229511064186454e-07,4.303188525511814e-07
1825,6.031728332356323e-07,5.529818327687508e-07
1826,7.61890657230424e-07,5.179094948459806e-07
1827,5.61331955750699e-07,5.576450110567066e-07
1828,6.062890869351634e-07,4.9163535109642e-07
1829,4.783832263655086e-07,5.152478781411673e-07
1830,5.541959737787039e-07,5.875938633437272e-07
1831,6.127344249762245e-07,3.7886631965022843e-07
1832,5.46610749552201e-07,3.206602726679719e-07
1833,5.861315912625287e-07,6.649002486369682e-07
1834,6.412822699530807e-07,4.0418518132412373e-07
1835,6.731148474159454e-07,5.997528802481611e-07
1836,7.365942078507715e-07,5.974746759562777e-07
1837,6.568248980265423e-07,4.6200395420470386e-07
1838,6.084923791505048e-07,4.3238310354354326e-07
1839,6.774739440551514e-07,4.607382155796813e-07
1840,6.089422512900455e-07,4.694460500331843e-07
1841,5.245588168278914e-07,3.8073851627018485e-07
1842,6.037438353700963e-07,3.6224631383419137e-07
1843,5.08585065728262e-07,3.81586444220261e-07
1844,5.625775303941261e-07,3.765153033796764e-07
1845,5.117068827553695e-07,4.3023557338983665e-07
1846,5.73741117282367e-07,3.518555278247959e-07
1847,5.830074805146523e-07,3.5325615588277515e-07
1848,5.559248279496387e-07,3.789299469758589e-07
1849,4.6589546642827884e-07,3.284730620833898e-07
1850,5.207160143072542e-07,2.912479217798136e-07
1851,6.520382798136382e-07,3.5923374275270703e-07
1852,5.677195531461621e-07,2.9167244663952374e-07
1853,5.685279056422132e-07,4.908927895286297e-07
1854,4.000661555370044e-07,2.977115727276214e-07
1855,4.999134901595426e-07,3.3327563997431753e-07
1856,4.985633315079951e-07,5.358390833265503e-07
1857,4.5251590141681675e-07,3.963785335514558e-07
1858,5.020911675313044e-07,3.073228564964836e-07
1859,5.494455150856226e-07,3.152055212396476e-07
