year,gens_NOUN ouverts_ADJ,gens_NOUN couverts_ADJ
1800,0.0,4.7162465932615305e-08
1801,0.0,1.904946067554647e-08
1802,0.0,2.0140561218795483e-08
1803,0.0,2.145373123596528e-08
1804,0.0,1.4831105232815389e-08
1805,0.0,8.528632911009026e-09
1806,0.0,2.0171682990621775e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,0.0
1809,0.0,1.581321384946932e-08
1810,0.0,0.0
1811,0.0,3.259199843341776e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,2.966945977789237e-08
1816,0.0,2.5493642752394408e-08
1817,0.0,1.71256075987003e-08
1818,0.0,2.026600220972341e-08
1819,0.0,3.1053151161586356e-08
1820,0.0,2.254631326081835e-08
1821,0.0,2.2681422962023134e-08
1822,0.0,7.017931125119503e-09
1823,0.0,1.3835761869529506e-08
1824,0.0,1.0947446504872005e-08
1825,0.0,1.4969252504215547e-08
1826,0.0,2.906634755106552e-08
1827,0.0,1.1982455028203276e-08
1828,0.0,1.6510142586412258e-08
1829,0.0,1.628903412154159e-08
1830,0.0,1.3567886369969528e-08
1831,0.0,4.677361609140007e-09
1832,0.0,2.0294953273491956e-08
1833,0.0,1.6217079235048004e-08
1834,2.8003592777992026e-09,1.6802156110884425e-08
1835,0.0,3.403389570166837e-08
1836,0.0,1.008112526790228e-08
1837,0.0,1.8090515752078318e-08
1838,0.0,9.468243078458727e-09
1839,0.0,1.8177836125232716e-08
1840,0.0,1.9746034141121527e-08
1841,0.0,7.704658244733764e-09
1842,0.0,1.408735705865638e-08
1843,0.0,1.9492807368237663e-08
1844,0.0,1.3721403568922597e-08
1845,0.0,3.013322924516615e-08
1846,0.0,7.025401593807601e-09
1847,0.0,1.1325769655456952e-08
1848,0.0,1.287235473768078e-08
1849,0.0,1.6758829879393033e-09
1850,0.0,2.7155984128057753e-09
1851,0.0,5.159551008659946e-09
1852,0.0,1.7578472011337e-08
1853,0.0,1.5527023222716707e-08
1854,0.0,1.558699302961486e-08
1855,0.0,1.0083180512765466e-08
1856,0.0,6.73034605824796e-09
1857,0.0,4.881508974818871e-09
1858,0.0,6.361778659424999e-09
1859,0.0,1.323965115318515e-08
1860,0.0,2.1512764902809067e-08
1861,1.8863854922557266e-09,1.131831339762357e-08
1862,0.0,1.2650361647104091e-08
1863,0.0,9.989241434027463e-09
1864,0.0,1.821996598039277e-08
1865,0.0,1.2708479601997169e-08
1866,4.865612912574591e-10,8.271541673821048e-09
1867,9.7056229719783e-10,1.5043715606566366e-08
1868,0.0,9.87974857480367e-09
1869,1.4650557433881772e-09,1.5627261262807224e-08
1870,5.734048791339319e-10,8.601073631098188e-09
1871,0.0,6.37270636261178e-09
1872,0.0,6.047339518033823e-09
1873,5.986004469882289e-10,7.781805422268917e-09
1874,0.0,1.4936523129449597e-08
1875,5.721527140956084e-10,9.7265964171811e-09
1876,0.0,1.3905833817773328e-08
1877,0.0,2.288381928394756e-08
1878,0.0,1.3889904337816006e-08
1879,3.0546627449723474e-09,2.871382953628654e-08
1880,3.8507077526617195e-09,5.776061406947974e-09
1881,0.0,6.2752567586699115e-09
