year,bureaux_NOUN ouverts_ADJ,bureaux_NOUN couverts_ADJ
1800,2.5153315874604232e-08,0.0
1801,2.1430643926123594e-08,0.0
1802,6.713520406265161e-09,0.0
1803,1.950339223455444e-09,0.0
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,1.4408345627714425e-08,0.0
1807,8.540865792383556e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.25903047379461e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,2.2563691359778204e-08,0.0
1812,3.200649700829672e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,6.227493631882908e-09,0.0
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,4.140420006848444e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,0.0,9.86148829262845e-10
1822,5.012807946513931e-09,0.0
1823,4.941343334508019e-09,0.0
1824,1.7684336661716316e-08,0.0
1825,1.0566531649658373e-08,0.0
1826,0.0,1.145037931138404e-08
1827,9.217273166939322e-09,0.0
1828,1.467568222501825e-08,0.0
1829,2.8291481601883106e-08,0.0
1830,4.905312711578347e-08,1.0436835840010872e-09
1831,7.795603274018958e-09,0.0
1832,2.4353945082822293e-08,0.0
1833,6.950177322551099e-09,1.1583628278799551e-08
1834,7.467624740797874e-09,0.0
1835,8.31939672707449e-09,0.0
1836,5.376600054063374e-09,0.0
1837,1.3915781860163179e-09,6.957890930081589e-10
1838,8.205810475558906e-09,0.0
1839,9.088917618527148e-09,0.0
1840,1.2102408852854296e-08,0.0
1841,6.420548537278137e-09,0.0
1842,9.391571076378114e-09,0.0
1843,6.497602123012314e-09,0.0
1844,6.037417288329294e-09,0.0
1845,7.254296274794569e-09,0.0
1846,9.367202125076801e-09,0.0
1847,1.3483059113639229e-08,3.235934187273415e-09
1848,9.65426583121598e-09,0.0
1849,4.1897072478036534e-09,0.0
1850,2.4440384827073558e-08,0.0
1851,1.9348316726564008e-08,0.0
1852,1.1718981340891332e-08,0.0
1853,8.360704795151719e-09,0.0
1854,1.4028294526013951e-08,0.0
1855,2.0166361025530932e-08,0.0
1856,9.836659486950339e-09,0.0
1857,2.7336450436621362e-08,0.0
1858,1.1744822836501356e-08,0.0
1859,2.4442432078330967e-08,0.0
1860,1.4646988677480266e-08,0.0
1861,2.7352589082596523e-08,0.0
1862,2.891511208247266e-08,0.0
1863,1.848009772986714e-08,0.0
1864,2.1576275988088867e-08,0.0
1865,3.294790928975999e-08,0.0
1866,2.18952577180076e-08,0.0
1867,2.7661025470138156e-08,0.0
1868,1.1361710683388537e-08,0.0
1869,1.9534075801352913e-08,0.0
1870,1.6628741494884025e-08,0.0
1871,4.991953161948004e-08,0.0
1872,1.330414645117628e-08,0.0
1873,6.584604861359367e-09,0.0
1874,1.0754296286830112e-08,0.0
1875,6.293679799540541e-09,0.0
1876,1.1487428119849596e-08,0.0
1877,1.9172929133226546e-08,0.0
1878,4.6500983230668425e-08,6.039088673581716e-10
