year,arbres_NOUN couverts_ADJ
1800,6.288328791015374e-08
1801,5.9529565277216534e-08
1802,2.6854081625060644e-08
1803,2.7304748684287006e-08
1804,5.19088700912107e-08
1805,2.2743021688143017e-08
1806,2.0171682990621775e-08
1807,3.9857372513552036e-08
1808,4.078933102391602e-08
1809,6.09938268780752e-08
1810,4.914266327205041e-08
1811,3.5099073869560016e-08
1812,1.8670457180292033e-08
1813,1.1790540810352468e-07
1814,9.440030979135372e-09
1815,1.0249449644561537e-07
1816,4.1716869958463576e-08
1817,1.71256075987003e-08
1818,8.583247534943439e-08
1819,2.3807414706311647e-08
1820,7.95054262425765e-08
1821,2.6626018723163725e-08
1822,2.3058916553964082e-08
1823,5.138997138942614e-08
1824,6.14741253457396e-08
1825,6.251864448358901e-08
1826,6.165588928297439e-08
1827,2.488663675137559e-08
1828,8.071624790773058e-08
1829,3.1720752247110795e-08
1830,3.652892388572582e-08
1831,4.053713453799901e-08
1832,2.1647950987357945e-08
1833,1.030942939905799e-07
1834,6.16079063320285e-08
1835,3.7059130875150004e-08
1836,4.2340726480460944e-08
1837,6.609996461293122e-08
1838,5.428459104450667e-08
1839,4.1249702320556025e-08
1840,3.121147429396842e-08
1841,2.1829865914924085e-08
1842,5.433694738599115e-08
1843,2.7171790151214736e-08
1844,4.50062032086862e-08
1845,6.082448322786149e-08
1846,3.571245699163228e-08
1847,2.7505439703645607e-08
1848,4.746680914990975e-08
1849,3.267971848686102e-08
1850,2.308258650884909e-08
1851,3.0957306051959677e-08
1852,3.1250618093281446e-08
1853,7.942669100202693e-08
1854,2.7537021551893304e-08
1855,4.351688431825096e-08
1856,4.918329921110853e-08
1857,4.246912865824015e-08
1858,4.7468656561022726e-08
1859,3.8700516569178944e-08
1860,5.904567146330919e-08
1861,2.8295781717702084e-08
1862,2.755971628687348e-08
1863,4.4452125536054155e-08
1864,4.554991406280351e-08
1865,6.919061235066692e-08
1866,6.082016312802807e-08
1867,3.930777126015528e-08
1868,3.6061081232219294e-08
1869,4.102156125895817e-08
1870,1.8922360567330543e-08
1871,5.523012092112367e-08
1872,4.777398032729252e-08
