year,les_DET ados_NOUN,les_DET cadeaux_NOUN
1800,1.5720821977538435e-08,1.8236154364359436e-07
1801,2.8574191901498125e-08,1.262026785298076e-07
1802,2.4616241489638924e-08,1.4993528907325526e-07
1803,1.287223887480593e-07,4.29074642482874e-08
1804,1.3347995064805218e-07,7.909923205318137e-08
1805,1.0802935435094696e-07,7.960057835099121e-08
1806,2.0171682990621775e-08,6.916005901302924e-08
1807,4.270432718556094e-08,1.0249038684406742e-07
1808,1.5862518409903714e-08,7.024829073998262e-08
1809,2.7786076550739836e-07,1.3328279835356227e-07
1810,2.106114038724627e-08,8.658468830802235e-08
1811,0.0,9.276184087525507e-08
1812,1.3336041604361526e-08,1.6803411284627146e-07
1813,2.8757416448144113e-09,1.2940837468278232e-07
1814,7.552024783308298e-08,1.4474714360446228e-07
1815,2.697223555614414e-09,1.0788893867186289e-07
1816,1.668674798338543e-07,8.57513455798653e-08
1817,4.3592454090912724e-08,1.2922049030805738e-07
1818,6.795071039178424e-08,1.0609847578280096e-07
1819,1.2421260131567635e-08,1.035104997271219e-07
1820,7.119888678630559e-09,1.9935688211347724e-07
1821,2.9584465099929957e-08,2.0314665150067412e-07
1822,1.2030739071633434e-08,2.396122198433659e-07
1823,3.063633013944411e-08,1.482402964825269e-07
1824,2.863178316658832e-08,2.0884359663853047e-07
1825,3.78634048558979e-08,2.2453880177408791e-07
1826,7.0463874735082754e-09,1.8320607253485832e-07
1827,4.7929820112813104e-08,1.539284610885261e-07
1828,2.201352222730435e-08,1.1098484620220006e-07
1829,6.858540679832714e-09,1.44029360882314e-07
1830,5.218417697960831e-09,3.08930349746106e-07
1831,5.456922025359745e-08,1.8553535952037237e-07
1832,1.7588959622116818e-08,2.6383439788446594e-07
1833,7.066013374412705e-08,3.0812451257133944e-07
1834,4.667265685043276e-08,2.8937047069632627e-07
1835,4.9160071569076536e-08,3.221875317649392e-07
1836,2.9571300075303952e-08,2.332100272894877e-07
1837,2.643998597839925e-08,2.769240481370616e-07
1838,4.7341213615936795e-08,3.0929592220729774e-07
1839,1.8876983531868063e-08,2.824556091240993e-07
1840,1.9746035473389156e-08,2.4459604475168817e-07
1841,3.5955073585114405e-08,2.208668643532974e-07
1842,2.2808101629578914e-08,3.3608407434826404e-07
1843,3.485077471054865e-08,2.8057827705652016e-07
1844,2.1954245588151622e-08,2.5906009071263725e-07
1845,3.794555114566833e-08,4.023344217785052e-07
1846,5.620321363863923e-08,3.319502326348811e-07
1847,2.642679497455447e-08,2.6211067094550344e-07
1848,1.126331028444838e-08,2.3492047773743252e-07
1849,5.446619755211657e-08,2.488686252632988e-07
1850,4.5486274302675156e-08,2.457616581352795e-07
1851,4.2566296265533765e-08,2.431438481664827e-07
1852,4.427171051979428e-08,2.897192707962404e-07
1853,3.5831591471691127e-08,2.729172958737536e-07
1854,2.1302223651709085e-08,2.7744848729582827e-07
1855,3.502578493908004e-08,3.279687241786178e-07
1856,4.814785881102068e-08,3.3910589536390034e-07
1857,2.6360148952520035e-08,3.6757763055561554e-07
1858,3.1808893741214206e-08,3.665363337290728e-07
1859,2.3933214077231924e-08,3.78857707872271e-07
1860,2.3801355719665906e-08,3.8356800047267825e-07
1861,2.782418562219391e-08,2.8861698453397366e-07
1862,1.7168348742657713e-08,3.1671083533524325e-07
1863,3.546180704638857e-08,3.511218338303479e-07
1864,2.205574789471143e-08,3.3035674817938343e-07
1865,1.5061901559310087e-08,3.7231139415894177e-07
1866,4.7196446417707705e-08,3.547031681705448e-07
1867,5.580733208887523e-08,3.7706346489585485e-07
1868,1.0373735648272486e-08,4.920114520245988e-07
1869,3.85797997992654e-08,4.1265736783202556e-07
1870,7.454263428741115e-09,4.071174757314111e-07
1871,2.2304472047096624e-08,4.375925009014736e-07
1872,3.265563086607415e-08,3.0418117091812746e-07
1873,2.454261815998393e-08,3.298288575592778e-07
1874,2.6885740744830855e-08,3.8655721112945685e-07
1875,1.7736734747586524e-08,3.736157250244787e-07
1876,3.5066885395451663e-08,4.98796214998265e-07
1877,2.3502301216282717e-08,4.261338233391143e-07
1878,9.662541877730746e-09,4.952052776729943e-07
1879,2.4437300738533452e-08,4.148231855793938e-07
1880,3.3372800523068236e-08,3.9469754042897875e-07
1881,1.5339516323820135e-08,5.243325631454354e-07
1882,2.9949233093518046e-08,4.938295745660071e-07
1883,3.222862893226264e-08,5.965456040257777e-07
1884,2.2445769687351458e-08,5.875510247221882e-07
1885,2.1270597949651915e-08,4.93091135922441e-07
1886,2.6459202828732487e-08,5.207945470431241e-07
1887,3.590908459472075e-08,5.51694135708658e-07
1888,3.6141505121989326e-08,5.655828303474664e-07
1889,7.01695306304373e-08,5.914288863095862e-07
1890,5.833403982080654e-08,6.678919604041766e-07
1891,1.784781566982474e-08,5.602939268101181e-07
1892,3.322311603604078e-08,5.923744481606263e-07
1893,1.1085149742573464e-08,6.829683947273679e-07
1894,1.4493540145821271e-08,5.999065280093419e-07
1895,1.2639090440913492e-08,7.330672708860675e-07
1896,1.7101383642526002e-08,6.362894495737237e-07
1897,1.0488084178916779e-08,6.12387598408759e-07
1898,1.98042420240796e-08,5.052911014047368e-07
1899,5.085372123403431e-08,5.980839645758351e-07
1900,1.6611369391128505e-08,6.286365632490742e-07
1901,1.3412973010051843e-08,6.169967612379423e-07
1902,1.5712908751908117e-08,5.10178487900248e-07
1903,1.4580594287494364e-08,5.90784079435025e-07
1904,4.299700062659895e-08,5.557362570129953e-07
1905,1.23858218126216e-08,5.434279231053551e-07
1906,2.8807432883581896e-08,5.545430781239702e-07
1907,1.542853000913169e-08,4.808558422553233e-07
1908,1.1787333775714615e-08,5.815084698213013e-07
1909,2.0353639218484432e-08,5.242437417507517e-07
1910,9.0850561518252e-09,5.777027034525872e-07
1911,7.980560989828689e-09,5.049034932369523e-07
1912,7.814131564032323e-09,5.824132855991593e-07
1913,2.4393752351414832e-08,5.04314321858601e-07
1914,1.6741859676372428e-08,5.263640687758198e-07
1915,1.5314990164938536e-08,6.879964686845597e-07
1916,3.62586254354369e-08,6.405690555766341e-07
1917,2.1932848093264568e-08,5.888969667466881e-07
1918,6.89182577673364e-09,4.3533367133363754e-07
1919,5.524709190130039e-09,4.5763007250343435e-07
1920,2.4988364266675944e-08,5.247556700282985e-07
1921,8.330022005509363e-09,4.7784035928089e-07
1922,1.5493664462518097e-08,5.135043004145246e-07
1923,5.307974060286824e-09,5.647684453435886e-07
1924,3.609654752878555e-08,6.123521565370993e-07
1925,2.1996356291964503e-08,6.884859402589427e-07
1926,3.343841514791279e-08,5.985476505543375e-07
1927,7.804457635707251e-09,7.057459399106847e-07
1928,1.4853853924634564e-08,5.655890191746948e-07
1929,1.3368487650211591e-08,5.937836391467499e-07
1930,1.05036033204442e-08,6.858853325297787e-07
1931,3.4216069977333063e-09,5.942190810515058e-07
1932,7.6716757391182e-09,6.422288336693782e-07
1933,1.261772819560747e-08,7.513283506455082e-07
1934,3.5944740517379614e-09,6.70968464788757e-07
1935,1.795242710045386e-08,6.893731807622316e-07
