year,ses_DET arrières_NOUN,ses_DET carrières_NOUN
1800,1.5720821977538435e-08,5.973912209356058e-08
1801,1.1905912700171939e-08,8.810375362600098e-08
1802,8.951360541686881e-09,1.1860552717735118e-07
1803,1.950339267864365e-08,1.0141763939763848e-07
1804,2.2246657849223084e-08,1.285362465353046e-07
1805,3.695740935505398e-08,6.538618890772341e-08
1806,2.0171682990621775e-08,4.610670600868616e-08
1807,2.2775640928784924e-08,1.2811298688575334e-07
1808,2.7192887941396293e-08,1.812859142802381e-07
1809,2.9367397402779716e-08,3.614448917943491e-08
1810,0.0,2.3401266702194334e-08
1811,2.5070768572277302e-08,8.774768422981083e-08
1812,6.66802022486479e-08,7.201462315364893e-08
1813,3.163315653864629e-08,8.052076694298194e-08
1814,3.1466772298927026e-08,8.496028014448598e-08
1815,3.506390555685357e-08,2.1577788444915313e-08
1816,2.3176038865813098e-09,2.5493642752394408e-08
1817,2.6466848268569265e-08,1.4790297342415215e-07
1818,4.6492591110336434e-08,1.1682753608965868e-07
1819,4.140420006848444e-09,5.382546020005208e-08
1820,2.254631326081835e-08,6.526564533260171e-08
1821,8.875339574387908e-09,8.283650110296747e-08
1822,8.02049271442229e-09,1.0727409005539812e-07
1823,1.4824030003524058e-08,6.226092708061515e-08
1824,2.0210670470532932e-08,4.7158231986088595e-08
1825,2.641632912414593e-09,5.371320099811783e-08
1826,2.642395191543301e-09,8.103345461307754e-08
1827,6.452091305675367e-09,1.0876382283697694e-07
1828,1.8344602503717056e-09,6.512333783348367e-08
1829,7.715858174606183e-09,1.6203303232487087e-07
1830,5.218417920005436e-09,6.262101592824365e-08
1831,6.236482441579483e-09,4.053713453799901e-08
1832,4.058990921151917e-09,1.0959275087429887e-07
1833,0.0,2.0850531612381928e-07
1834,3.733812370398937e-09,1.4561867978102327e-07
1835,1.2100940693926532e-08,9.378229037793062e-08
1836,5.376600054063374e-09,7.661655265778222e-08
1837,1.2524203896191466e-08,8.766942727334026e-08
1838,5.680945491803868e-09,9.783850751787782e-08
1839,6.292327547896548e-09,6.921560480321887e-08
1840,1.46502836528839e-08,9.936714340241792e-08
1841,6.420548537278137e-10,1.0786521631445112e-07
1842,6.708265054555795e-09,8.318248623240265e-08
1843,2.3627644285539873e-09,6.320394541070584e-08
1844,3.2931368743049916e-09,7.135129576063548e-08
1845,7.812318791877715e-09,7.812318925104478e-08
1846,1.7563503984519002e-09,4.9177811156653206e-08
1847,2.1572894581822766e-09,7.5505127483666e-08
1848,0.0,5.792559765183114e-08
1849,1.005529792763582e-08,9.384945087731467e-08
1850,4.752297222410107e-09,8.893584890756756e-08
1851,1.2253934089656582e-08,9.158202729508957e-08
1852,9.114764054629632e-09,7.487127362537649e-08
1853,5.971931837933653e-09,1.0868915989448169e-07
1854,4.676098175337984e-09,1.267742151256357e-07
1855,1.5920811335945473e-09,1.0030111496917016e-07
1856,2.5885946719483854e-09,7.817555758293793e-08
1857,4.393358121745905e-09,7.322263972930898e-08
1858,1.4191660291373864e-08,5.5298537970926986e-08
1859,1.2221215817120878e-08,4.684799570497944e-08
1860,3.661747127736703e-09,7.369266086243442e-08
1861,4.2443675241088386e-09,5.3290391044402696e-08
1862,8.584174260306554e-09,1.0978706677100547e-07
1863,4.994620828036034e-10,6.193330026604826e-08
1864,7.1920918109924514e-09,5.274200909344273e-08
1865,1.882737743486018e-09,6.21303455350386e-08
1866,1.9462451650298362e-09,6.130672436377438e-08
1867,5.338092634588065e-09,5.629261323747414e-08
1868,8.891772984576107e-09,7.014620884149281e-08
1869,6.8369265804335555e-09,3.6626392030392196e-08
1870,5.734048791339319e-10,5.791389234843791e-08
1871,4.248470908407853e-09,2.3366590440332402e-08
1872,1.1489944995446422e-08,3.6888769039400415e-08
1873,4.788803575905831e-09,5.8064241581501363e-08
1874,4.182226565063729e-09,4.301718403709742e-08
1875,7.437985338754061e-09,5.149374393553785e-08
1876,2.418405919968336e-09,7.738898943898675e-08
1877,4.329371083855449e-09,9.215375573745632e-08
1878,3.0195443923020093e-09,6.159870524768962e-08
1879,6.10932526790009e-10,6.231511739951401e-08
1880,1.0910338410496934e-08,8.022307529387263e-08
1881,2.7890030285249168e-09,6.414706632540401e-08
1882,1.3310770263785798e-09,6.522277651299646e-08
1883,4.423537092179686e-09,5.181857898328701e-08
1884,5.941527270181268e-09,6.07356120951863e-08
1885,1.933690763067375e-09,4.7697703675630976e-08
1886,2.5813855497602844e-09,7.356949133230373e-08
1887,3.264462256069578e-09,4.961982785767205e-08
1888,1.268122939990235e-09,6.911269889720018e-08
1889,1.8795409673089125e-09,3.445825286219062e-08
1890,1.0487018364813139e-08,6.94764992204e-08
1891,1.9122659011827636e-09,4.14324303754654e-08
1892,2.5074049503359674e-09,7.898325549149376e-08
1893,2.463366621796581e-09,5.9120800699474785e-08
1894,2.520615716150587e-09,9.074216822391179e-08
1895,1.2639090662958097e-08,7.824198844375019e-08
1896,5.89702897624278e-10,7.017464515035599e-08
1897,2.9133566670225264e-09,7.05032356940194e-08
1898,3.3950129374460403e-09,4.1871825340322744e-08
1899,4.4220627160029835e-09,6.798921781125955e-08
1900,5.710158568206225e-09,6.488816461924785e-08
1901,1.676621730339889e-09,6.482936898422054e-08
1902,7.365425602756659e-09,3.977329826598819e-08
1903,7.560307935250421e-09,7.398301971051069e-08
1904,5.374625189347171e-09,8.491907710350688e-08
1905,5.160759042333041e-10,5.057544039122064e-08
1906,5.144184633820714e-09,5.4528356385752375e-08
1907,4.6285588695127444e-09,6.788553008618692e-08
1908,4.911389073214423e-09,5.353414178621563e-08
1909,6.60118004702781e-09,4.675836162704172e-08
1910,1.068830135508847e-09,1.084862604194825e-07
1911,8.51259862599818e-09,4.681929155481157e-08
1912,8.335073964360618e-09,3.959160110866833e-08
