year,deux_DET arts_NOUN,deux_DET quarts_NOUN
1800,1.3834323731032327e-07,1.194782499602809e-07
1801,3.333655484993869e-08,1.7858868983644527e-07
1802,1.096541666356643e-07,2.103569727296417e-07
1803,1.3847407842604298e-07,7.996391104825307e-08
1804,1.3347995775347954e-07,1.1617699158250616e-07
1805,7.675770063997334e-08,1.6204402619734992e-07
1806,9.797675204481493e-08,2.4494187300660997e-07
1807,2.1921555060089304e-07,1.9928686256776018e-08
1808,1.0423940155490641e-07,3.3991109482656157e-08
1809,6.551188591608081e-08,1.1972861502229648e-07
1810,1.2168659324629516e-07,1.287069690825149e-07
1811,1.2535384108502967e-07,1.4791753244480788e-07
1812,1.0135391326215881e-07,1.2535878113340004e-07
1813,7.189353823378042e-08,1.2940837734731758e-07
1814,2.8320094713762956e-08,9.44003133440674e-08
1815,1.8880564667256294e-08,8.90083740046066e-08
1816,4.4034472068688046e-08,4.8669683394564345e-08
1817,7.161617721074265e-08,1.588010860587019e-07
1818,1.2517236314124602e-07,6.795070817133819e-08
1819,7.866798057420965e-08,6.83169290027763e-08
1820,1.1273156985680544e-07,1.2459804565878585e-07
1821,1.065040748926549e-07,9.269798950661823e-08
1822,9.323822780515911e-08,9.223566621585633e-08
1823,1.1365089847004128e-07,9.190898708766326e-08
1824,1.271587990459011e-07,7.326367779114662e-08
1825,6.42797326477762e-08,1.382454541953848e-07
1826,6.253669226907732e-08,1.0745740564033213e-07
1827,6.54426368096317e-08,6.544263564389752e-08
1828,5.503380623439469e-08,1.0456423638061096e-07
1829,8.401712392469562e-08,1.208817845821386e-07
1830,4.383470941782264e-08,1.2315466491052973e-07
1831,5.3010101197514814e-08,1.5591205393405971e-07
1832,8.38858085216998e-08,2.259504824353442e-07
1833,6.370995575544214e-08,7.297686188678654e-08
1834,7.187588568768888e-08,8.121041616959701e-08
1835,8.470658485748572e-08,1.005890695182643e-07
1836,6.183090306421946e-08,7.728862738698439e-08
1837,8.34946876082654e-08,1.0367257352594805e-07
1838,6.185918977053007e-08,1.3255539688117324e-07
1839,6.292327392465324e-08,9.857979865746103e-08
1840,5.4142353878017246e-08,6.624475901162441e-08
1841,5.3290552415319326e-08,1.1364370688937697e-07
1842,1.0599058697380315e-07,1.0263645755514972e-07
1843,8.033399012674636e-08,1.0396163596659846e-07
1844,8.342613450063041e-08,5.378790224330743e-08
1845,9.98860830714321e-08,6.863680629409785e-08
1846,7.610852037487348e-08,1.2879903099616286e-07
1847,5.3932236454556914e-08,1.0139260631092384e-07
1848,6.194820856286753e-08,1.5205468884005313e-07
1849,3.351765842651844e-08,1.4077417276325832e-07
1850,6.85688590351674e-08,1.1744963046567136e-07
1851,5.224045551699419e-08,8.835731080125697e-08
1852,1.3346618432663604e-07,1.4323199271082387e-07
1853,6.987159983928848e-08,9.137055467789423e-08
1854,6.910233790735631e-08,6.026970833516998e-08
1855,7.164365101175463e-08,9.181000848457188e-08
1856,1.1545132083679022e-07,8.749449492695405e-08
1857,7.712784366731285e-08,1.0446429588029105e-07
1858,9.493731573106956e-08,1.1891632700766763e-07
1859,9.827894476011068e-08,1.6396798052653594e-07
1860,7.872756668803049e-08,1.1168328617472412e-07
1861,1.0563758534587464e-07,7.356903375388413e-08
1862,7.861296347222435e-08,8.855253244566264e-08
1863,1.243660608385433e-07,1.4284615001969314e-07
1864,1.0404559547261272e-07,2.0713224113677597e-07
1865,7.719224726088214e-08,7.295608650537133e-08
1866,8.174229337853944e-08,8.90407183540276e-08
1867,7.667442503134225e-08,8.783588612004678e-08
1868,7.26161495379074e-08,1.378224894210689e-07
1869,7.47178409143956e-08,4.688178378842167e-08
1870,6.422134646300037e-08,5.791389323661633e-08
1871,3.186353225714811e-08,1.1895718432519686e-07
1872,7.982487915114689e-08,8.163907816438609e-08
1873,7.721946104766175e-08,1.5443891188127168e-07
1874,5.01867165603187e-08,1.1769980057252383e-07
1875,7.380770256082414e-08,9.26887366858864e-08
1876,7.980739469282128e-08,4.957732002708326e-08
1877,6.494056881134469e-08,6.926993734168718e-08
1878,9.239805764948983e-08,7.186515804669114e-08
1879,7.270097057698877e-08,1.2585210140692027e-07
1880,7.508880250917116e-08,1.1937194099864712e-07
1881,7.809208313336313e-08,1.1922988285562042e-07
1882,8.785108107645101e-08,7.387477451992197e-08
1883,8.847074745021999e-08,1.3839352530631288e-07
1884,8.978307697304899e-08,1.1090850726702683e-07
1885,6.767917792860345e-08,1.0699755048637627e-07
1886,7.163344711846875e-08,1.0712749798358345e-07
1887,4.635536360320103e-08,1.2339667776473107e-07
1888,8.115986549483978e-08,1.0018170892855949e-07
1889,8.95914575860246e-08,1.1778457187361369e-07
1890,7.078737507271171e-08,1.1601263949501117e-07
1891,4.716922674674606e-08,1.4150768623544252e-07
1892,7.208788876944539e-08,8.462491507543746e-08
1893,6.8358424809567e-08,8.067525691934918e-08
1894,7.68787788985037e-08,1.2729109366560465e-07
1895,5.9584283951252814e-08,1.1074250361176041e-07
1896,7.607167379353186e-08,1.0614652268259306e-07
1897,5.7684462984042284e-08,1.0255016114069093e-07
1898,9.166534642446322e-08,9.845537451980135e-08
1899,7.517506261933704e-08,9.396883093870656e-08
1900,9.603448158923555e-08,8.772879978025117e-08
1901,1.0003842754180425e-07,1.1904014152186448e-07
1902,6.039649003142245e-08,1.7677021180162455e-07
1903,5.238213662828173e-08,6.426262433301133e-08
1904,6.449550404852289e-08,7.148251413013895e-08
1905,9.392581223899299e-08,9.08293626977752e-08
1906,6.173021177557914e-08,1.4300833317548722e-07
1907,5.451413809254291e-08,1.6251385259735684e-07
1908,6.090122517399266e-08,9.921006149937739e-08
1909,8.086445618671334e-08,1.2377213032266354e-07
1910,6.306098043751263e-08,8.229991710351214e-08
1911,6.863282675517723e-08,1.0800359628859724e-07
1912,6.147117193044949e-08,8.908110427086058e-08
1913,6.469647362283837e-08,9.227202391048905e-08
1914,4.352883264946428e-08,1.151839938984267e-07
1915,2.94519039156782e-08,7.30407232474306e-08
1916,4.944358011904626e-08,9.668966782783173e-08
1917,6.68951898319392e-08,8.992468070179171e-08
1918,9.533692502117219e-08,1.0682330131572826e-07
1919,4.6960025201769895e-08,2.182260121497137e-07
1920,7.49650914677602e-08,1.113118037743277e-07
1921,9.996026761882604e-08,1.1131938670860819e-07
1922,7.451715111628232e-08,8.484625924065625e-08
1923,8.917396732144311e-08,8.28043975609205e-08
1924,7.73497492723152e-08,1.2891624812105817e-07
1925,8.908524029571652e-08,9.458432792541771e-08
1926,8.693988340358061e-08,8.693987685326476e-08
1927,1.0703256081434631e-07,7.358488707254196e-08
1928,7.08414584771333e-08,7.08414584771333e-08
1929,8.35530460374656e-08,1.2143043082168958e-07
1930,1.1764036322858828e-07,9.97842317662645e-08
1931,9.808606460381952e-08,9.352392460471037e-08
1932,5.698959038014095e-08,7.56208060614938e-08
1933,6.997103763062285e-08,1.0094182467668134e-07
1934,7.069132657022692e-08,5.751158660416422e-08
1935,7.77938495843955e-08,6.462873081147791e-08
1936,4.364897199238271e-08,8.244805638213393e-08
1937,5.414180659357726e-08,9.191516170403702e-08
1938,7.779128452511941e-08,7.260520362706302e-08
1939,5.352917753498332e-08,5.964679417047591e-08
1940,2.7893612752905028e-08,7.100192078723921e-08
1941,5.607854980382854e-08,9.444808357628176e-08
1942,1.456421614420833e-07,6.371844563091145e-08
1943,9.00002918857723e-08,6.967764676346633e-08
1944,1.1888788975511488e-07,7.069009733129406e-08
1945,4.1391576388605245e-08,3.92130714566008e-08
1946,6.403708052715729e-08,6.12528578969318e-08
1947,1.060957499632309e-07,4.1723048349595615e-08
1948,8.371353343861188e-08,9.241104392820887e-08
1949,6.970075983048218e-08,4.515823803785679e-08
1950,7.232045673433163e-08,6.487570236579643e-08
1951,8.315893085253379e-08,6.716683031982029e-08
1952,5.1669539202769954e-08,6.221433979103352e-08
1953,5.1714371673838855e-08,9.696444491780198e-08
