year,aux_ADP oeufs_NOUN,aux_ADP queues_NOUN
1800,6.917161954334006e-08,6.288328791015374e-08
1801,6.667310969987739e-08,2.3811825400343878e-08
1802,4.699464284385613e-08,1.5664880947952042e-08
1803,3.1400460898112215e-07,5.851017448321727e-09
1804,7.662737999680758e-08,2.2246657849223084e-08
1805,7.960057502032214e-08,3.1271653710973624e-08
1806,8.645007376628655e-09,2.881669125542885e-09
1807,1.4234775580490577e-08,2.8469551160981155e-09
1808,1.8128592405020072e-08,5.4385775882792586e-08
1809,4.518061036407062e-09,7.228897658251299e-08
1810,5.8503168531842675e-08,2.106114038724627e-08
1811,5.0141537144554604e-08,1.2535384286138651e-08
1812,1.3336040716183106e-08,3.7340916136940905e-08
1813,5.4639092583741444e-08,3.738464116054274e-08
1814,1.0698702368472368e-07,1.8880061958270744e-08
1815,3.7761129112467984e-08,3.776112933451259e-08
1816,3.012885052555703e-08,1.622322720606917e-08
1817,5.916119061311065e-08,2.0239355080775567e-08
1818,3.814776827759658e-08,2.2650237241350624e-08
1819,3.726378139390363e-08,1.6561680027393777e-08
1820,2.4919610375206958e-08,2.3732962262101864e-08
1821,5.916893086599373e-09,2.070912508145284e-08
1822,1.804610860745015e-08,1.804610860745015e-08
1823,3.656594182999129e-08,1.087095569118901e-08
1824,8.421112696055388e-09,3.705289586264371e-08
1825,2.993850611865412e-08,1.937197424695114e-08
1826,1.673516958344834e-08,1.3211976401805714e-08
1827,9.032927417162995e-08,9.125100319806734e-08
1828,2.2013523004460467e-08,3.118582370120748e-08
1829,1.371708191477694e-08,1.7146351893870815e-08
1830,2.713577385016208e-08,2.400472176589119e-08
1831,3.1182412207897414e-09,5.76874619184764e-08
1832,1.2176972319366541e-08,5.411987658021644e-08
1833,5.096796495962508e-08,5.09679658478035e-08
1834,4.760610750054184e-08,3.267085801894609e-08
1835,1.285724948729694e-08,2.117664621437143e-08
1836,2.2178474501366452e-08,1.6129799718100912e-08
1837,1.669893889832963e-08,3.6876823372722356e-08
1838,2.524864739505972e-08,5.491580878924651e-08
1839,3.705481832483315e-08,4.61437359433603e-08
