year,elles_PRON ouvrent_VERB,elles_PRON couvrent_VERB
1800,1.1004575739548272e-07,2.703981358820329e-07
1801,8.572257326200372e-08,2.976478192806553e-07
1802,9.175144555229053e-08,1.9021641151084623e-07
1803,5.655983770225248e-08,3.686141027969825e-07
1804,7.168367588406e-08,2.669599084015317e-07
1805,5.970043281955384e-08,2.530161218317062e-07
1806,3.45800286183362e-08,1.383201144733448e-07
1807,6.832692367453319e-08,1.2526602688467392e-07
1808,5.6651851210176574e-08,2.3567169371574437e-07
1809,4.969867006821005e-08,2.1008984107950823e-07
1810,8.89248141788812e-08,1.825298836521938e-07
1811,2.757784534068719e-08,7.771938115297417e-08
1812,6.401299756930712e-08,1.6536690417012778e-07
1813,2.8757416448144113e-09,8.627224890034313e-08
1814,6.608021863030444e-08,1.0698702013201e-07
1815,4.5852799779311226e-08,1.6183341244868643e-07
1816,2.0858434979231788e-08,1.8309071059263715e-07
1817,9.029865655207914e-08,1.7748356739843985e-07
1818,7.629553699928238e-08,1.5855166424216804e-07
1819,3.519357072434559e-08,2.318635257125834e-07
1820,3.203949905383752e-08,1.5426425648001896e-07
1821,7.297501269931672e-08,1.3608854310120932e-07
1822,8.221005032282847e-08,1.7544827812798758e-07
1823,4.842516609926406e-08,1.2155704709471138e-07
1824,4.0421341829244284e-08,1.4063258380048183e-07
1825,4.931048280809591e-08,1.408870868857548e-07
1826,8.191425138193154e-08,9.95302187334346e-08
1827,2.3043183361437514e-08,1.6038055505873672e-07
1828,4.219258542548232e-08,1.2107437896702322e-07
1829,4.0293926084622456e-08,1.7832205756462827e-07
1830,3.3397874021900975e-08,1.5342148351749074e-07
1831,7.639691013139327e-08,8.263338968639289e-08
1832,9.335679074240488e-08,1.3665269094076393e-07
1833,6.139323271980857e-08,1.7375442240563643e-07
1834,6.254135698213759e-08,1.4655213576020287e-07
1835,6.731148260996633e-08,1.2327833331937654e-07
1836,8.468145118456505e-08,1.3643122898088222e-07
1837,6.401259700083983e-08,1.3219992567314875e-07
1838,5.68094558062171e-08,1.3571147761126667e-07
1839,7.76053767914675e-08,1.4752012589269725e-07
1840,6.178597988792944e-08,1.261198345758885e-07
1841,1.0722316012845567e-07,1.1621192719246665e-07
1842,5.50077725591791e-08,7.714504768330244e-08
1843,4.8436672450691276e-08,1.1577545677710077e-07
1844,5.598332331047118e-08,8.617041391545399e-08
1845,7.42170334078196e-08,1.1774281105658702e-07
1846,7.786486477812105e-08,1.3055537806394568e-07
1847,5.2853592613644196e-08,1.1595430393640527e-07
1848,7.401603774326304e-08,1.8262652901057663e-07
1849,1.1060827453945876e-07,1.2066357868434352e-07
1850,6.924775775019043e-08,1.2355972600630594e-07
1851,5.15955118629563e-08,1.4640226453366267e-07
1852,7.61733804921505e-08,1.4062778319612335e-07
1853,8.48014334309255e-08,1.5467303526861542e-07
1854,7.014147040962371e-08,1.0391328686409906e-07
1855,1.0136249528613916e-07,8.172683507723377e-08
1856,8.438818177580742e-08,1.2114623082482012e-07
1857,1.0836950448123162e-07,7.517524203137782e-08
1858,9.787351906709318e-08,9.102237186198181e-08
1859,7.63826015770519e-08,1.28322769299416e-07
1860,1.15802752276295e-07,1.2449939923442344e-07
1861,1.1695589741123058e-07,1.0233641134504978e-07
1862,8.4938144517821e-08,1.2017843609157808e-07
1863,6.792684281720085e-08,8.990317645896084e-08
1864,9.301771974890016e-08,1.0788137583261914e-07
1865,1.3273301036065277e-07,1.0355057789013244e-07
1866,9.68256967937009e-08,1.4353558341895223e-07
1867,1.2326140996776758e-07,1.1355579054850296e-07
1868,9.7315521863095e-08,1.0472533240601933e-07
1869,9.376356757684334e-08,1.328317207338614e-07
1870,1.1468097582678638e-07,1.1869480953663469e-07
1871,1.1470871541519045e-07,8.921789085292176e-08
1872,8.224381353727495e-08,1.3425093570162971e-07
1873,1.029592784362876e-07,1.0056487553811166e-07
1874,9.917851251373122e-08,9.559374447576374e-08
1875,9.726595884274047e-08,9.268874201495692e-08
1876,1.1487428075440675e-07,1.2454790621063694e-07
1877,9.153527713579024e-08,1.2369631718911478e-07
1878,7.005342972377093e-08,1.0145669193661888e-07
1879,5.25401984141638e-08,1.0019293839036436e-07
1880,7.637237064983537e-08,1.476104607434081e-07
1881,8.018383823582553e-08,1.561841678210385e-07
1882,6.05640053663592e-08,1.2112800895636155e-07
1883,6.319339007632152e-08,6.888079617795029e-08
1884,1.0430681030015876e-07,1.0562715146988921e-07
1885,9.152802959988549e-08,1.1666600308046782e-07
1886,8.64764189145717e-08,1.0712750331265397e-07
1887,1.0380990111968913e-07,8.095866466106827e-08
1888,1.299826024592221e-07,1.3251884567466732e-07
1889,1.0337475586652545e-07,1.1590503135039398e-07
1890,1.1994527326919524e-07,1.1208000927354078e-07
1891,7.840290550120699e-08,8.732681244794094e-08
1892,8.462491862815114e-08,9.841564185819607e-08
1893,8.375446292063771e-08,1.0592476584747601e-07
1894,7.687878067486054e-08,1.5627817262497956e-07
1895,8.726990685659075e-08,9.81034169456052e-08
1896,7.784078093209246e-08,9.612157114702313e-08
1897,9.322741689743452e-08,1.386757801924432e-07
1898,1.0071871514583108e-07,8.204614232454333e-08
1899,1.0336571776292658e-07,8.070264634341129e-08
1900,9.603448081207944e-08,1.2147064154532927e-07
1901,9.109644416582796e-08,8.662545525339738e-08
1902,7.709145677381457e-08,7.758248443678895e-08
1903,9.882403340100154e-08,1.1448466707975058e-07
1904,9.566833014673648e-08,1.0856742704845601e-07
1905,8.87650557501729e-08,1.465655543597677e-07
1906,9.002322798323803e-08,1.0957112905884969e-07
1907,7.66283640984966e-08,1.3268535425936534e-07
1908,1.0559486440797627e-07,1.350632032881549e-07
1909,1.2817291406008735e-07,1.1166996571887466e-07
1910,6.62674679574593e-08,1.0848625464632278e-07
1911,9.097839814842246e-08,9.523469657324313e-08
1912,9.89790063243845e-08,1.0418842677495377e-07
1913,8.749933222418349e-08,1.1560517521047586e-07
1914,9.97814773029404e-08,1.0045115317325326e-07
1915,1.0720493115456975e-07,1.295883791385677e-07
1916,1.2305957142189072e-07,8.680094865098908e-08
1917,9.650453236531575e-08,1.2501724100388856e-07
1918,7.581008532042688e-08,9.303964887408256e-08
1919,9.023691305287684e-08,7.458357309531038e-08
1920,1.2115570591220148e-07,9.692456615084666e-08
1921,9.996026761882604e-08,1.0904756209129118e-07
1922,7.230376652955783e-08,1.0771785952101709e-07
1923,9.235874820490153e-08,1.3376094543104955e-07
1924,1.108679743566654e-07,1.4825367955495494e-07
1925,9.788378640962492e-08,1.440761323578954e-07
1926,1.047737026027562e-07,1.1480522488227507e-07
1927,9.030872050175276e-08,1.3825038536197098e-07
1928,1.0968999752947184e-07,1.1197520422001617e-07
1929,8.243900850857244e-08,1.1363214724724457e-07
1930,1.060863947799362e-07,1.134389187029683e-07
1931,8.554017583151108e-08,9.466445760608622e-08
1932,1.0740346212401164e-07,1.205549047256227e-07
1933,7.111810607085545e-08,1.514127419000033e-07
1934,1.0064527344866292e-07,9.585264137967897e-08
1935,8.018750463634206e-08,9.095895592281522e-08
1936,9.942266032680891e-08,1.297344454087579e-07
1937,9.569249925789336e-08,1.1583828651851036e-07
1938,8.686693675485913e-08,1.413208394751564e-07
1939,1.3152883227007806e-07,1.667051563458699e-07
1940,1.065028847335725e-07,3.2965178320409905e-07
1941,8.559357311810345e-08,2.803927401373585e-07
1942,1.2136847260535433e-07,1.5171058720397923e-07
1943,9.290352842583616e-08,1.306455850169641e-07
1944,1.092483259412802e-07,1.285274464635222e-07
1945,1.1110370579103801e-07,1.1763921747842687e-07
1946,8.491873870752897e-08,1.3225048434151176e-07
1947,9.059862016158604e-08,1.0967201546918659e-07
1948,9.349823315574213e-08,1.3698578271714723e-07
1949,1.0307858744340592e-07,1.963401672355758e-07
1950,1.074171525061729e-07,1.4889506161352983e-07
1951,1.0874629907675626e-07,1.737808545954067e-07
1952,1.0333907596304925e-07,1.581720567855882e-07
1953,1.1204780747675613e-07,1.820776773797661e-07
1954,6.449874057068428e-08,2.2183657222285547e-07
1955,9.854888460836264e-08,1.9615919910620505e-07
1956,9.244410037467787e-08,1.7529493945289687e-07
1957,1.2810804506102613e-07,1.775842619622381e-07
1958,1.24083651797946e-07,2.1094220414852316e-07
1959,1.0773539571573565e-07,1.7981734856675757e-07
1960,1.4187708075041883e-07,1.8201791363026132e-07
1961,1.0491720559002715e-07,1.8621066288915245e-07
1962,1.2113137159985854e-07,2.061135759845456e-07
1963,1.4160656647277392e-07,2.0497388675266848e-07
1964,9.673509637764255e-08,1.5879157189147008e-07
1965,1.0944087058817331e-07,1.521228014667031e-07
1966,1.2185964592958953e-07,1.5287846366618396e-07
1967,1.1043951531064522e-07,1.5875680503540934e-07
1968,1.154293904903625e-07,1.5899611938152702e-07
1969,1.2217328304586772e-07,1.7576602573399214e-07
1970,1.2968404661251043e-07,1.5819613707890312e-07
1971,1.20752336130181e-07,1.7008095909432086e-07
1972,9.747279250404972e-08,1.590345490853906e-07
1973,1.0419955387419577e-07,2.072964591093296e-07
1974,1.0238540326668044e-07,1.7551783315639113e-07
1975,1.0280664142214846e-07,1.5420996390957953e-07
1976,1.3026840761654057e-07,1.7883338898627699e-07
1977,1.3281526989317172e-07,1.857063054444552e-07
1978,1.289108304547426e-07,1.9722763511254016e-07
1979,1.117726888821835e-07,1.7321841028206109e-07
1980,1.3075846538868063e-07,2.029598817898659e-07
1981,1.5371085382298588e-07,1.7838049615193086e-07
1982,1.551875570271477e-07,1.5208380688136458e-07
1983,1.4651533319920418e-07,1.8440722726609238e-07
1984,1.623722383214954e-07,1.931069846250466e-07
1985,1.413656143256503e-07,1.774589577507868e-07
1986,1.4506655077184405e-07,1.378731653289833e-07
1987,1.692696258714932e-07,1.8515774513616634e-07
1988,1.7509936967030626e-07,1.9548765095578347e-07
1989,1.640948568137901e-07,1.8659615363958437e-07
1990,1.5964547017688346e-07,1.7653628958669287e-07
1991,1.6001800062781513e-07,1.928422008745656e-07
1992,1.5703340849881897e-07,2.165408048426798e-07
1993,1.5509780482148017e-07,2.0716635162898456e-07
1994,1.7249009687247963e-07,2.1310703601784553e-07
1995,1.8056761419416034e-07,1.85990060685981e-07
1996,1.8309656724113665e-07,2.2580130831784118e-07
1997,2.037830100221072e-07,2.1768820346323992e-07
1998,2.0359911445666512e-07,1.9835417219837836e-07
1999,1.9514759230787604e-07,2.2713900449389257e-07
2000,2.1162370700267275e-07,2.465261488282522e-07
2001,2.0635507524957575e-07,1.8269653168090372e-07
2002,2.0197430927737514e-07,1.9846933696499036e-07
2003,2.0417922286242174e-07,1.6042653072645408e-07
2004,2.2156100953907298e-07,1.7134637886329074e-07
2005,1.9726423516885916e-07,1.5087561422433282e-07
2006,2.0424734259449906e-07,1.5853876078608664e-07
2007,2.081123753328029e-07,1.5258911645332773e-07
2008,2.2096111251812545e-07,1.4986187579779653e-07
2009,2.1027729246725357e-07,1.4924442837127572e-07
2010,2.1823923646024923e-07,1.4502044365372058e-07
2011,1.969345575503212e-07,1.2886785327737016e-07
2012,2.0765941854961056e-07,1.0859566046406144e-07
2013,1.8798702683398005e-07,9.985067705997608e-08
2014,1.6565655158728987e-07,7.882220387500638e-08
2015,1.7577442434912882e-07,9.220953600674875e-08
2016,1.7399256080352643e-07,8.347500468630642e-08
2017,1.6502410460361716e-07,7.798395174063444e-08
2018,1.554042938778366e-07,8.544654761521997e-08
2019,1.660693058624929e-07,8.290710340475016e-08
