year,anciens_ADJ ans_NOUN,anciens_ADJ camps_NOUN
1800,0.0,0.0
1801,0.0,2.6193008650921e-08
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,3.3991110370834576e-08
1809,2.259030518203531e-09,0.0
1810,0.0,2.3401266702194334e-08
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,0.0,4.000812481308458e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,4.1716869958463576e-08
1817,0.0,2.0239355080775567e-08
1818,0.0,0.0
1819,1.035105001712111e-09,1.449147024601416e-08
1820,3.5599443393152796e-09,1.3053129244156025e-08
1821,0.0,3.4515210245444905e-08
1822,0.0,0.0
1823,4.941343334508019e-09,8.894418535021487e-09
1824,0.0,1.0105335235266466e-08
1825,0.0,2.3774695989686734e-08
1826,0.0,1.4973572604048968e-08
1827,0.0,1.7512819638909605e-08
1828,0.0,1.559291185060374e-08
1829,0.0,3.600733933240008e-08
1830,0.0,1.0436835395921662e-08
1831,0.0,4.677361609140007e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,1.1583628278799551e-08
1834,0.0,8.401078055442213e-09
1835,0.0,1.2100940693926532e-08
1836,6.720750067579218e-10,6.72075017860152e-09
1837,6.957890930081589e-10,1.87863058442872e-08
1838,6.312161904276081e-10,1.830527018853445e-08
1839,0.0,4.194885327990505e-09
1840,0.0,2.356784811752277e-08
1841,0.0,2.247191943638427e-08
1842,0.0,6.037438549100216e-09
1843,0.0,1.2995204023980023e-08
1844,0.0,2.030767731753258e-08
1845,0.0,4.464182357111213e-09
1846,0.0,1.8148954339380907e-08
1847,0.0,2.534815024546333e-08
1848,0.0,2.413566457803995e-09
1849,0.0,6.703531596485846e-08
1850,0.0,1.5614691761811628e-08
1851,0.0,2.1283147688677673e-08
1852,0.0,1.6276363368206148e-08
1853,5.971931837933653e-10,7.166318205520383e-09
1854,1.0391328908454511e-09,1.1950028522278444e-08
1855,5.306937111981824e-10,1.0613874223963649e-08
1856,0.0,1.2942972915652717e-08
1857,0.0,2.782460128969433e-08
1858,0.0,1.4191660291373864e-08
1859,0.0,9.165912473463322e-09
1860,0.0,7.323494255473406e-09
1861,4.715963730639317e-10,9.431927239234028e-09
1862,0.0,1.536115412648087e-08
1863,0.0,1.2986014041871385e-08
1864,0.0,1.726102105692462e-08
1865,0.0,1.8827376990770972e-08
1866,0.0,1.0704348518686402e-08
1867,4.85281148598915e-10,1.0190904120577216e-08
1868,4.93987406535723e-10,1.9265508299781686e-08
1869,4.883519144627257e-10,1.4650557211837167e-08
1870,0.0,2.064257564882155e-08
1871,0.0,1.1683295220166201e-08
1872,0.0,6.047339295989218e-10
1873,0.0,1.1373408437265198e-08
1874,5.974609140757536e-10,2.4495898198750865e-08
1875,5.721527140956084e-10,3.54734671637047e-08
1876,0.0,2.478866090172005e-08
1877,1.8554447978047506e-09,1.4843558715504912e-08
1878,0.0,2.6571990829893366e-08
1879,0.0,2.077170613290491e-08
1880,0.0,3.914886193001621e-08
1881,6.972507571312292e-10,2.091752293598148e-08
1882,0.0,3.926677116794508e-08
1883,6.319338941018771e-10,3.159669503816076e-08
1884,0.0,1.5844072720483382e-08
1885,0.0,1.9981470700258797e-08
1886,6.453463874400711e-10,1.871504551331782e-08
1887,6.528924623161458e-10,2.0239665943222462e-08
1888,6.340614699951175e-10,1.268122939990235e-08
1889,0.0,7.51816386923565e-09
1890,0.0,6.554386366985909e-09
1891,0.0,1.8485238229004608e-08
1892,0.0,6.268512375839919e-09
1893,6.158416554491453e-10,1.1085149909106917e-08
1894,0.0,2.7096618282484997e-08
1895,0.0,1.2639090662958097e-08
