year,aux_ADP hôtes_NOUN,aux_ADP côtes_NOUN
1800,8.17482743720177e-08,1.1287550876204477e-06
1801,6.905429650316819e-08,1.0048590866063023e-06
1802,8.056224487518193e-08,1.3896987525185978e-06
1803,4.290746380419819e-08,1.154600807851125e-06
1804,7.662738177316442e-08,8.429011884025783e-07
1805,1.3361525841304456e-07,1.3304667900726486e-06
1806,5.4751715161671655e-08,9.134890888162772e-07
1807,5.4092147649953404e-08,1.221343747914716e-06
1808,7.931258982907252e-08,1.7743359812527615e-06
1809,4.969867006821005e-08,1.1227382152867449e-06
1810,8.190443656630464e-08,1.1583627941291752e-06
1811,2.1310152709119734e-07,1.529316865145347e-06
1812,4.800974906515876e-08,1.0028702490672003e-06
1813,6.326631774022928e-08,1.593160845914099e-06
1814,4.09068032780624e-08,8.936563062889036e-07
1815,6.203614311139916e-08,1.1759894960050588e-06
1816,4.8669683394564345e-08,1.1078146666676503e-06
1817,7.161617787687646e-08,9.387946473538022e-07
1818,6.318223810808377e-08,6.914282710823727e-07
1819,6.210629965863745e-08,8.860498930118865e-07
1820,8.543866591992355e-08,7.903076344462079e-07
1821,1.242547531532523e-07,7.169301754483826e-07
1822,5.514088741165324e-08,8.31123543321155e-07
1823,3.557767325190753e-08,1.0001279253657458e-06
1824,1.1873768812620256e-07,7.579001337632008e-07
1825,9.421824387345623e-08,1.2107483768897254e-06
1826,1.3211976757077082e-07,1.0287725165092354e-06
1827,6.0834000947807e-08,1.1733588276552354e-06
1828,7.246118105541655e-08,1.175889039473077e-06
1829,9.944883849755115e-08,1.3151252105103595e-06
1830,8.349468605395316e-08,1.2785124443581708e-06
1831,7.483779196348905e-08,8.855805049279297e-07
1832,7.982681737850328e-08,1.0269246983884983e-06
1833,8.456048661287241e-08,9.290070087653035e-07
1834,1.0828055785339075e-07,1.0351994592650016e-06
1835,1.225220316314335e-07,1.0898409925630403e-06
1836,1.008112482381307e-07,1.069943412090879e-06
1837,1.2732940612991683e-07,1.1737962157809534e-06
1838,1.1361891427696946e-07,9.158947076315371e-07
1839,1.4122780478409425e-07,9.648235810288952e-07
1840,1.3185255198777668e-07,8.490794778381883e-07
1841,1.4317823193721324e-07,8.423759760844973e-07
1842,1.0599058430926789e-07,8.41887286995302e-07
1843,1.181382185411195e-07,8.600462813035392e-07
1844,1.591682796675542e-07,7.233923882132842e-07
1845,1.1662676246970705e-07,7.54446794148933e-07
1846,1.0362467084412685e-07,6.492642175004448e-07
1847,1.262014341918416e-07,7.448041596802568e-07
1848,1.1826475798670799e-07,7.755593460223587e-07
1849,1.0641856817983353e-07,7.122502747591852e-07
1850,1.6361479815429902e-07,6.531013996280421e-07
1851,2.663618328124784e-07,7.590989170580542e-07
1852,1.5495097716033968e-07,7.897291780523119e-07
1853,1.7258883344695164e-07,8.48611504622454e-07
1854,1.3248944297217236e-07,6.437428252681343e-07
1855,2.1440026642949306e-07,7.350107935621963e-07
1856,1.962154723145204e-07,6.657865538883811e-07
1857,1.6304240468834053e-07,8.225342784662359e-07
1858,1.9770451586964555e-07,6.092626465559192e-07
1859,2.0979754600247702e-07,6.355032251548209e-07
1860,2.0871958028578774e-07,4.897586567409462e-07
1861,1.8769536058727e-07,7.253152016772901e-07
1862,1.5270793363164614e-07,6.045065608084599e-07
1863,2.107729972777861e-07,5.773781639462072e-07
1864,1.7548704533965065e-07,6.861255710255421e-07
1865,1.7368255700311863e-07,6.561340848421082e-07
1866,2.1992570897744201e-07,5.887391560932542e-07
1867,2.4991980041022543e-07,8.599182201862732e-07
1868,2.0648674081691354e-07,6.486054413556985e-07
1869,1.7727174583814787e-07,6.094632007958012e-07
1870,1.5596613156532158e-07,5.223718400060307e-07
1871,2.2092048368449468e-07,4.7582875439822203e-07
1872,2.219373518297374e-07,5.587741753743103e-07
1873,1.7179833039504544e-07,6.183542389237573e-07
1874,1.6669159630389174e-07,6.900673588106088e-07
1875,1.7622303505326897e-07,5.469779722488965e-07
1876,1.6566081106894615e-07,5.187480471846584e-07
1877,1.9172929821564821e-07,6.456947962973913e-07
1878,1.8298438297925657e-07,7.736072600295074e-07
1879,1.63118980101018e-07,6.842444042476359e-07
1880,1.4440154783024184e-07,6.809335033608477e-07
1881,1.7849619360355007e-07,6.547184678851181e-07
1882,2.2095878504657662e-07,5.763563635241553e-07
1883,2.3002394256010916e-07,5.181857760661046e-07
1884,2.231373636973899e-07,6.647908712409389e-07
1885,1.720984706965467e-07,6.929058100624275e-07
1886,2.594292478619309e-07,5.478990852125776e-07
1887,2.245950081469772e-07,5.778098053355052e-07
1888,1.8070751650611783e-07,5.953837245442628e-07
1889,2.0925557375761628e-07,8.771191630785324e-07
1890,1.7565756404991362e-07,6.646147863165197e-07
1891,1.7401620056034517e-07,6.998893686827046e-07
1892,1.7113038097704703e-07,5.892401588880603e-07
1893,2.1000199978971068e-07,5.75196114738219e-07
1894,1.909366418306746e-07,4.908899189359772e-07
1895,1.9680869156601943e-07,4.953319461264982e-07
1896,2.105239353955568e-07,4.93581316263203e-07
1897,2.155884004650943e-07,4.7254646062810934e-07
1898,2.014374359537996e-07,4.815259941892691e-07
1899,1.8462112549855192e-07,5.118537487192043e-07
1900,2.2373438479661445e-07,5.227390307283031e-07
1901,2.2690279544157477e-07,5.147228572255358e-07
1902,1.3306869917073527e-07,4.168831058137812e-07
1903,1.6794685131493736e-07,5.000603913174473e-07
1904,1.80587400144816e-07,4.869410510366379e-07
1905,1.7598187929124265e-07,4.520824798959211e-07
1906,2.196566817325163e-07,5.118463324293998e-07
1907,1.640567018901251e-07,5.230271504785833e-07
1908,2.170833937054084e-07,5.201161048518088e-07
1909,2.0793718213951706e-07,4.681337131273722e-07
1910,2.314017306659366e-07,3.9653597205813185e-07
1911,2.2185960524279125e-07,6.182274709942703e-07
1912,2.0525119914793777e-07,4.6780603923934905e-07
1913,2.460587325003871e-07,5.053749241312744e-07
1914,1.8081208408293747e-07,4.614056443585923e-07
1915,2.0262910549462276e-07,5.23065821766977e-07
1916,2.1755174284265877e-07,4.82349580721575e-07
1917,2.0397549960193828e-07,5.176152289010361e-07
1918,2.33173440555845e-07,5.846565471756549e-07
1919,2.3848327757036714e-07,3.4621509570342823e-07
1920,2.0520747412433593e-07,4.967384086285165e-07
1921,1.9992053368333984e-07,4.16501102051825e-07
1922,1.8223500752867494e-07,4.729256684044003e-07
1923,2.3142766947259474e-07,4.5967055228857134e-07
1924,2.1142264106099873e-07,4.6409847342943067e-07
1925,2.551577322762455e-07,4.608236601200133e-07
1926,2.9760189868e-07,4.101778898757402e-07
1927,2.0960542990167141e-07,4.203257866208787e-07
1928,2.376616619059746e-07,3.770593650642695e-07
1929,2.4286085231750576e-07,4.489583798061858e-07
1930,1.9851810972859596e-07,4.0648946786348006e-07
1931,1.984532023158181e-07,5.166626397823393e-07
1932,2.5535721315250726e-07,4.142704952414533e-07
1933,2.1106018577299324e-07,5.781213872069202e-07
1934,1.881108140366905e-07,5.188024161384419e-07
1935,2.166259482905275e-07,5.445569257744864e-07
1936,2.3279452099345121e-07,4.2072758432709634e-07
1937,2.140490069635348e-07,3.840291089574066e-07
1938,1.8540256885302142e-07,4.4989293002117847e-07
1939,2.125872997638112e-07,4.80233190103263e-07
1940,2.1554154527869684e-07,3.702242938885547e-07
1941,2.1545968609260058e-07,5.519309773660552e-07
1942,2.214974585967866e-07,5.825686848481837e-07
1943,3.6871085740131093e-07,4.238723541050149e-07
1944,1.8957798708640894e-07,4.4020651301934777e-07
1945,1.8299434145774285e-07,3.0499057501742755e-07
1946,1.9767968417738757e-07,3.3689072509446305e-07
1947,1.9431019904203595e-07,3.731232673942486e-07
1948,2.2504807373202595e-07,4.772758810389632e-07
1949,1.904499542515481e-07,3.602842006955598e-07
1950,1.8505529486567696e-07,4.1158849839462164e-07
1951,2.2069101701660543e-07,4.2219152263101023e-07
1952,1.9929679773156295e-07,4.586989579280498e-07
1953,1.9069674728200425e-07,4.2017926205062395e-07
1954,1.5831508726193988e-07,4.534456685689747e-07
1955,2.0179057491631625e-07,4.6177189361173987e-07
1956,1.9186511490687508e-07,3.994282975483543e-07
1957,1.881863063712963e-07,3.489839830450592e-07
1958,1.960521744948096e-07,4.136121773967716e-07
1959,1.4881435161928636e-07,3.619599322490785e-07
1960,1.5917916940111354e-07,3.95871671443615e-07
1961,1.889899386986471e-07,4.099413999369972e-07
1962,1.5981729584169102e-07,3.7480963044345117e-07
1963,2.0432728753405627e-07,4.5133052495316406e-07
1964,1.6974272115666267e-07,3.7659762952557685e-07
1965,1.62519693702734e-07,3.2722819476305176e-07
1966,1.6506442213071182e-07,4.580814749743922e-07
1967,1.548125319050797e-07,3.372349635100136e-07
1968,1.5854697665851347e-07,4.4869243964740235e-07
1969,1.4579043122742164e-07,4.932349000341674e-07
1970,1.402611191636538e-07,4.6355147453880363e-07
1971,1.8857918993031575e-07,4.085026006350745e-07
1972,1.5339139736170182e-07,3.360246321193472e-07
