year,des_DET hôtes_NOUN,des_DET côtes_NOUN
1800,2.641098149069876e-07,4.106278773008398e-06
1801,2.4288062627775275e-07,3.669402410366729e-06
1802,2.0140561218795483e-07,4.401831603217943e-06
1803,2.554944451560459e-07,4.0450035214689706e-06
1804,2.32353986717726e-07,4.021701556666812e-06
1805,2.075300669091007e-07,3.0361933056610724e-06
1806,1.7001848373610073e-07,3.0055808792894823e-06
1807,1.2811298200077204e-07,2.795710035030652e-06
1808,2.3793776726677152e-07,3.2132930201100862e-06
1809,3.795171363840666e-07,3.4224312770447796e-06
1810,2.5507381451461697e-07,2.969620870985068e-06
1811,3.7355445225983885e-07,3.301820061807348e-06
1812,1.6003248859419728e-07,2.7285540795674024e-06
1813,1.8692320669089213e-07,3.4623930069699327e-06
1814,2.4229413098098007e-07,2.8666228448770426e-06
1815,2.1308065689673583e-07,2.8374791227747664e-06
1816,1.5064424552235778e-07,3.4393241019614607e-06
1817,2.895784583234473e-07,3.83457913244456e-06
1818,2.336550783965663e-07,2.7072994797094907e-06
1819,1.5630085725693021e-07,3.0369980503763827e-06
1820,1.7918387129611801e-07,2.6925046086034854e-06
1821,2.159665947187861e-07,2.1004970296445435e-06
1822,2.5565319106135576e-07,2.2457379884599504e-06
1823,2.786917630004382e-07,2.8719088014383942e-06
1824,2.1642259184773138e-07,2.6080186970034447e-06
1825,2.738492694831507e-07,3.9342718878288e-06
1826,3.338226131077704e-07,3.630651047359379e-06
1827,1.9079754726147868e-07,3.748665058367351e-06
1828,1.8069433826983783e-07,3.461626548073582e-06
1829,1.6374766753646242e-07,2.5882418679401553e-06
1830,2.776198286813525e-07,3.3272633555014863e-06
1831,3.41447419671681e-07,3.2242613379196428e-06
1832,3.7207416525575354e-07,3.0740089389524883e-06
1833,2.907490692649617e-07,3.087037089954947e-06
1834,2.987049843028444e-07,2.9898502837966134e-06
1835,3.191623108023123e-07,3.3360779880808877e-06
1836,3.7636199756718725e-07,2.865055861889232e-06
1837,3.0823456187434317e-07,2.8868290584682654e-06
1838,3.0424620156566107e-07,2.685193575047151e-06
1839,3.523703426822067e-07,2.6784341038421644e-06
1840,3.853661523223195e-07,2.536410075748563e-06
1841,3.069022325163928e-07,2.43274585542963e-06
1842,3.253508644718295e-07,2.2915434314541017e-06
1843,3.284242686696359e-07,2.5612367409166836e-06
1844,5.093385020416008e-07,2.458326639143138e-06
1845,3.5825063182670647e-07,2.5663468843362125e-06
1846,2.611107672301216e-07,2.472941364572989e-06
1847,3.1820018353556634e-07,2.623803286638804e-06
1848,2.6227423521874016e-07,2.5076954948133334e-06
1849,4.3908133307013486e-07,2.49790367590208e-06
1850,3.3944979360711613e-07,2.04009323390153e-06
1851,3.5471911985496263e-07,2.105096911009241e-06
1852,3.5352262628407516e-07,2.4381991536870373e-06
1853,3.959390770802429e-07,2.578680232900865e-06
1854,3.4655081648793384e-07,2.106322355643897e-06
1855,3.5131922615505573e-07,1.9582598014267205e-06
1856,4.3022442008933126e-07,1.8881208880827671e-06
1857,3.7929325280572357e-07,2.404143279122195e-06
1858,3.5479150461981135e-07,1.8028302974926191e-06
1859,4.450559565327694e-07,1.936553498893545e-06
1860,4.545143639234084e-07,2.1169475559190687e-06
1861,3.937829582412178e-07,1.8156460601659319e-06
1862,3.5872811654513725e-07,1.893488084547812e-06
1863,4.7398951519284083e-07,1.7815812309862622e-06
1864,4.703628246893743e-07,2.4011997510342553e-06
1865,4.471502172975761e-07,1.9443973702237827e-06
1866,3.6394784874715924e-07,1.999280387465774e-06
1867,3.901660434735277e-07,2.0352691691982727e-06
1868,3.828402426186983e-07,2.5524328997050816e-06
1869,3.2621908996333104e-07,1.781507799947235e-06
1870,3.8934189916517425e-07,1.8876488621089038e-06
1871,4.3334403443395786e-07,1.9447375798620214e-06
1872,3.7009716535862935e-07,1.9871556666828383e-06
1873,3.364134411043551e-07,2.362675967759742e-06
1874,3.680359355051621e-07,2.081553928334756e-06
1875,3.6331696184888074e-07,1.8348937160794776e-06
1876,3.9057254497265603e-07,2.10401323030851e-06
1877,3.6675958314802415e-07,2.2438511546596374e-06
1878,3.375850496922794e-07,2.131798229498827e-06
1879,3.4456595798815215e-07,1.9934727824022502e-06
1880,3.581158152243802e-07,1.9125182237900162e-06
1881,3.242216060073133e-07,1.9355680684896015e-06
1882,2.9749572316717376e-07,2.002605484108244e-06
1883,3.639939105681833e-07,2.103076052861752e-06
1884,3.7629673244055084e-07,2.3389812824348155e-06
1885,3.8931640355954755e-07,2.15735417974372e-06
1886,4.853004842431119e-07,1.8831207384550908e-06
1887,3.623553115339462e-07,1.9273385802875964e-06
1888,3.493678786270493e-07,1.93959409244826e-06
1889,3.784142688090242e-07,2.012988517208214e-06
1890,3.696674006903322e-07,1.94796362507077e-06
1891,3.6524279689587047e-07,1.7395246887375038e-06
1892,3.667079777613935e-07,1.8655093292352376e-06
1893,3.855168704269829e-07,1.8191962052327426e-06
1894,3.579274250320452e-07,2.004519629394963e-06
1895,3.978304210505712e-07,1.787528519869852e-06
1896,3.378997508463044e-07,1.856974424896407e-06
1897,3.2571328700825575e-07,1.83949347665191e-06
1898,3.7910978389898986e-07,1.8333069746745423e-06
1899,3.3884055206101493e-07,1.7456092464840367e-06
1900,3.400139898523946e-07,1.5978061425059309e-06
1901,4.057424587422531e-07,1.6380594205500643e-06
1902,2.916708670142043e-07,1.5801293944406325e-06
1903,3.882758514706097e-07,1.6125057200611081e-06
1904,3.9288510400581345e-07,1.5317681683058026e-06
1905,3.88605155166033e-07,1.6323481260016592e-06
1906,3.8992917872349153e-07,1.909006886791076e-06
1907,3.1937056688136067e-07,1.8565664809955251e-06
1908,3.8161494408939234e-07,1.5127078381027559e-06
1909,4.2412583844964047e-07,1.459410976067943e-06
1910,4.462365899016163e-07,1.4178031211287134e-06
1911,4.054125222197058e-07,1.7732807293668884e-06
1912,3.881018937335057e-07,1.8462189075307833e-06
1913,4.634812889037221e-07,1.585593929931406e-06
1914,3.8640211119655987e-07,1.625299681506931e-06
1915,4.818331758027483e-07,2.6059044664350495e-06
1916,4.7246085888019707e-07,2.146950009773718e-06
1917,4.803293940369713e-07,1.6866360539324887e-06
1918,4.66346891769831e-07,1.7964692862193488e-06
1919,4.318480790743706e-07,1.520215717087936e-06
1920,4.354033351638975e-07,1.4364523490684178e-06
1921,4.293747881689569e-07,1.3524926938401904e-06
1922,5.747411719880802e-07,1.3656559105790222e-06
1923,4.681632996828e-07,1.6316712088126906e-06
1924,5.801231095503567e-07,1.48253678400323e-06
1925,4.4872564863851494e-07,1.4429609738186855e-06
1926,5.216392926499225e-07,3.944618544693412e-06
1927,5.061748167278779e-07,1.7058314067952551e-06
1928,4.707528900027569e-07,1.2922853098729092e-06
1929,4.545285845480862e-07,1.8504215368864152e-06
1930,3.9598585033218114e-07,1.4253389704066421e-06
