year,autres_ADJ arts_NOUN,autres_ADJ quarts_NOUN
1800,1.1790616412099553e-06,1.8550569791386806e-07
1801,1.1715417755908675e-06,8.096020565062645e-08
1802,1.4456447843258502e-06,1.0517848636482086e-07
1803,1.4510523511646056e-06,1.8723255834629526e-07
1804,1.3644616831953726e-06,2.447132487759518e-07
1805,1.3162523320175978e-06,1.5351540127994667e-07
1806,1.7952798190279395e-06,2.1612518708025164e-07
1807,1.3579975757238572e-06,2.8469551693888207e-07
1808,1.1806245985290786e-06,1.6315732409566408e-07
1809,1.267316122266493e-06,2.5075237886085233e-07
1810,1.0951793143476607e-06,2.0593115834799391e-07
1811,9.426608720275453e-07,2.3065106802278024e-07
1812,7.92160854246049e-07,1.7870294755084615e-07
1813,1.167551123559818e-06,1.0352670187785407e-07
1814,7.111490525346653e-07,2.580275122454623e-07
1815,9.440282324746363e-07,1.7531952778426785e-07
1816,1.0823209795063349e-06,2.4334840986739437e-07
1817,9.528065119113194e-07,2.568841068750771e-07
1818,8.011031029653282e-07,2.992215399899578e-07
1819,8.932956419016591e-07,2.1633694302636286e-07
1820,8.199738203984452e-07,1.0798498095709874e-07
1821,9.338829189964315e-07,2.406203236660076e-07
1822,1.0155949468071412e-06,1.7043547018147365e-07
1823,1.038670390585139e-06,9.487379770689586e-08
1824,9.33059276064796e-07,1.6505380528997193e-07
1825,8.048175166308624e-07,1.4881199206229212e-07
1826,1.1785083608994995e-06,2.078684246953344e-07
1827,9.106665839198058e-07,2.0093655450637016e-07
1828,5.723515812405822e-07,1.71522032132998e-07
1829,1.018493314575153e-06,2.2633184926235117e-07
1830,7.211853401134505e-07,1.3046044955444813e-07
1831,5.690790239043508e-07,2.650505166457151e-07
1832,1.500473564064464e-06,1.420646782435142e-07
1833,8.490799814353522e-07,1.8533805246079282e-07
1834,7.822337124707701e-07,1.9042443000216736e-07
1835,7.169807147988649e-07,1.323540459452488e-07
1836,7.701979796159719e-07,1.915413747610728e-07
1837,7.938953672237403e-07,1.2385045522478322e-07
1838,6.419468800977768e-07,1.5527918151292397e-07
1839,6.711815903059914e-07,2.0205362716296804e-07
1840,8.974891443358501e-07,1.6688584025814635e-07
1841,7.268061033016693e-07,1.5987166079867166e-07
