year,vingt - six couverts
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,4.6833527278522524e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.920916841731014e-09
1813,2.5176523976710996e-08
1814,3.439378781777691e-09
1815,0.0
1816,0.0
1817,1.3648988606007606e-08
1818,1.1729905935453644e-08
1819,2.2612181016512523e-09
1820,7.769235921273321e-09
1821,3.4561029593760395e-08
1822,2.521895403617691e-08
1823,1.0795871752122821e-08
1824,1.8375077015519992e-09
1825,1.0571774566869863e-08
1826,5.766354504999072e-09
1827,8.048523625348025e-09
1828,1.0023107677170628e-08
1829,1.217514178364354e-08
1830,6.848352551713788e-09
1831,3.2517515791141705e-08
1832,3.8548307657038094e-08
1833,3.8021337189775295e-09
1834,0.0
1835,1.6599210894696625e-09
1836,8.077838842268648e-09
1837,3.036395135325165e-09
1838,2.752897243496477e-09
1839,3.821289507044412e-09
1840,0.0
1841,2.807916121838616e-09
1842,0.0
1843,6.454178302917057e-10
1844,0.0
1845,1.2200809251794453e-09
1846,3.2033022900890273e-09
1847,2.35623986988287e-09
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,2.140059685018514e-09
1853,6.537042018806005e-10
1854,0.0
1855,2.3271151672332735e-09
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,6.523376949729709e-09
1861,1.0327687594013923e-09
1862,1.980434038983958e-09
1863,0.0
1864,0.0
1865,5.159605520610455e-10
1866,0.0
1867,0.0
1868,1.0819822815477664e-09
1869,3.750118438006211e-09
1870,2.513315333629862e-09
1871,0.0
1872,0.0
1873,2.6241697703710543e-09
1874,5.244131351389569e-09
1875,6.91566759414286e-09
1876,1.3281662436526176e-09
1877,4.084536264770122e-09
1878,0.0
1879,1.9489535318939488e-08
1880,7.066983109815794e-10
1881,1.997942078446613e-08
1882,0.0
1883,0.0
1884,7.27484239515519e-10
1885,2.8408335683849373e-09
1886,1.4222925059925728e-09
1887,1.440524810547572e-09
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,2.037882529393187e-09
1894,6.958809639634467e-10
1895,0.0
1896,1.3008708554806958e-09
1897,6.441841504667423e-10
1898,6.242592553995507e-10
1899,0.0
1900,2.2944017796788785e-09
1901,0.0
1902,2.1628610014090555e-09
1903,0.0
1904,0.0
1905,5.697896043876938e-10
1906,0.0
1907,0.0
1908,3.254918556905295e-09
1909,1.2132130855491141e-09
1910,0.0
1911,4.110267237678045e-09
1912,0.0
1913,1.7553301034922697e-09
1914,7.386593559033372e-10
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,5.849871698160314e-09
1922,2.4431661138635263e-09
1923,3.5194243075409304e-09
1924,1.424905637925633e-09
1925,1.2185186193391928e-09
1926,0.0
1927,0.0
1928,2.5303301676160572e-09
1929,1.2342626920514022e-09
1930,4.650317464438558e-09
1931,1.2628545986714812e-09
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,1.4344111454178687e-09
1939,1.6942175440348706e-09
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,6.58391385854884e-09
1948,1.2032065344058651e-09
1949,3.244822410763959e-09
1950,0.0
1951,1.1799059507211496e-09
1952,0.0
1953,1.1908261043913626e-09
1954,0.0
1955,3.1163478464435457e-09
1956,0.0
1957,9.778776677293877e-10
1958,0.0
1959,3.4297662487858815e-09
1960,2.2960096046631406e-09
1961,1.533625781924286e-09
1962,2.0982773296651658e-09
1963,2.1396548977037355e-09
1964,0.0
1965,6.033863408916318e-10
1966,1.8331725026854429e-09
1967,1.08637732143535e-09
1968,3.952747462676598e-09
1969,3.4949185767629842e-09
1970,5.057877450198589e-10
1971,2.266532961314738e-09
1972,2.261201670350488e-09
1973,5.4839532914741085e-09
1974,0.0
1975,0.0
1976,3.1556841584290396e-09
1977,1.2989321840350954e-09
1978,6.543469655007073e-10
1979,1.9324335465142894e-09
1980,1.2523334591563184e-09
1981,0.0
1982,0.0
1983,0.0
1984,6.368131577616509e-10
1985,1.3216827632334116e-09
1986,1.316708742038486e-09
1987,0.0
1988,6.585813561166276e-10
1989,0.0
1990,5.969995608978707e-10
1991,1.9289774222386313e-09
1992,6.035035804430322e-10
1993,2.4264286135888824e-09
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,6.243071837275238e-09
1999,1.9940571416299235e-09
2000,4.81735262791716e-10
2001,9.554933511068953e-10
2002,4.77334616277858e-10
2003,1.3613796756573038e-09
2004,9.593307259692097e-10
2005,4.904935346772277e-10
2006,4.487418492349349e-10
2007,1.7452096434666942e-09
2008,4.6488379812359426e-10
2009,5.21569676337208e-10
2010,0.0
2011,4.19642653959329e-10
2012,3.749565102850738e-10
2013,3.0801944328473496e-10
2014,7.185465555892279e-10
2015,1.2257083126243629e-09
2016,2.2924880049846053e-10
2017,1.3945099519574455e-09
2018,0.0
2019,1.4162505612702603e-09
