year,champs_NOUN ouverts_ADJ,champs_NOUN couverts_ADJ
1800,5.156429665476026e-07,1.5091990235305275e-07
1801,3.9765747761322245e-07,4.2385050846860395e-07
1802,8.503792514602537e-08,2.618272958443413e-07
1803,1.5212646076179226e-07,2.3599105247740226e-07
1804,1.3100809326260787e-07,1.8291696335381857e-07
1805,6.822906328807221e-08,2.04687196969644e-07
1806,4.3801372129337324e-07,1.7578182109900808e-07
1807,1.5942949005420815e-07,3.501754690660164e-07
1808,2.0394666488954272e-07,2.5606635745134554e-07
1809,1.603911670144953e-07,2.3268013649158092e-07
1810,2.78475084769525e-07,1.8487001796074765e-07
1811,1.5042460921321776e-07,1.2535383575595915e-07
1812,8.535066475801045e-08,9.601949813031752e-08
1813,1.7254450312975678e-08,3.4221326927763585e-07
1814,3.4613449884091096e-08,1.541871768040437e-07
1815,5.1247248222807684e-08,1.5643897199879575e-07
1816,3.244645441213834e-08,1.2051540920765547e-07
1817,1.71256075987003e-08,1.2766362544880394e-07
1818,4.2916237674717195e-08,1.3709353652302525e-07
1819,3.415846450138815e-08,1.625114833814223e-07
1820,2.8479554714522237e-08,1.6494408328071586e-07
1821,1.4792232327920374e-08,1.2129630988511053e-07
1822,1.4035862250239006e-08,1.9850719468195166e-07
1823,2.4706716672540097e-08,1.2056878517796576e-07
1824,3.621078548121659e-08,1.7768547877494711e-07
1825,5.459374818883589e-08,1.5849796852762665e-07
1826,3.082794464148719e-08,2.395771616647835e-07
1827,3.133872894522938e-08,1.4655464042334643e-07
1828,4.953042775923677e-08,1.2566052021156793e-07
1829,1.5431716349212365e-08,1.4831594796760328e-07
1830,3.861629238599562e-08,1.2524202475105994e-07
1831,2.3386808933878456e-08,1.3096612860863388e-07
1832,5.411987658021644e-08,1.3665268738805025e-07
1833,1.3900354645102198e-08,1.459537202208594e-07
1834,4.760610750054184e-08,1.7922299377914896e-07
1835,2.571449897459388e-08,1.5655592733310186e-07
1836,3.5619976301859424e-08,1.2298973217639286e-07
1837,2.435261770017405e-08,1.1202204319715747e-07
1838,3.1560809077291196e-08,1.4833580053164042e-07
1839,3.216078425793967e-08,1.307405881334489e-07
1840,2.1019973317493168e-08,1.1465439797575527e-07
1841,1.733548105065097e-08,1.2841097429827641e-07
1842,4.494537719779146e-08,1.4221521382751234e-07
1843,1.2404513027863828e-08,1.1636614516419286e-07
1844,2.5796238034558883e-08,1.1855292569862286e-07
1845,3.124927483444395e-08,1.244390830379416e-07
1846,1.5807152919933287e-08,1.4167893880312477e-07
1847,3.613459753637471e-08,1.0085328483455669e-07
1848,1.930853166243196e-08,9.734718275922205e-08
1849,3.100383594301093e-08,1.4412593429824483e-07
1850,1.6293590476834652e-08,9.708264059327121e-08
1851,2.9667418965928505e-08,1.1351012574323249e-07
1852,6.445439737490233e-08,8.268392548416159e-08
1853,6.748282999069488e-08,1.3377126606428646e-07
1854,2.4419623656513068e-08,9.975676107387699e-08
1855,9.021793090369101e-09,1.1728330662208464e-07
1856,2.0708757375587084e-08,9.370712206191456e-08
1857,2.0990489346672803e-08,1.0251169157982076e-07
1858,1.468102794888182e-08,1.0570339981086363e-07
1859,6.619825576592575e-09,9.929738098435337e-08
1860,4.119465657481669e-09,1.0481750933877265e-07
1861,1.5562680033553988e-08,1.2733102039419464e-07
1862,2.3041730301542884e-08,9.939569878270049e-08
1863,1.5982786649715308e-08,1.0388811233497108e-07
1864,5.274200631788517e-09,1.1219663065276109e-07
1865,2.635832907493807e-08,1.0543331541157386e-07
1866,1.0704348518686402e-08,8.466166434573097e-08
1867,1.455843445796745e-09,7.23068893648815e-08
1868,1.1855697756857353e-08,7.360412013213136e-08
1869,4.883519366671862e-09,9.181015769854639e-08
1870,1.6628741494884025e-08,7.454263339923273e-08
1871,1.0621177271019633e-09,1.083360103848463e-07
1872,5.3216584250392884e-08,8.042961496812495e-08
1873,1.0176207765333345e-08,9.038866721766681e-08
1874,1.6131444180444987e-08,8.185214284139875e-08
1875,2.4030413214859436e-08,9.841026837875688e-08
1876,1.7533442031592017e-08,7.738898943898675e-08
1877,3.710889595609501e-09,9.277223966819292e-08
1878,6.6429977074733415e-09,9.119023758330513e-08
1879,6.720257683667796e-09,9.102894438228759e-08
1880,7.059631101924424e-09,7.637237331437063e-08
1881,9.761510710859511e-09,8.2972839265949e-08
1882,6.655385131892899e-09,6.988154410692005e-08
1883,1.3270612164717477e-08,7.014466518739937e-08
1884,8.582206056928499e-09,8.978307874940583e-08
1885,1.933690763067375e-09,6.961286658224708e-08
1886,1.0325542199041138e-08,4.58195934527339e-08
1887,2.546280519766242e-08,4.504957828999068e-08
1888,2.4728397107764977e-08,4.7554610915767626e-08
1889,1.3783300722991498e-08,5.889228660294066e-08
1890,1.5730527991308918e-08,4.391439034634459e-08
1891,1.466070642663908e-08,4.206985337873448e-08
1892,1.191017329205124e-08,6.26851246465776e-08
1893,6.774258043407144e-09,6.220000869916475e-08
1894,1.1972924873759894e-08,5.671385494565584e-08
1895,2.8287487907618925e-08,6.138986918813316e-08
1896,1.8280790214930676e-08,6.191880430606034e-08
1897,1.5149455023788505e-08,6.817254671886985e-08
1898,2.3765091228256097e-08,5.6583548513344795e-08
