year,ces_DET oeufs_NOUN,ces_DET queues_NOUN
1800,3.615789267996661e-07,2.5467731035178076e-07
1801,6.976865258856435e-07,1.0239085179719609e-07
1802,4.788977889802482e-07,8.056224487518193e-08
1803,1.9054813833463413e-06,3.1205427131197894e-08
1804,3.781931923185766e-07,7.909922672411085e-08
1805,2.1321583432154512e-07,9.950071699904584e-08
1806,3.1698359492793315e-08,8.93317411154726e-08
1807,1.2811298155668283e-07,7.686778680238149e-08
1808,6.571614541428517e-08,1.0877155176558517e-07
1809,2.0331274441787173e-08,4.0662548883574345e-08
1810,6.084329395861232e-08,8.424456554578796e-08
1811,1.7549537822958428e-08,4.26203050629681e-08
1812,5.867858199337661e-08,5.3344165529267684e-08
1813,7.189354267467252e-08,1.9555042740648787e-07
1814,1.1013369771717407e-07,5.97868634599763e-08
1815,2.1577788444915313e-08,5.933891955578474e-08
1816,5.7940095388175905e-08,1.46009039525552e-07
1817,7.784367150875937e-08,2.039504147788307e-07
1818,1.2994083675721413e-07,1.0729059596314983e-07
1819,1.6354659493345025e-07,5.589566853814176e-08
1820,4.153268395867826e-08,4.153268395867826e-08
1821,2.465372128668264e-08,5.818277926117332e-08
1822,3.208197085768916e-08,3.909990198280866e-08
1823,1.9765373338032077e-08,1.8777105204037525e-08
1824,3.705289586264371e-08,4.378978601948802e-08
1825,3.698285966358128e-08,5.6354835464844655e-08
1826,4.4039921931471326e-08,1.0129182337337284e-07
1827,1.0415518292283821e-07,8.20337291429496e-08
1828,6.787503004090922e-08,6.512333783348367e-08
1829,2.4004893184326193e-08,8.830371589496622e-08
1830,5.009681003365074e-08,1.127178266280282e-07
1831,2.962329048727952e-08,1.0446108156259015e-07
1832,2.1647950543268735e-08,1.055337577327009e-07
1833,3.011743432423941e-08,1.2626155321271426e-07
1834,2.426977996350388e-08,5.0406468332653276e-08
1835,4.689114518896531e-08,7.184933537018878e-08
1836,2.8227149950765806e-08,6.183090411893133e-08
1837,3.757261257675282e-08,4.800944797267448e-08
1838,5.996553897880119e-08,1.0288823837356631e-07
1839,3.425822836522485e-08,5.663094970742577e-08
1840,1.2102408630809691e-08,2.93005673057678e-08
1841,1.9903700021473014e-08,2.953452327147943e-08
1842,6.372851713010164e-08,5.634942645826868e-08
1843,2.3036953011867922e-08,3.603215814607097e-08
1844,3.51267913645259e-08,4.335963366131068e-08
1845,2.622707162558413e-08,4.7431937488795484e-08
1846,5.0348711866377016e-08,4.625055938234368e-08
1847,4.96176593145492e-08,2.8584085320915165e-08
1848,4.103063222515857e-08,3.137636417349654e-08
1849,4.022118993418644e-08,2.011059629936085e-08
1850,2.647708363667789e-08,2.851378333446064e-08
