year,vingt - six côtes
1800,1.3779073881892145e-08
1801,0.0
1802,2.4635042894516346e-09
1803,4.0714258631169287e-08
1804,1.087362200280495e-08
1805,0.0
1806,1.8959589453970693e-08
1807,3.114948521343308e-09
1808,2.490148087730404e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,4.9477584695978294e-08
1818,5.213291576211532e-09
1819,0.0
1820,1.2948726535455535e-09
1821,0.0
1822,0.0
1823,1.0795871974167426e-09
1824,5.5125228826113926e-09
1825,1.4416056792754262e-08
1826,0.0
1827,9.054589078516528e-09
1828,4.0092430708682514e-08
1829,7.49239514874489e-09
1830,1.7120880713150655e-08
1831,0.0
1832,0.0
1833,1.2673779803407115e-09
1834,1.02287431857917e-08
1835,0.0
1836,3.6717449081180575e-09
1837,7.590987838312913e-10
1838,6.882243108741193e-10
1839,7.642578792044219e-10
1840,2.0875616790760887e-09
1841,1.403958060919308e-09
1842,8.068728796217783e-09
1843,1.5490027038822518e-08
1844,0.0
1845,3.0502023129486133e-09
1846,3.2033022900890273e-09
1847,5.301539651725307e-09
1848,0.0
1849,1.834842278114479e-09
1850,0.0
1851,2.823427491804864e-09
1852,0.0
1853,6.537042018806005e-10
1854,0.0
1855,5.817787918083184e-10
1856,0.0
1857,5.349697351775262e-10
1858,2.6804938269009426e-09
1859,0.0
1860,2.0071928563680785e-09
1861,0.0
1862,4.951085097459895e-10
1863,0.0
1864,5.249539469787123e-09
1865,0.0
1866,2.1357224877505132e-09
1867,0.0
1868,3.78693787439488e-09
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,1.3120848851855271e-09
1874,0.0
1875,0.0
1876,1.3281662436526176e-09
1877,0.0
1878,8.640888893296506e-09
1879,0.0
1880,5.653586487852635e-09
1881,0.0
1882,0.0
1883,6.966609511493971e-09
1884,1.454968479031038e-09
1885,3.5510419049700204e-09
1886,2.1334387589888593e-09
1887,0.0
1888,1.1182430981193647e-08
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,4.075765058786374e-09
1894,2.0876429474014913e-09
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,5.93522675451652e-10
1905,2.279158417550775e-09
1906,0.0
1907,3.978582796548835e-09
1908,0.0
1909,1.8198196283236712e-09
1910,5.898358468314768e-10
1911,1.761543133582677e-09
1912,3.4486329347771516e-09
1913,1.7553301034922697e-09
1914,6.647934203130035e-09
1915,2.5976194528709584e-09
1916,1.2093360757248206e-09
1917,0.0
1918,0.0
1919,5.067473107800424e-09
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,1.2342680211219204e-09
1928,1.2651650838080286e-09
1929,0.0
1930,2.325158732219279e-09
1931,1.2628545986714812e-09
1932,1.2128820170431709e-09
1933,0.0
1934,1.3274176202671129e-09
1935,0.0
1936,2.684458655366484e-09
1937,2.789518172008343e-09
1938,1.4344111454178687e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,1.176276409609045e-09
1951,0.0
1952,0.0
1953,0.0
1954,1.0806723294010112e-09
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,1.222114964782861e-09
1967,0.0
1968,4.940934328345747e-10
1969,4.992740665343831e-10
1970,0.0
1971,0.0
1972,0.0
1973,1.8279844304913695e-09
1974,0.0
1975,0.0
1976,1.2622736189626949e-09
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,6.713679612246892e-10
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,1.154674023062796e-09
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,4.77334616277858e-10
2003,0.0
2004,0.0
2005,0.0
2006,8.974836984698698e-10
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,4.19642653959329e-10
2012,3.749565102850738e-10
2013,0.0
2014,4.790310370594852e-10
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
