year,beaux_ADJ anneaux_NOUN,beaux_ADJ canaux_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,1.4287095950749062e-08
1802,1.5664880947952042e-08,2.0140561218795483e-08
1803,0.0,6.436119548425268e-08
1804,0.0,1.1123328924611542e-07
1805,2.842877711017877e-09,3.980028751016107e-08
1806,0.0,3.1698359492793315e-08
1807,0.0,3.9857372513552036e-08
1808,0.0,2.2660739951163578e-09
1809,4.518061036407062e-09,1.8072244145628247e-08
1810,0.0,9.360507036149102e-09
1811,0.0,1.7549536934780008e-08
1812,0.0,1.600324850414836e-08
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,0.0,1.3486118000116676e-08
1816,1.0660977523002657e-07,1.1588019432906549e-08
1817,4.670620334934483e-09,3.113746815941454e-09
1818,0.0,1.5497530370112145e-08
1819,5.175524897538253e-09,1.9666995143552413e-08
1820,0.0,8.306536791735653e-09
1821,0.0,3.94459531705138e-09
1822,0.0,8.02049271442229e-09
1823,0.0,5.929612356680991e-09
1824,1.3473780313688621e-08,7.57900142644985e-09
1825,1.4088708866211164e-08,5.283265824829186e-09
1826,1.7615968683770689e-09,1.7615968683770689e-09
1827,1.1060727445055818e-08,1.1060727445055818e-08
1828,0.0,6.420610709767516e-09
1829,9.430493719264632e-09,1.1145129263923081e-08
1830,1.2524203008013046e-08,1.0436835395921662e-08
1831,0.0,1.2472964883158966e-08
1832,6.764984572527055e-09,2.570694235259907e-08
1833,0.0,2.548398292390175e-08
1834,0.0,1.120143711119681e-08
1835,1.5126175867408165e-09,1.3613558280667348e-08
1836,2.688300027031687e-09,5.376600054063374e-09
1837,6.957890930081589e-10,1.1828414692161004e-08
1838,5.680945491803868e-09,2.2723781967215473e-08
1839,4.194885327990505e-09,1.0487212875887053e-08
1840,6.369688665408546e-10,1.1465439264668476e-08
1841,0.0,1.8619591202195807e-08
1842,2.0795621225033756e-08,2.0795621225033756e-08
1843,5.31621990873532e-09,1.3585895075607368e-08
1844,1.6465684371524958e-09,1.3721403568922597e-08
1845,7.812318791877715e-09,8.928364714222425e-09
1846,1.1709002656346001e-09,5.854501328173001e-09
1847,3.775256551818984e-09,8.089835468183537e-09
1848,7.24069959545659e-09,6.43617736884039e-09
1849,2.513824481908955e-09,1.0893239199560867e-08
1850,4.073397619208663e-09,5.431196825611551e-09
1851,1.3543821175687754e-08,3.2247193804124663e-09
1852,2.6042181744401205e-09,5.208436348880241e-09
