year,tes_DET hôtes_NOUN,tes_DET côtes_NOUN
1800,6.288328968651058e-09,3.144164395507687e-08
1801,7.143547975374531e-09,1.1905912700171939e-08
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,4.4857802805609026e-08,7.801356893821776e-09
1804,2.4718509461507665e-09,9.887403784603066e-09
1805,0.0,5.685755422035754e-09
1806,0.0,1.729001475325731e-08
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,0.0,6.798221985349073e-09
1809,2.9367397402779716e-08,1.129515236897305e-08
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,2.5070767684098882e-09,7.521229861140455e-09
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,0.0,2.300593315851529e-08
1814,2.8320094713762956e-08,9.440030979135372e-09
1815,0.0,5.394447111228828e-09
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,1.0898113522728181e-08,6.227493631882908e-09
1818,4.768470951432846e-09,7.152706427149269e-09
1819,2.173720581311045e-08,3.1053151161586356e-09
1820,0.0,5.933240565525466e-09
1821,4.9307441463142254e-09,1.3806083387635226e-08
1822,1.0025615893027862e-08,2.0051231786055723e-08
1823,1.3835761869529506e-08,1.4824030003524058e-08
1824,8.421112696055388e-10,3.3684450784221553e-09
1825,0.0,6.163809906922779e-09
1826,8.80798456392995e-09,9.688782887096181e-09
1827,6.452091305675367e-09,6.452091028119611e-09
1828,3.6689205562545624e-09,8.255071293206129e-09
1829,1.2002446592163096e-08,6.001223074036943e-09
1830,1.982998831806526e-08,1.2524203008013046e-08
1831,6.236482441579483e-09,7.795603274018958e-09
1832,9.470978667991403e-09,1.0823975493678972e-08
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,9.334531370086552e-09,3.733812370398937e-09
1835,9.075705520444899e-09,9.075705520444899e-09
1836,1.8818100133710658e-08,1.008112526790228e-08
1837,2.0873671680021744e-09,1.3915781860163179e-09
1838,9.468243078458727e-09,8.205810475558906e-09
1839,6.29232765891885e-09,1.1186360504567006e-08
1840,3.1848443882154243e-09,1.0191501864653674e-08
1841,8.988767952189392e-09,7.704658244733764e-09
1842,1.1404050592744852e-08,9.391571076378114e-09
1843,1.2404513194397282e-08,7.088293174639659e-09
1844,2.195424508855126e-09,8.781698035420504e-09
1845,1.4508592771633744e-08,8.37034175305007e-09
1846,7.610851504580296e-09,1.7563503984519002e-09
1847,2.1572894581822766e-09,3.235934187273415e-09
1848,4.02261068899179e-09,8.045221711050488e-10
1849,9.217356655710773e-09,1.6758829879393033e-09
1850,7.467895635215882e-09,1.2220192857625989e-08
1851,6.449438538780328e-09,1.2898877521649865e-08
1852,9.114763388495817e-09,1.1718981562935937e-08
1853,2.09017620989016e-08,7.166318205520383e-09
1854,7.27393034694046e-09,1.0910895298366086e-08
1855,5.306937111981824e-10,4.776243400783642e-09
1856,4.141751386299575e-09,5.694908100650764e-09
1857,3.905207268672939e-09,1.3668225773422193e-08
1858,6.851146205910652e-09,6.8511465389775594e-09
1859,7.129042689513199e-09,6.110608019582742e-09
1860,2.2428201296165184e-08,6.408057640072684e-09
1861,6.602349444939648e-09,2.357981809808507e-09
1862,6.776979477596257e-09,7.228778020618165e-09
1863,7.991393324857654e-09,7.491931353076353e-09
1864,1.3425238143405238e-08,4.794728059032138e-09
1865,1.6473954644879996e-08,1.4120533076145136e-09
1866,9.244664589402873e-09,7.298419202328432e-09
1867,2.232293283555009e-08,9.7056229719783e-09
1868,9.385760613156435e-09,4.44588676984381e-09
1869,1.660396531377728e-08,6.348574888015435e-09
1870,1.6055336615750093e-08,5.734048791339319e-09
1871,4.248470908407853e-09,4.248470908407853e-09
1872,1.572308139241585e-08,4.23313739617015e-09
1873,4.788803575905831e-09,2.9930022904522957e-09
1874,1.0754296120296658e-08,2.3898436563030145e-09
1875,3.432916173551348e-09,1.716458086775674e-09
1876,9.673623679873344e-09,1.209202959984168e-09
1877,1.1132668453761596e-08,4.9478527941460015e-09
1878,8.4547240319921e-09,4.831270938865373e-09
1879,7.94212251520321e-09,1.0996785704264767e-08
1880,3.2089231272180996e-09,3.8507077526617195e-09
1881,3.4862537301449947e-09,8.367009307619355e-09
1882,5.989846840748214e-09,6.655385131892899e-09
1883,4.423537092179686e-09,1.2638677882037541e-09
1884,1.7824582698722224e-08,3.9610181801208455e-09
1885,8.379326565943757e-09,1.2891271383708158e-09
1886,5.80811748696064e-09,4.517424601058195e-09
1887,5.223139698529167e-09,2.6115698492645834e-09
1888,2.0289966817799154e-08,1.268122939990235e-09
1889,1.1277245803853475e-08,1.8795409673089125e-09
1890,1.4419650362640368e-08,1.9663159989136147e-09
1891,4.461953917456185e-09,3.824531802365527e-09
1892,5.641661138255927e-09,4.387958663087943e-09
1893,3.695050043717174e-09,6.158416554491453e-10
1894,3.150769645188234e-09,7.561847148451761e-09
1895,3.611168697403855e-09,6.018614495673091e-09
1896,8.845543852942228e-09,2.358811590497112e-09
1897,1.3401441401050818e-08,4.07869948926276e-09
1898,3.960848538042683e-09,5.658354784721098e-09
1899,1.0502398950507086e-08,5.527578395003729e-09
1900,9.863000749454898e-09,3.114631885736685e-09
1901,5.58873880507349e-09,9.500856101851696e-09
1902,3.928227076954727e-09,1.4730852093691738e-09
1903,7.560308379339631e-09,7.020286574288548e-09
1904,1.3436562973367927e-08,1.6123875568041512e-09
1905,8.257214467732865e-09,4.64468330463319e-09
1906,7.201858220895474e-09,1.0288369045596824e-09
1907,3.5999902503469627e-09,7.199980611716228e-09
1908,7.858222517143076e-09,1.4734167219643268e-09
1909,7.701376869562182e-09,6.60118004702781e-09
1910,7.481810726517324e-09,4.809735720812114e-09
1911,5.852411444351446e-09,9.044636151145369e-09
