year,véritables_ADJ camps_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,1.9048670196752937e-08
1823,0.0
1824,0.0
1825,0.0
1826,1.7615968683770689e-09
1827,0.0
1828,3.668920500743411e-09
1829,0.0
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,0.0
1833,0.0
1834,9.334530925997342e-10
1835,3.781543966852041e-09
1836,0.0
1837,0.0
1838,0.0
1839,1.3982950353153e-09
1840,0.0
1841,0.0
1842,1.341653010911159e-09
1843,0.0
1844,1.097712254427563e-09
1845,5.022205318283568e-09
1846,1.7563503984519002e-09
1847,3.235934187273415e-09
1848,8.045221711050488e-10
1849,0.0
1850,3.394498016007219e-09
1851,0.0
1852,6.510545436100301e-10
1853,1.2541057081705276e-08
1854,9.871762074453727e-09
1855,5.306937111981824e-10
1856,1.0354378465748937e-09
1857,9.763018171682347e-10
1858,6.361778659424999e-09
1859,3.055304009791371e-09
1860,9.154367819341758e-10
1861,9.431927461278633e-10
1862,4.517986262886353e-10
1863,4.495158911765884e-09
1864,5.753673537611803e-09
1865,3.765475486972036e-09
1866,4.865612912574591e-10
1867,3.396968040192405e-09
1868,3.457911734727759e-09
1869,0.0
1870,2.2936195165357276e-09
1871,9.559059321873065e-09
1872,4.8378714367913744e-09
1873,4.788803575905831e-09
1874,5.974609140757536e-10
1875,7.437985338754061e-09
1876,7.859819461941697e-09
1877,4.9478527941460015e-09
1878,9.662541877730746e-09
1879,1.832797580370027e-09
1880,6.417846254436199e-10
1881,0.0
1882,7.320923423037584e-09
1883,7.58320695126713e-09
1884,7.2618666635548834e-09
1885,7.7347630522695e-09
1886,6.453463874400711e-10
1887,1.3710741875172516e-08
1888,1.3315291091942072e-08
1889,1.1903759755682586e-08
1890,3.9326319978272295e-09
1891,8.92390783491237e-09
1892,1.8805537127519756e-09
1893,1.847525021858587e-09
1894,5.671385139294216e-09
1895,2.4074457982692365e-09
1896,4.1279202278587945e-09
1897,5.2440420894583895e-09
1898,8.487532454637403e-09
1899,1.1055156790007459e-08
1900,8.30568502863116e-09
1901,2.794369402536745e-09
1902,7.856454153909453e-09
1903,3.7801539676252105e-09
1904,8.599400302955473e-09
1905,6.708986699521802e-09
1906,1.6461390472954918e-08
1907,6.685696440911215e-09
1908,3.437972351250096e-09
1909,3.850688656825696e-09
1910,2.137660271017694e-09
1911,1.1704822888702893e-08
1912,5.730363294986773e-09
1913,1.1666577037772186e-08
1914,1.0714789944188396e-08
1915,2.3561524287174507e-08
1916,5.493730803607377e-09
1917,3.289927441585405e-09
1918,1.8378202071289707e-08
1919,1.8415696745321952e-09
1920,5.300562211374427e-09
1921,0.0
