year,autres_ADJ anneaux_NOUN,autres_ADJ canots_NOUN
1800,1.4148740490327327e-07,8.489244152087849e-08
1801,6.667310969987739e-08,2.6193008650921e-08
1802,7.832440473976021e-08,2.6854081625060644e-08
1803,3.0230256697905133e-07,1.950339223455444e-09
1804,6.179627121127851e-08,5.438072037122765e-08
1805,4.8328921309348516e-08,2.55858996212055e-08
1806,5.4751712497136396e-08,2.881669125542885e-09
1807,1.1387820464392462e-08,2.8469550272802735e-08
1808,8.157866204783204e-08,2.039466551195801e-08
1809,2.4849335034105025e-08,7.90660692473466e-08
1810,7.020380277111826e-09,1.6848912309797015e-07
1811,7.019814773912003e-08,1.0028307073639553e-08
1812,1.3336041604361526e-08,3.467370746079723e-08
1813,6.901780125190271e-08,0.0
1814,0.0,2.8320094713762956e-08
1815,1.3486118000116676e-08,1.6183340889597275e-08
1816,5.052376650382939e-07,3.476405652236281e-08
1817,1.3389110620209976e-07,4.514932783195036e-08
1818,2.384235386898581e-08,2.6226590676969863e-08
1819,3.726378139390363e-08,1.3456364911235141e-08
1820,6.051905643289501e-08,4.034603762193001e-08
1821,4.7335142028259725e-08,3.155676253641104e-08
1822,2.3058916553964082e-08,3.408709403629473e-08
1823,2.174191138237802e-08,1.7788837070042973e-08
1824,6.14741253457396e-08,3.3684450784221553e-09
1825,8.541280038798504e-08,2.1133063299316746e-08
1826,3.963592831723872e-08,4.4039921931471326e-08
1827,4.3321183085254233e-08,6.359918103271411e-08
1828,6.420610532131832e-08,4.586150570418113e-09
1829,5.401101077495696e-08,1.8860987438529264e-08
1830,7.410153557430021e-08,2.922314124020886e-08
1831,2.0268567268999504e-08,9.354723218280014e-09
1832,1.6371262745451531e-07,4.8707889277466165e-08
1833,6.834341093053808e-08,1.5522061858064262e-07
1834,1.0174638731541563e-07,9.427876079826092e-08
1835,4.9160071569076536e-08,2.8739734148075513e-08
1836,5.2421849972006385e-08,1.0753200108126748e-08
1837,5.775049416456568e-08,4.383471363667013e-08
1838,6.94337813911261e-08,3.029837714052519e-08
1839,5.663094881924735e-08,1.8177836125232716e-08
