year,suis_VERB en_ADP
1800,1.7890296248879167e-06
1801,2.7335975119058276e-06
1802,1.8462180833012098e-06
1803,1.963991508091567e-06
1804,2.5904998892656295e-06
1805,2.402231757514528e-06
1806,3.143901039948105e-06
1807,1.8078164885082515e-06
1808,1.5477285160159227e-06
1809,1.3938217762188287e-06
1810,2.4384121388720814e-06
1811,1.9981400782853598e-06
1812,2.123097829098697e-06
1813,1.7455752185924212e-06
1814,1.5166983757808339e-06
1815,2.055284312518779e-06
1816,1.8146838556276634e-06
1817,2.9471614197973395e-06
1818,2.607161604828434e-06
1819,2.214089590779622e-06
1820,3.0010330647201044e-06
1821,4.298622570786392e-06
1822,3.0979153962107375e-06
1823,3.015207767020911e-06
1824,3.082127250308986e-06
1825,2.6900629563897382e-06
1826,1.918378984555602e-06
1827,2.344874246773543e-06
1828,2.511376123948139e-06
1829,1.980403567358735e-06
1830,2.635301143527613e-06
1831,2.8719000511046033e-06
1832,2.9874172469135374e-06
1833,2.559981794547639e-06
1834,2.2356200588546926e-06
1835,2.7869978111993987e-06
1836,3.0922171845304547e-06
1837,2.4596145067334874e-06
1838,2.1764333268947667e-06
1839,2.4756814127613325e-06
1840,2.0058148493262706e-06
1841,1.957625272552832e-06
1842,2.347221879972494e-06
1843,2.4667260731803253e-06
1844,2.0302188659115927e-06
1845,1.9140181848342763e-06
1846,2.2112451460998273e-06
1847,1.6427759419457288e-06
1848,2.071644530587946e-06
1849,1.7823015241447138e-06
1850,2.071322796837194e-06
1851,1.960629333552788e-06
1852,2.1810326416016323e-06
1853,2.081218326566159e-06
1854,2.2933663785806857e-06
1855,2.624811031637364e-06
1856,2.3375009732262697e-06
1857,2.328968093934236e-06
1858,2.7399692044127733e-06
1859,2.4717410269659013e-06
1860,2.4794605906208744e-06
1861,2.984733555422281e-06
1862,3.1910537927615223e-06
1863,2.757530182861956e-06
1864,2.561823066571378e-06
1865,2.7233802484261105e-06
1866,2.640081675053807e-06
1867,2.4991979898913996e-06
1868,2.305439238625695e-06
1869,2.5858234948827885e-06
1870,2.488003701728303e-06
1871,2.369584535699687e-06
1872,2.7134410629514605e-06
1873,2.5925385216396535e-06
1874,2.315758592885686e-06
1875,3.1531335480394773e-06
1876,2.8410222512320615e-06
1877,2.8351196306175552e-06
1878,2.302100710949162e-06
1879,2.556752633608994e-06
1880,2.9823731892975047e-06
1881,2.8392050808179192e-06
1882,2.804579253279371e-06
1883,2.4942430627561407e-06
1884,2.3647278339922195e-06
1885,2.272731080665835e-06
1886,2.019288785959361e-06
1887,2.349107035115594e-06
1888,2.113326900143875e-06
1889,2.242918981210096e-06
1890,1.9387875909160357e-06
1891,1.8963304455610341e-06
1892,2.084280367853353e-06
1893,1.8875546174967894e-06
1894,2.2049086965125753e-06
1895,2.086051836158731e-06
1896,1.9996825812995667e-06
1897,2.0649872567446437e-06
1898,1.9447766135272104e-06
