year,vaisseaux_NOUN ouverts_ADJ,vaisseaux_NOUN couverts_ADJ
1800,5.533729563467205e-07,5.65949598296811e-08
1801,3.428903028179775e-07,0.0
1802,9.84649659585557e-08,4.923248297927785e-08
1803,2.1843798947429605e-07,6.046051481689574e-08
1804,1.878606781247072e-07,1.4831105232815389e-08
1805,2.5870187414511747e-07,8.528632911009026e-09
1806,8.35684019762084e-08,5.76333825108577e-09
1807,1.992868590150465e-07,0.0
1808,5.4385775882792586e-08,2.4926814390369145e-08
1809,2.710836497499258e-07,2.259030518203531e-09
1810,1.4976811257838563e-07,0.0
1811,1.0529722516139373e-07,1.504245972228091e-08
1812,2.507175622668001e-07,2.6672082320544632e-09
1813,4.457399427337805e-07,1.4378708002027452e-08
1814,2.643208745212178e-07,6.293354282149721e-09
1815,1.6992508733437717e-07,5.394447111228828e-09
1816,2.062667476820934e-07,4.6352077731626196e-08
1817,1.6191484064620454e-07,3.7364962679475866e-08
1818,2.7657131340674823e-07,1.1921177378582115e-09
1819,9.522965882524659e-08,8.280840013696888e-09
1820,7.831877724129299e-08,1.6613073583471305e-08
1821,1.4496387734652671e-07,0.0
1822,1.1328945959121484e-07,1.303330066093622e-08
1823,1.3143973376372742e-07,1.2847492847356534e-08
1824,1.9705403531133925e-07,1.0947446504872005e-08
1825,7.836844417852262e-08,1.4088708866211164e-08
1826,6.694067877788257e-08,9.688783109140786e-09
1827,5.7147094167930845e-08,2.7651818612639545e-09
1828,1.2657775982916064e-07,1.0089530988466322e-08
1829,1.3116959962644614e-07,2.571952872898464e-09
1830,1.8786305133744463e-07,1.0436835840010872e-09
1831,1.0757932500382594e-07,1.4032085715598441e-08
1832,6.494385473843067e-08,0.0
1833,9.03523016404506e-08,0.0
1834,7.374279675786966e-08,1.213489042584115e-08
1835,8.470658485748572e-08,1.8907719834260206e-08
1836,7.796069922960669e-08,3.091545153210973e-08
1837,4.731365876864402e-08,1.3915782304252389e-08
1838,7.890202624594167e-08,1.199310784016916e-08
1839,1.3143973376372742e-07,3.4957374772659477e-09
1840,4.267691267045848e-08,1.2102408852854296e-08
1841,6.67737083404063e-08,1.0914932957462042e-08
1842,2.2808102073668124e-08,7.379091560011375e-09
1843,2.7171790151214736e-08,1.7720733769266417e-09
1844,4.226192018563779e-08,3.2931368743049916e-09
1845,4.9664027557128065e-08,5.580227946389016e-10
1846,7.786486833083472e-08,1.4050803187615202e-08
1847,2.534815024546333e-08,6.47186837454683e-09
1848,1.045878850192139e-08,7.24069959545659e-09
1849,3.1841775438579134e-08,7.54147322368226e-09
1850,5.2275268558332755e-08,4.752297222410107e-09
1851,2.579775504329973e-08,1.2898877521649865e-08
1852,5.338647213193326e-08,5.208436348880241e-09
1853,5.4941772020811186e-08,5.971931837933653e-09
1854,1.506742641765868e-08,4.676098175337984e-09
1855,5.041590256382733e-08,5.306937111981824e-10
1856,2.5885945831305435e-08,2.0708756931497874e-09
1857,1.4644527368545823e-08,4.393358121745905e-09
1858,5.725600971118183e-08,1.468102750479261e-09
1859,3.564521477983362e-08,3.055304009791371e-09
1860,3.753290656050012e-08,8.696649622663699e-09
1861,2.5937801240161207e-08,2.8295783494058924e-09
1862,2.2589931703009825e-08,9.035972525772706e-10
1863,1.3485475847119233e-08,2.9967726078439227e-09
1864,3.404256787575832e-08,1.2466292886870178e-08
1865,2.0710114512212385e-08,1.5061901947888146e-08
1866,1.5083399418358567e-08,8.271541673821048e-09
1867,2.3778776281346836e-08,4.367530337390235e-09
1868,3.062721987134864e-08,2.9639244392143382e-09
1869,2.3929244363785074e-08,4.883519144627257e-10
1870,3.383088653663435e-08,0.0
1871,9.346636176132961e-08,0.0
1872,1.6327815544059376e-08,1.3304146229131675e-08
1873,3.95076291681562e-08,1.855661402316855e-08
1874,2.0911132381229436e-08,6.572069999322139e-09
1875,4.005068987567029e-08,2.8607636259891933e-09
1876,4.232210315535667e-08,6.04601479992084e-10
1877,4.4530676035492434e-08,6.184816214727107e-09
1878,7.246906363889138e-08,0.0
1879,3.4823152361695975e-08,4.887460214320072e-09
1880,1.4119262203848848e-08,0.0
1881,2.1614773970668466e-08,5.5780060570498335e-09
1882,4.326000180299161e-08,7.986462158271479e-09
1883,2.6541224329434954e-08,6.319338941018771e-10
1884,3.9610181801208455e-08,7.922036360241691e-09
1885,3.287274097374393e-08,2.5782542767416317e-09
1886,1.5488312854472497e-08,0.0
1887,5.6148753202478474e-08,2.6115698492645834e-09
1888,3.4873380627686856e-08,1.268122939990235e-09
1889,9.397704836544563e-09,6.265136742733546e-10
1890,7.865263995654459e-09,3.2771931834929546e-09
1891,4.780665108228277e-08,1.2748440081367107e-09
1892,1.3163876211308434e-08,3.761107425503951e-09
1893,3.0176241949675386e-08,4.310891643655168e-09
1894,2.3945849747519787e-08,1.2603078580752936e-09
1895,3.069493459406658e-08,4.814891596538473e-09
1896,2.5946928161602045e-08,1.179405795248556e-09
1897,3.8456310136325556e-08,0.0
1898,3.3384292663640736e-08,1.13167097914868e-09
1899,2.5426860617017155e-08,5.527578395003729e-10
1900,1.7130474816440255e-08,0.0
1901,2.4031576728589243e-08,2.794369402536745e-09
1902,2.2096276808269977e-08,0.0
1903,6.480264325148255e-09,2.7001101354784396e-09
1904,2.0961039126632386e-08,1.0749250378694342e-09
1905,2.0643035725242953e-08,4.1286072338664326e-09
1906,1.8519063615940468e-08,2.572092316910357e-09
1907,8.742834012309686e-09,1.028568674676933e-09
1908,1.276961114626829e-08,0.0
1909,1.870334465081669e-08,5.500983557560346e-10
1910,1.1757131268552712e-08,5.344150677544235e-10
1911,1.4365010514438836e-08,0.0
1912,2.0837684910901544e-09,0.0
1913,6.363587878865928e-09,2.6514948014977335e-09
1914,1.2723813114234872e-08,6.696743715117748e-10
1915,1.4136913861761968e-08,0.0
1916,6.592477230782379e-09,1.0987462051303964e-09
1917,1.5352993543160665e-08,0.0
1918,1.033773866510046e-08,1.1486376294556067e-09
1919,4.603924352863942e-09,0.0
1920,1.4387239843927091e-08,1.514446346106979e-09
1921,9.844571380313027e-09,2.2718242842501013e-09
1922,3.6889677978990676e-09,0.0
1923,2.229349149729387e-08,0.0
1924,5.156649773851996e-09,1.289162443462999e-09
1925,7.698724324711748e-09,5.499089184013428e-09
1926,7.802296586589819e-09,5.57306911730393e-09
1927,5.574612327308159e-09,1.1149224876660924e-09
1928,3.4278122562625413e-09,1.1426041224282812e-09
1929,3.4535258208734376e-08,0.0
1930,1.0503603542488804e-09,0.0
1931,9.124285327288817e-09,1.1405356659111021e-09
1932,7.6716757391182e-09,8.767629289252454e-09
1933,1.261772819560747e-08,2.2941324395731044e-09
1934,2.3963160344919743e-09,1.1981580172459871e-09
1935,2.5133395809007197e-08,4.787313656606784e-09
1936,4.849885826274658e-09,0.0
1937,6.295559185076627e-09,0.0
1938,2.5930428915188486e-09,0.0
1939,3.058810094103137e-09,3.058810094103137e-09
1940,2.5357829169792012e-09,0.0
1941,8.854508237732261e-09,0.0
1942,9.102635090130207e-09,0.0
1943,5.806470415592457e-09,1.1612940831184915e-08
1944,9.639558484764166e-09,0.0
1945,0.0,2.178504043826024e-09
1946,4.1763312808029696e-09,1.3921104269343232e-09
1947,9.536696765621855e-09,3.5762612871081956e-09
1948,1.0871887834440486e-09,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,3.1984206394497505e-09,1.0661401761424827e-09
1952,3.1634410646574906e-09,2.1089607837865287e-09
1953,2.1547654771580937e-09,0.0
1954,0.0,0.0
1955,6.569925492527773e-09,1.8771215692936494e-09
1956,0.0,1.744228317335228e-09
1957,6.184526224473075e-09,3.534015080575159e-09
1958,4.9633461784992505e-09,5.790570245522986e-09
1959,7.750747821333448e-10,1.5501495642666896e-09
1960,0.0,2.7683333403416555e-09
1961,6.948159270159238e-10,2.08444772553662e-09
1962,1.2683912808952869e-09,1.2683912808952869e-09
1963,5.1728425987107585e-09,3.879631726988464e-09
1964,6.083968329129164e-10,6.083968329129164e-10
1965,7.660860390501512e-09,0.0
1966,1.6617224263271169e-09,2.215629901769489e-09
1967,1.9721342336964653e-09,4.930335584241163e-10
1968,4.4914158503495116e-10,1.3474247273492779e-09
1969,1.8167031212712459e-09,9.083515606356229e-10
1970,4.5987250119061684e-10,1.8394900047624674e-09
