year,les_DET ouvertures_NOUN,les_DET couvertures_NOUN
1800,4.61563325870884e-06,6.187715783312342e-06
1801,3.8837088425225375e-06,2.9621911039612314e-06
1802,4.4756803276868595e-06,3.1911600046896638e-06
1803,4.128868084762871e-06,1.8387798121466403e-05
1804,4.118103674954909e-06,4.2837177716137376e-06
1805,3.3204810563347564e-06,2.4107603593392923e-06
1806,3.6193764003655815e-06,3.927715084728334e-06
1807,3.1401914952766674e-06,1.1330881903859336e-06
1808,2.599186800011921e-06,3.4263037775872363e-06
1809,3.969116733060218e-06,4.741704941579883e-06
1810,2.70986689088204e-06,9.313704651958687e-07
1811,3.086211535219263e-06,1.7875457132277006e-06
1812,4.718291251037954e-06,8.054968958504105e-07
1813,3.6033042931649106e-06,2.3667353303835625e-06
1814,3.5274251786177047e-06,6.670955663423683e-07
1815,3.1098987989253146e-06,1.8287176200004751e-06
1816,5.057011605913431e-06,1.0508015861887543e-05
1817,3.101291923712779e-06,1.699171670566102e-05
1818,3.3605798535063514e-06,9.619197768984122e-06
1819,3.9313287629738625e-06,4.85671250771702e-06
1820,3.3416011433473614e-06,1.8511711132873643e-06
1821,3.224706574656011e-06,1.5876995611563416e-06
1822,3.05781273368666e-06,1.7113725903072918e-06
1823,2.9312049178997768e-06,1.2840575351447114e-05
1824,3.1705489362821027e-06,1.1326396460731303e-06
1825,3.0722190729193244e-06,2.034057359878716e-06
1826,2.9110388481967675e-06,5.053140739619266e-06
1827,3.5919712502163748e-06,2.034252240434853e-06
1828,4.3201538062476175e-06,3.3295453789605745e-06
1829,3.447274025347724e-06,1.1556641155152647e-06
1830,3.4514616515934904e-06,2.10719716164931e-06
1831,3.2289387945638737e-06,1.6261628275060502e-06
1832,3.4880261239322863e-06,2.304153724708158e-06
1833,3.6824355902354e-06,1.1282453584726682e-06
1834,3.26241854509135e-06,1.7278217256944117e-06
1835,3.3353217077092268e-06,2.311279736488814e-06
1836,3.577455260028728e-06,1.4839416309087028e-06
1837,4.3215458447321e-06,1.7019001319340532e-06
1838,3.5733147569771972e-06,1.6891345282488146e-06
1839,3.990034997514158e-06,1.7506653691157226e-06
1840,3.3249775128751935e-06,9.834799463703803e-07
1841,3.3939019488116173e-06,1.3515254480012118e-06
1842,3.173680212853469e-06,6.808889203568924e-07
1843,3.0444219873970724e-06,1.0372535967917429e-06
1844,3.3063092246266024e-06,1.2958492945358557e-06
1845,3.5640916564716463e-06,1.0574531970064527e-06
1846,3.139183718303684e-06,9.888252847645163e-07
1847,2.9980931230966235e-06,8.947357912347798e-07
1848,2.9984541356498084e-06,1.2759722096689075e-06
1849,3.273837307915528e-06,1.0139091912719778e-06
1850,3.1310850658883282e-06,1.5974507903138147e-06
1851,3.5755689395955415e-06,9.138854792922757e-07
1852,3.5807999552162073e-06,9.798371038982623e-07
1853,3.154374468294918e-06,1.3406987093844691e-06
1854,3.12882909270229e-06,1.14772233672511e-06
1855,3.0302611691013226e-06,1.4514473036797426e-06
1856,2.9799900573834748e-06,9.748647542551225e-07
1857,2.7546356022867258e-06,8.733019996043367e-07
1858,2.808480587646045e-06,7.511792574632636e-07
1859,2.989614927173534e-06,9.476534827967953e-07
1860,2.665752006691946e-06,1.0449710359239361e-06
1861,2.659803470805855e-06,9.46022332470875e-07
1862,2.372394590111071e-06,1.001637585318349e-06
1863,2.8209618108121504e-06,8.625710421483745e-07
1864,2.692239661428175e-06,7.273602271595792e-07
1865,2.511101541813332e-06,6.87199282367601e-07
1866,2.5388767426193226e-06,1.088924179271089e-06
1867,2.906348754549981e-06,1.131675681165234e-06
1868,3.0118412723822985e-06,1.0373735293001118e-06
1869,2.8026515792589635e-06,8.507090427656294e-07
1870,3.20475990633895e-06,7.4255930826439e-07
1871,3.1162533673523285e-06,1.3552622561974204e-06
1872,2.5453251595308757e-06,9.754358245572803e-07
1873,3.067228590225568e-06,9.960711366829855e-07
1874,2.8899185053887777e-06,9.039583517278516e-07
1875,2.5649605817079646e-06,1.0830850527554503e-06
1876,2.531466378741243e-06,9.377368854757151e-07
1877,2.8264609284178732e-06,1.1157407584505563e-06
