year,endroits_NOUN ouverts_ADJ,endroits_NOUN couverts_ADJ
1800,6.288328968651058e-09,1.2891074163690064e-07
1801,1.4287095950749062e-08,9.524730160137551e-08
1802,2.2378401354217203e-08,1.4993528907325526e-07
1803,2.145373123596528e-08,1.0921899473714802e-07
1804,1.730295728918918e-08,1.2359254242255702e-07
1805,0.0,9.381496113292087e-08
1806,0.0,7.204172902675055e-08
1807,2.8469551160981155e-09,1.2811298688575334e-07
1808,0.0,4.5321478125970316e-08
1809,0.0,8.584316191218022e-08
1810,2.3401267590372754e-09,8.190443878675069e-08
1811,6.518399686683551e-08,8.524060746140094e-08
1812,2.6672082320544632e-09,6.13457871168066e-08
1813,8.627225156487839e-09,6.039057609541487e-08
1814,0.0,1.1013369771717407e-07
1815,2.697223555614414e-09,3.506390555685357e-08
1816,5.3304887615013286e-08,1.6918508549679245e-07
1817,1.5568733857662664e-08,1.4945985071790346e-07
1818,1.9073883805731384e-08,7.391130196765516e-08
1819,3.1053151161586356e-09,3.9333990287104825e-08
1820,1.779972080839798e-08,7.594547923872597e-08
1821,1.97229765852569e-09,4.2404398215012407e-08
1822,1.5038423839541792e-08,6.616906489398389e-08
1823,4.941343334508019e-09,4.5460360809101985e-08
1824,9.263223965660927e-09,5.642145595174952e-08
1825,2.641632912414593e-09,5.899646993157148e-08
1826,1.7615968683770689e-09,2.906634755106552e-08
1827,2.7651818612639545e-09,4.608636672287503e-08
1828,1.8344602503717056e-09,4.677873732816806e-08
1829,1.2859763920403111e-08,3.429270378774163e-08
1830,0.0,4.279102583382155e-08
1831,0.0,7.171954763407484e-08
1832,0.0,2.3000948701223933e-08
1833,1.1583628500844156e-09,9.151066393542351e-08
1834,2.8003592777992026e-09,4.1071935186209885e-08
1835,0.0,4.310960122211327e-08
1836,1.3441500135158435e-09,3.091545153210973e-08
1837,0.0,2.5048407792382932e-08
1838,1.2624323808552163e-09,3.1560809077291196e-08
1839,2.0974426639952526e-09,4.544459031308179e-08
1840,5.732719632334238e-09,3.3759349093998026e-08
1841,7.0626033910059505e-09,1.926164472365599e-08
1842,3.3541325272778977e-09,4.293289634915709e-08
1843,1.2404512972352677e-08,1.9492807368237663e-08
1844,1.0977122322231025e-08,3.0735943568060975e-08
1845,5.580227835366713e-09,2.2320911341466854e-08
1846,2.3418005312692003e-09,6.205771541090144e-08
1847,1.7258315665458213e-08,4.260646591092154e-08
1848,0.0,1.769948809737798e-08
1849,0.0,3.016589289472904e-08
1850,0.0,2.0366988096043315e-08
1851,8.384270167027807e-09,4.2566295377355345e-08
1852,3.2552727180501506e-09,1.8229528109259263e-08
1853,6.569124799682413e-09,3.4040009921909586e-08
1854,3.63696517347023e-09,2.4939190268469247e-08
1855,5.306937111981824e-10,2.5473298137512757e-08
1856,1.0354378465748937e-09,3.31340110903966e-08
1857,0.0,3.3194261561675376e-08
1858,0.0,2.104280660830682e-08
1859,1.171199848215565e-08,2.2405561850291633e-08
1860,5.492620580582752e-09,2.70053845952134e-08
1861,6.13075279431996e-09,1.650587222457034e-08
1862,9.487771457372673e-09,1.400575744270327e-08
1863,0.0,1.6482248454963155e-08
1864,7.671564716815737e-09,3.068625886726295e-08
1865,0.0,3.247722446531043e-08
1866,9.731225825149181e-10,2.77339928800302e-08
1867,2.426405742994575e-09,3.396968040192405e-08
1868,4.939874287401835e-09,2.865126980111654e-08
1869,2.441759683335931e-09,2.2952539424636598e-08
1870,4.013834153937523e-09,1.834895613228582e-08
1871,3.18635318130589e-09,3.504988654867702e-08
1872,5.442605477412599e-09,2.7817760539505798e-08
1873,5.9860045809045914e-09,3.412022664406322e-08
1874,5.974609140757536e-10,2.2703515512034755e-08
1875,5.721527140956084e-10,2.2886109007913547e-08
1876,1.813804439976252e-09,3.9903696347209916e-08
1877,0.0,4.5149157301693776e-08
1878,5.435179861734696e-09,2.3552445327368332e-08
1879,8.55305515301552e-09,1.9549840857280287e-08
1880,3.8507077526617195e-09,3.273101611966922e-08
1881,2.7890030285249168e-09,4.671580100534811e-08
1882,6.655385131892899e-10,3.4608003574021495e-08
1883,3.159669414998234e-09,4.2339571848515334e-08
1884,7.2618666635548834e-09,3.1027976632458376e-08
1885,1.933690763067375e-09,1.9981470700258797e-08
1886,6.453463874400711e-10,3.807543791367607e-08
1887,6.528924623161458e-10,3.003305337756501e-08
1888,1.9021844099853524e-09,1.775372027168487e-08
1889,0.0,3.00726554769426e-08
1890,6.554386478008212e-10,2.3595791986963377e-08
1891,1.2748440081367107e-09,3.4420789774003424e-08
1892,0.0,1.817868522380195e-08
1893,6.774258043407144e-09,1.7859408174558666e-08
1894,4.411077725308132e-09,2.520615716150587e-08
1895,3.611168697403855e-09,1.1435367319734269e-08
1896,5.89702897624278e-10,1.4152869098893461e-08
1897,9.322741689743452e-09,1.8645483379486905e-08
1898,7.355861253444118e-09,2.998928039232851e-08
1899,4.4220627160029835e-09,3.205995469102163e-08
1900,2.595526460424935e-09,9.34389543516545e-09
1901,2.235495566438317e-09,2.0119459875900247e-08
1902,2.9461704187383475e-09,1.0802624572647801e-08
1903,2.7001101354784396e-09,1.8900770726304472e-08
1904,2.1498500757388683e-09,2.6335662539622717e-08
1905,4.64468330463319e-09,1.4966200723165457e-08
1906,6.6874399351490865e-09,1.9547901075611662e-08
1907,0.0,3.394276504309346e-08
1908,7.367083831866239e-09,5.893666887857307e-09
1909,2.7504918342913243e-09,1.3752458727367411e-08
1910,4.809735720812114e-09,1.068830179917768e-08
1911,4.25629931299909e-09,9.576673676292558e-09
1912,2.6047106693738442e-09,1.3023552902780011e-08
1913,2.121195885607108e-09,1.7499866444836698e-08
1914,6.696743604095445e-09,1.5402511266415786e-08
1915,1.295883844676382e-08,2.3561523843085297e-09
1916,0.0,9.888715624128963e-09
1917,2.1932848426331475e-08,4.386569774084137e-09
1918,2.2972752589112133e-09,6.89182577673364e-09
1919,6.4454939163738345e-09,5.524709134618888e-09
1920,7.572231730534895e-10,6.815008557481406e-09
1921,0.0,6.058197943303867e-09
1922,2.2133805899215986e-09,5.902348387820666e-09
1923,1.0615948120573648e-08,8.492758496458919e-09
