year,dix_DET anneaux_NOUN,dix_DET canots_NOUN
1800,7.231578535993322e-08,2.2009151834367913e-08
1801,5.9529565277216534e-08,0.0
1802,1.1412984690650774e-07,1.3427040812530322e-08
1803,1.3652375230321923e-07,0.0
1804,1.4831105232815389e-08,1.730295728918918e-08
1805,3.980028751016107e-08,0.0
1806,1.152667650217154e-08,0.0
1807,2.562259560079383e-08,0.0
1808,2.2660739062985158e-08,3.3991110370834576e-08
1809,0.0,1.581321384946932e-08
1810,1.1700633351097167e-08,3.2761775514700275e-08
1811,0.0,0.0
1812,5.3344164641089264e-09,1.8670457180292033e-08
1813,2.8757416448144113e-09,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,1.8880564667256294e-08
1816,3.244645441213834e-08,4.6352077731626196e-09
1817,7.472992535895173e-08,4.670620334934483e-09
1818,1.3113295338484932e-08,2.384235475716423e-09
1819,2.3807414706311647e-08,5.175524897538253e-09
1820,1.779972080839798e-08,3.5599443393152796e-09
1821,1.577838126820552e-08,0.0
1822,1.7043547018147365e-08,3.0076847679083585e-09
1823,3.261286707356703e-08,7.906149512848515e-09
1824,4.210556348027694e-09,8.421112696055388e-10
1825,2.993850500843109e-08,0.0
1826,2.025836387531399e-08,8.807984341885344e-10
1827,3.963427586128887e-08,0.0
1828,1.3758452155343548e-08,4.035812395386529e-08
1829,2.4004892296147773e-08,1.2002446148073886e-08
1830,1.7742621594152297e-08,3.1310507520032616e-09
1831,6.236482441579483e-09,0.0
1832,2.3000948701223933e-08,0.0
1833,1.1583628500844156e-09,9.266902800675325e-09
1834,1.7735608537350345e-08,8.401078055442213e-09
1835,2.2689263801112247e-09,1.0588323107185715e-08
1836,5.376600054063374e-09,1.2769425516978572e-08
1837,1.461157062010443e-08,5.5663127440652715e-09
1838,2.5248648061193535e-08,6.943378316748294e-09
1839,2.0974425751774106e-08,6.292327547896548e-09
1840,5.477932346620307e-08,1.9109065441114126e-09
1841,2.8250413564023802e-08,1.2841097074556274e-09
1842,9.391571076378114e-09,6.708265054555795e-10
1843,1.0041748765843295e-08,5.906910960362666e-09
1844,1.701453911095996e-08,2.7442805805577564e-09
1845,1.4508592549589139e-08,6.696273757711424e-09
1846,3.0443406018321184e-08,2.3418005312692003e-09
1847,2.1572894581822766e-08,0.0
1848,2.413566457803995e-09,0.0
1849,9.217356655710773e-09,1.3407063903514427e-08
1850,1.2899092460827433e-08,6.788996032014438e-10
1851,9.029214709244116e-09,0.0
1852,9.114764054629632e-09,7.161600201754936e-09
1853,4.180352064508952e-09,4.180352064508952e-09
1854,9.871762074453727e-09,0.0
1855,5.837630823180007e-09,6.8990182455763716e-09
1856,9.836659486950339e-09,3.6240324075009767e-09
1857,1.5620829074691756e-08,2.4407544874094356e-09
1858,2.104280660830682e-08,1.761723389392955e-08
1859,1.5785736939832873e-08,1.018434669930457e-09
1860,1.5104706818647173e-08,2.746310290291376e-09
1861,8.960331143725853e-09,7.073945429425521e-09
1862,1.9427341513278407e-08,0.0
1863,6.992469103739296e-09,3.496234635136375e-09
1864,7.671564716815737e-09,5.753673537611803e-09
1865,3.294791106611683e-09,1.882737743486018e-09
1866,2.1408697037372804e-08,9.731225825149181e-10
1867,2.8631587767335986e-08,4.85281148598915e-10
1868,1.679557115608077e-08,3.457911734727759e-09
1869,2.0999133099053324e-08,1.953407657850903e-09
1870,4.013834153937523e-09,1.7202146374017957e-09
1871,5.3105884134652115e-09,3.18635318130589e-09
1872,2.6003558417642125e-08,0.0
1873,4.788803575905831e-09,0.0
1874,1.3144139998644278e-08,5.974609140757536e-10
1875,1.7164581478379404e-08,0.0
1876,4.836811839936672e-09,1.209202959984168e-09
1877,2.6594708657512456e-08,3.0924081073635534e-09
1878,2.0532901601200138e-08,9.058632954861423e-09
1879,1.5273313280772527e-08,1.1607718342077078e-08
