year,ennemis_NOUN ouverts_ADJ,ennemis_NOUN couverts_ADJ
1800,3.144164484325529e-09,2.5153315874604232e-08
1801,1.4287095950749062e-08,3.5717739876872656e-08
1802,2.2378401354217203e-08,6.713520406265161e-09
1803,9.751696339321825e-09,5.851017448321727e-09
1804,0.0,3.707776485839531e-08
1805,0.0,5.1171799242411e-08
1806,0.0,5.76333825108577e-09
1807,0.0,1.9928686256776018e-08
1808,2.2660739951163578e-09,4.078933102391602e-08
1809,2.259030518203531e-09,3.388545621874073e-08
1810,0.0,2.574139479349924e-08
1811,5.0141535368197765e-09,2.2563691359778204e-08
1812,0.0,3.7340914360584065e-08
1813,5.751483289628823e-09,3.738464116054274e-08
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,5.3944472000466703e-08
1816,1.8540831092650478e-08,9.270415546325239e-09
1817,1.0898113522728181e-08,3.113746771532533e-08
1818,2.026600220972341e-08,2.741870730460505e-08
1819,4.140420006848444e-09,3.726378139390363e-08
1820,2.0173018810965004e-08,1.0679833017945839e-08
1821,2.1695274909916407e-08,1.2819934447350079e-08
1822,4.210758675071702e-08,1.4035862250239006e-08
1823,2.174191138237802e-08,8.400284201570685e-08
1824,9.263223965660927e-09,2.6947560627377243e-08
1825,1.7610886082763955e-09,2.8177417732422327e-08
1826,1.6735169694470642e-08,9.688783109140786e-09
1827,1.2904182611350734e-08,1.1060727445055818e-08
1828,1.1006761724274838e-08,5.503380862137419e-09
1829,1.457439946506156e-08,1.0287811491593857e-08
1830,1.3567886369969528e-08,1.982998831806526e-08
1831,2.0268567268999504e-08,1.5591206103948707e-09
1832,9.470978667991403e-09,6.764984572527055e-09
1833,1.0425265983826648e-08,1.0425265983826648e-08
1834,1.213489042584115e-08,2.8003592777992026e-09
1835,7.563087933704082e-10,2.3445572594482655e-08
1836,2.2178475944656384e-08,2.352262562510532e-08
1837,7.653680356156656e-09,1.3219993100221927e-08
1838,1.7042836475411605e-08,4.3553917805638775e-08
1839,1.4682098203877558e-08,1.11863602825224e-08
1840,9.554533164646273e-09,1.0191501864653674e-08
1841,4.494383976094696e-09,1.1556987367100646e-08
1842,7.379091560011375e-09,6.037438549100216e-09
1843,1.6539351221922516e-08,8.269675610961258e-09
1844,2.4149668931272572e-08,5.488561161115513e-09
1845,1.2834524554250493e-08,1.4508592549589139e-08
1846,1.3465353276842507e-08,1.4050803187615202e-08
1847,1.4022381478184798e-08,7.550513103637968e-09
1848,1.6090443422100975e-09,1.206783295515379e-08
1849,1.005529792763582e-08,0.0
1850,2.7155984128057753e-09,8.82569484161877e-09
1851,3.2247193804124663e-09,1.5478653025979838e-08
1852,1.3021090872200602e-09,5.859490670445666e-09
1853,5.971931837933653e-09,1.3138249599364826e-08
1854,2.5978321716024766e-09,2.1302223984775992e-08
1855,4.2455496895854594e-09,2.0166361025530932e-08
1856,2.174419400091665e-08,7.765783571755946e-09
1857,2.4407544874094356e-09,2.5383847912507917e-08
1858,3.9149408159744326e-09,1.3212924976357954e-08
1859,5.601390462572908e-09,4.073738679721828e-09
1860,4.119465657481669e-09,1.4189270203246451e-08
1861,1.1789909493131745e-08,8.488735048217677e-09
1862,2.1686334505943705e-08,1.400575744270327e-08
1863,7.491931519609807e-09,4.495158911765884e-09
1864,1.1507347075223606e-08,1.1507347075223606e-08
1865,3.765475486972036e-09,1.3649848362717876e-08
1866,1.751620715140234e-08,6.811858188626729e-09
1867,6.308654931785895e-09,1.455843445796745e-09
1868,2.321740844024589e-08,4.93987406535723e-10
1869,1.3185501579471293e-08,1.0255390314739543e-08
1870,5.734048791339319e-10,1.2614907340946502e-08
1871,9.559059321873065e-09,9.559059321873065e-09
1872,5.442605477412599e-09,1.1489944995446422e-08
1873,1.2570609442263958e-08,4.190203295451056e-09
1874,4.182226565063729e-09,1.4339061493728877e-08
1875,8.010138330405425e-09,7.437985338754061e-09
1876,6.650616057868319e-09,4.836811839936672e-09
1877,2.1028373708986692e-08,1.2369631985365004e-09
1878,2.4156354694326865e-09,1.2078177347163432e-09
1879,1.221865053580018e-09,1.1607718342077078e-08
1880,1.0910338410496934e-08,7.059631101924424e-09
1881,3.4862537301449947e-09,2.091752326904839e-09
1882,0.0,1.0648616211028639e-08
1883,5.0554711528150165e-09,6.319338829996468e-09
1884,3.9610181801208455e-09,1.3203393933736152e-09
1885,0.0,9.023890079618013e-09
