year,ses_DET offres_NOUN,ses_DET coffres_NOUN
1800,9.652585184483087e-07,5.407962877512773e-07
1801,8.857998992084504e-07,4.619494307078753e-07
1802,1.029406433872282e-06,7.317736958611931e-07
1803,7.781853419430718e-07,6.650656505513552e-07
1804,1.0628959241643088e-06,3.4853099029064083e-07
1805,1.1172509317702861e-06,5.94161463141063e-07
1806,1.5705096529927687e-06,2.6223189131258096e-07
1807,1.6967851941274148e-06,3.501754783918898e-07
1808,1.3596443508845368e-06,4.305540639570893e-07
1809,1.3328279493407535e-06,4.292158086727227e-07
1810,2.04059042374638e-06,5.078074960529477e-07
1811,1.0504651370979445e-06,3.0586335242333007e-07
1812,1.2695910882598582e-06,2.427159415674396e-07
1813,1.2682020642529324e-06,4.716216324140987e-07
1814,1.019523368839259e-06,5.286417454897219e-07
1815,1.0087616377774111e-06,6.122697300270374e-07
1816,1.0058400619072927e-06,4.403447348977352e-07
1817,9.014297148723927e-07,4.810738882810028e-07
1818,1.0311818350317026e-06,6.413593691689812e-07
1819,1.1272293463093774e-06,6.976607433983872e-07
1820,1.2163142741883348e-06,5.60097920043745e-07
1821,1.1833786368597998e-06,5.54215636938693e-07
1822,1.154950979298519e-06,8.120748589135474e-07
1823,1.1740631684631353e-06,6.937646199745018e-07
1824,1.3347463507784596e-06,6.138990897852636e-07
1825,1.0980388012171716e-06,5.767565074421555e-07
1826,1.201409100204387e-06,5.725189771155215e-07
1827,1.0848730163104392e-06,6.12948678480052e-07
1828,1.26394310839828e-06,4.806285804903609e-07
1829,1.137660408545571e-06,4.929576284951054e-07
1830,1.0791688609401717e-06,3.9764343862103146e-07
1831,9.541818410951919e-07,3.757480691035653e-07
1832,9.579218271937862e-07,3.3419025691205917e-07
1833,9.579660531500167e-07,5.351636218620115e-07
1834,8.737120680279986e-07,4.75127638566164e-07
1835,1.0512692654174316e-06,4.870628416142608e-07
1836,8.911714495241085e-07,6.69386720275611e-07
1837,9.796710696008404e-07,7.730217035373244e-07
1838,1.1090468330365866e-06,7.025436068452962e-07
1839,1.0557127403387767e-06,5.376444658367063e-07
1840,9.10228509454214e-07,5.407865927287148e-07
1841,8.276087015701705e-07,4.597112699400441e-07
1842,9.894691039846748e-07,5.158655778103594e-07
1843,7.956609202608433e-07,5.345754684471515e-07
1844,1.0274587154412984e-06,4.835422404703138e-07
1845,9.893744490341305e-07,3.6159876248831324e-07
1846,9.431601846188187e-07,4.4084394090759815e-07
1847,9.222412273857117e-07,5.776142719682298e-07
1848,7.409649143141905e-07,4.65013820338811e-07
1849,6.410252630928426e-07,2.6897920535340347e-07
1850,8.662758901323286e-07,3.9647736649328635e-07
1851,7.500697405404821e-07,3.9341576685281154e-07
1852,9.231953228550083e-07,3.5938211340180715e-07
1853,7.124514702638862e-07,3.798148631162235e-07
1854,8.474128598834341e-07,4.4994454206914725e-07
1855,6.93616662772456e-07,3.1576275461020487e-07
1856,7.931453680498635e-07,3.7327535773457043e-07
1857,8.83064995349514e-07,4.105349162841776e-07
1858,8.803723137162933e-07,3.5870645209712393e-07
1859,7.913237354273406e-07,3.269175425923976e-07
1860,7.534044890178393e-07,3.652592628355933e-07
1861,7.187128510111052e-07,3.5133928943942294e-07
1862,6.569152199986661e-07,3.627943034878456e-07
1863,6.847625222405895e-07,3.651067720378265e-07
1864,6.928382099147257e-07,3.615224868358524e-07
1865,6.580168285807986e-07,3.727820608312449e-07
1866,7.76551829062555e-07,3.0118143268254016e-07
1867,5.129421953853353e-07,3.023301520244104e-07
1868,5.359763211032487e-07,4.208772645952763e-07
1869,7.242258917017352e-07,2.993597099099077e-07
1870,6.812049733184722e-07,3.274141864295643e-07
1871,6.351463959219927e-07,2.1560989993396618e-07
1872,5.956629367531718e-07,2.551977309472875e-07
1873,5.453249922737768e-07,3.1306804326725057e-07
1874,5.209859033072917e-07,3.4951464833454793e-07
1875,6.66557895101505e-07,2.832155892029675e-07
1876,5.900910267087056e-07,2.6058324387179255e-07
1877,5.881760181125628e-07,2.66565563844523e-07
1878,6.703388386597453e-07,3.0738961598331116e-07
1879,5.382315411139871e-07,3.769453718049931e-07
1880,5.339648150304299e-07,3.1126554311811105e-07
1881,5.905714193232825e-07,2.572855155591469e-07
1882,6.848391294056455e-07,2.9549910118831235e-07
1883,5.561018321387223e-07,2.540374164361481e-07
1884,7.255264797834116e-07,2.2445770131440668e-07
1885,5.453007636546658e-07,3.2486002876641606e-07
1886,5.608060362760625e-07,3.420335894510629e-07
1887,7.266692989560397e-07,2.8857845935092996e-07
1888,7.437541071908527e-07,2.644036194432431e-07
1889,5.776456055706092e-07,2.4559335365381685e-07
1890,5.925165611486705e-07,2.22193696330919e-07
1891,6.986145182352743e-07,2.403080827662052e-07
1892,5.478679536707887e-07,2.532478902139701e-07
1893,5.573367056754819e-07,2.611168672395081e-07
1894,5.545354362368471e-07,2.3567756635145543e-07
1895,5.230176105541773e-07,2.600041351108473e-07
1896,6.799274405722144e-07,2.199591842000359e-07
1897,5.28482900108429e-07,2.1325772081581817e-07
1898,5.160419549454787e-07,1.522097439199399e-07
1899,5.522050727790884e-07,1.807518206220493e-07
1900,5.471370245757612e-07,1.9103075032944616e-07
1901,4.890146474423318e-07,1.7828076448456187e-07
1902,4.5272817050800995e-07,1.8462667350505058e-07
1903,4.665790278579607e-07,1.97648063471334e-07
1904,5.046773079442346e-07,1.784375616153966e-07
1905,5.238170301957723e-07,2.0023744484731765e-07
1906,4.485728863912186e-07,1.9496459885415263e-07
1907,4.829129798267218e-07,1.8565664561265294e-07
1908,4.459541327328509e-07,2.1069859679201386e-07
1909,4.961886890253453e-07,1.870334385145611e-07
1910,4.286008881138059e-07,1.881141102888506e-07
1911,5.368257536275678e-07,2.2717997594234873e-07
1912,4.896856067304611e-07,1.917067050660748e-07
