year,ces_DET anneaux_NOUN,ces_DET canaux_NOUN
1800,5.156429807584573e-07,1.6947046930226861e-06
1801,6.548251860749588e-07,1.3406058201326232e-06
1802,5.549843535845866e-07,1.4545960880241182e-06
1803,7.957383800771822e-07,1.156551164172015e-06
1804,4.029116880133188e-07,1.535019379161895e-06
1805,5.970042931124908e-07,1.9246281794949027e-06
1806,3.4291863570956593e-07,7.722873078819248e-07
1807,3.6156330907033407e-07,1.070455127205605e-06
1808,4.328201441694546e-07,7.681990865648913e-07
1809,9.126483320187617e-07,1.5112914155679391e-06
1810,4.0016167801582014e-07,8.681870511395573e-07
1811,3.9361105663715534e-07,1.4114842485923873e-06
1812,3.974140128093495e-07,1.8110344228716713e-06
1813,5.262607061240487e-07,8.253378638301001e-07
1814,3.681612170680637e-07,1.8817129046055925e-06
1815,2.616306780112154e-07,1.513142436238013e-06
1816,2.148418857927936e-06,1.3766567619200032e-06
1817,5.558038154163114e-07,8.095742032310227e-07
1818,2.92068836671433e-07,1.146817254493726e-06
1819,3.5711121881831787e-07,1.4067076534729495e-06
1820,2.219031998151877e-07,1.1652884666091268e-06
1821,3.0866458544664965e-07,1.0601100157714427e-06
1822,3.7997084234575595e-07,1.395565703887769e-06
1823,3.458940298628477e-07,1.0011161748479935e-06
1824,4.303188561038951e-07,1.0484285155598627e-06
1825,4.261834334329251e-07,1.039042288653036e-06
1826,3.584849750382091e-07,9.59189492277801e-07
1827,3.8436027693933283e-07,1.0950119886388165e-06
1828,4.54028899810055e-07,1.4235411072149873e-06
1829,3.9950999308757673e-07,1.5414570526672833e-06
1830,4.2373554265395796e-07,1.2409397527335386e-06
1831,3.617159762825395e-07,9.339132702734787e-07
1832,3.937221251248957e-07,1.1392234000595636e-06
1833,4.274359071132494e-07,1.4259446743380977e-06
1834,4.489909315452678e-07,1.4309836302572876e-06
1835,4.106756890109864e-07,1.2857250055731129e-06
1836,3.071382863595318e-07,1.1243814839190236e-06
1837,4.620039639746665e-07,1.337306628101942e-06
1838,5.106539049393177e-07,1.3520650981035942e-06
1839,3.1741296524501195e-07,1.3402658112227073e-06
