year,pâturages_NOUN ouverts_ADJ,pâturages_NOUN couverts_ADJ
1800,0.0,2.2009151834367913e-08
1801,0.0,5.476719877606229e-08
1802,6.713520406265161e-09,4.699464284385613e-08
1803,0.0,6.631153581793114e-08
1804,0.0,4.2021465418429216e-08
1805,0.0,2.842877711017877e-09
1806,0.0,1.152667650217154e-08
1807,0.0,2.8469550272802735e-08
1808,0.0,3.852325747288887e-08
1809,0.0,3.388545621874073e-08
1810,0.0,2.3401266702194334e-08
1811,0.0,1.504245972228091e-08
1812,0.0,1.8670457180292033e-08
1813,1.7254450312975678e-08,2.5881675469463516e-08
1814,1.8880061958270744e-08,2.8320094713762956e-08
1815,0.0,2.6972236000233352e-08
1816,0.0,3.9399267848239106e-08
1817,0.0,2.9580593974287694e-08
1818,0.0,9.536941902865692e-09
1819,1.035105001712111e-09,1.449147024601416e-08
1820,0.0,1.898636980968149e-08
1821,3.94459531705138e-09,3.94459531705138e-09
1822,0.0,3.208197085768916e-08
1823,7.906149512848515e-09,3.5577674140085946e-08
1824,0.0,2.0210670470532932e-08
1825,0.0,2.905796137042671e-08
1826,0.0,6.34174881497529e-08
1827,0.0,6.452091305675367e-09
1828,0.0,2.8434133270138773e-08
1829,0.0,3.257806824308318e-08
1830,0.0,1.3567886369969528e-08
1831,0.0,6.236482441579483e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,2.3167256557599103e-08
1834,0.0,1.4935249481595747e-08
1835,0.0,3.1764969321557146e-08
1836,0.0,1.0753200108126748e-08
1837,6.262101948095733e-09,1.3915782304252389e-08
1838,0.0,2.840472923537618e-08
1839,6.9914751765765e-10,1.3283802502428443e-08
1840,1.2739377330817092e-09,1.592422194107712e-08
1841,1.2841097074556274e-09,2.247191943638427e-08
1842,8.720745015011744e-09,1.2745703159566801e-08
1843,0.0,7.678984559333912e-09
1844,4.9397050894128824e-09,1.920996517412732e-08
1845,1.674068439427856e-09,8.928364714222425e-09
1846,0.0,1.1123552745573306e-08
1847,0.0,9.707802561820245e-09
1848,1.6090443422100975e-09,1.930853166243196e-08
1849,0.0,2.262441967104678e-08
1850,0.0,1.968808760466345e-08
1851,2.579775504329973e-09,1.5478653025979838e-08
1852,6.510545436100301e-10,1.3672145193766028e-08
1853,1.1943863675867306e-09,1.970737528722566e-08
1854,0.0,1.6626126253527218e-08
1855,1.0613874223963649e-09,1.0083180512765466e-08
1856,5.177189232874468e-10,9.836659486950339e-09
1857,4.881509085841174e-10,1.3180074809326925e-08
1858,0.0,8.808616946964776e-09
