year,quelques_DET offres_NOUN,quelques_DET coffres_NOUN
1800,4.0874140072588716e-08,0.0
1801,0.0,2.3811825844433088e-09
1802,8.951360541686881e-09,0.0
1803,5.655983681407406e-08,1.755305234496518e-08
1804,2.2246657849223084e-08,4.943701892301533e-09
1805,2.842877755426798e-08,2.842877755426798e-08
1806,2.0171682990621775e-08,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,2.4926814390369145e-08,0.0
1809,4.0662548883574345e-08,6.7770917766551975e-09
1810,1.8721014072298203e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,1.600324850414836e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,2.0858434979231788e-08,4.6352077731626196e-09
1817,4.0478710161551135e-08,7.784366928831332e-09
1818,3.337929621594071e-08,1.907388358368678e-08
1819,3.622867517094619e-08,3.1053151161586356e-09
1820,8.187871713971617e-08,2.254631326081835e-08
1821,3.747365440176509e-08,1.8736827200882544e-08
1822,3.909990198280866e-08,6.015369535816717e-09
1823,2.3718449426723964e-08,4.644862983127496e-08
1824,6.652678763430231e-08,8.421112696055388e-10
1825,6.251864448358901e-08,6.163809906922779e-09
1826,9.248383747717526e-08,1.2331177856594877e-08
1827,3.594736597278825e-08,9.217273055917019e-10
1828,3.4854744257462045e-08,9.172301251858528e-10
1829,1.8860987438529264e-08,2.571952872898464e-09
1830,3.339787468803479e-08,3.1310507520032616e-09
1831,1.5591206548037917e-08,3.1182413096075834e-08
1832,3.653091618094351e-08,1.0823975493678972e-08
1833,6.950177100506494e-09,1.853380560135065e-08
1834,2.8937046536725575e-08,1.4935249481595747e-08
1835,6.806779140333674e-09,1.4369867074037757e-08
1836,3.024337402735e-08,1.2097349788575684e-08
1837,5.9142072350582e-08,3.061471942622518e-08
1838,4.86036455527028e-08,1.0730675015224733e-08
1839,1.0557127438914904e-07,2.6567605004856887e-08
1840,2.1019972429314748e-08,1.1465439264668476e-08
1841,2.118780972892864e-08,4.494383976094696e-09
1842,2.4149754196400863e-08,1.8783143040934647e-08
1843,1.5357969118667825e-08,1.0041748765843295e-08
1844,2.030767648486531e-08,2.085653250105679e-08
1845,1.7298706467272496e-08,1.2834524554250493e-08
1846,2.1076205669601222e-08,8.781752214304106e-09
1847,1.4561703842730367e-08,9.707802561820245e-09
1848,4.746680914990975e-08,3.218088684420195e-09
1849,3.100383438869869e-08,1.508294644736452e-08
1850,7.264225843073291e-08,4.752297222410107e-09
1851,5.482023013314574e-08,1.9348316282474798e-09
1852,2.4740072213091935e-08,4.557381805270211e-09
1853,2.985965941171287e-08,1.2541057081705276e-08
1854,3.89674849055055e-08,8.313063126763609e-09
1855,3.02495415382964e-08,1.4328730202350926e-08
1856,2.174419400091665e-08,1.8120162259549488e-08
1857,2.9777205645675764e-08,8.298565390418844e-09
1858,3.0830157982109085e-08,5.872411001917044e-09
1859,1.0693564256314403e-08,8.147477359443656e-09
1860,3.112485069678428e-08,7.781213007262977e-09
1861,1.4147891136406798e-08,3.772770984511453e-09
1862,2.078273733663316e-08,2.2589932147099034e-09
1863,2.3474717836258208e-08,7.491931519609807e-09
1864,1.7261019946701595e-08,6.233146221390484e-09
1865,8.001635465326729e-09,1.882737743486018e-09
1866,2.3354942868536455e-08,1.9462451650298362e-09
1867,1.1161466417775046e-08,4.85281148598915e-09
1868,2.5687345917013715e-08,5.9278488784286765e-09
1869,1.3185501579471293e-08,4.395167119142229e-09
1870,1.204150201772336e-08,1.4335121534259088e-08
1871,1.805600113868877e-08,3.5049884772320183e-08
1872,1.5118348239973045e-08,1.0280476914203973e-08
1873,1.3767810336240416e-08,1.0774807879254666e-08
1874,8.364453130127458e-09,1.8521287614703397e-08
1875,3.718992758194872e-08,1.4303817685856757e-08
1876,1.571963781366037e-08,3.627608879952504e-09
1877,3.7727377666385564e-08,1.1751150275074451e-08
1878,3.140326043649111e-08,9.058632899350272e-09
1879,2.932476128592043e-08,9.774920206595539e-09
1880,2.1178892639639457e-08,7.059630879879819e-09
1881,3.486253646878268e-08,1.2550514016940184e-08
1882,2.5956001348248492e-08,1.4641846846075168e-08
1883,1.2006743599357605e-08,1.2638677659992936e-08
1884,2.3105939384038265e-08,1.0562715146988921e-08
1885,1.8692343783932586e-08,1.4824961702686323e-08
1886,4.06568209099234e-08,1.871504551331782e-08
1887,2.3504128032758587e-08,1.4363633837888301e-08
1888,2.599652004775521e-08,1.3315291091942072e-08
1889,4.385595531175568e-08,1.3156786771162388e-08
1890,3.473824872202158e-08,9.831579994568074e-09
1891,3.505820966864803e-08,1.3385862196457765e-08
1892,4.0745331553182496e-08,1.2537024751679837e-08
1893,4.0645549592710495e-08,1.5396040997650573e-08
1894,1.5123694296903523e-08,7.561847148451761e-09
1895,2.4074457538603156e-08,7.824199066419624e-09
1896,3.597187547832448e-08,2.358811590497112e-09
1897,2.1558839824464826e-08,6.992056267307589e-09
1898,2.6594267232837865e-08,6.7900258748920805e-09
1899,2.65323762960179e-08,1.1055156790007459e-08
1900,1.3496737838458728e-08,4.671947717582725e-09
1901,3.632680334320071e-08,7.265360757457984e-09
1902,2.1114220594142807e-08,1.3257766440233354e-08
1903,3.780154034238592e-08,1.1340462791054051e-08
1904,1.2361637935498493e-08,1.6123875568041512e-08
1905,2.8384174344253665e-08,1.7546581076999246e-08
1906,8.745113966313056e-09,2.2119993614566624e-08
1907,2.0571373937627868e-08,1.337139288182243e-08
1908,1.9645556514902296e-08,9.331639017062798e-09
1909,1.980354102926185e-08,1.320236009405562e-08
1910,1.7101281946096947e-08,3.206490406526541e-09
1911,2.074945859575905e-08,9.576673676292558e-09
1912,1.6670147928721235e-08,1.4586379215586476e-08
1913,9.545381873810044e-09,1.4848371532316662e-08
1914,1.808120853041828e-08,7.366418142140674e-09
1915,8.364341042010892e-08,1.1780761921542648e-09
1916,1.6481192410822132e-08,2.197492410260793e-09
1917,3.3995914527906734e-08,2.0836206093832743e-08
1918,2.6418666365657373e-08,3.44591288836682e-09
1919,2.762354567309444e-08,9.207848705727883e-09
1920,2.5745587439729434e-08,6.815008557481406e-09
1921,2.574734203619755e-08,1.5145494858259667e-09
1922,4.4267614240922626e-08,8.853522359686394e-09
1923,1.4862327812892318e-08,4.246379248229459e-09
1924,3.867487219366694e-09,5.156649662829693e-09
1925,1.0998178368026856e-08,6.598906754362588e-09
1926,2.0063049888108253e-08,3.343841648018042e-09
1927,1.3379069518926201e-08,7.804457524684949e-09
1928,2.2852082448565625e-08,4.570416489713125e-09
1929,2.8965056353413843e-08,1.2254447234738564e-08
1930,1.680576589002669e-08,1.05036033204442e-08
1931,1.3686427990933225e-08,3.4216069977333063e-09
1932,1.53433514782364e-08,3.287861094491973e-09
1933,2.7529588608743438e-08,1.261772819560747e-08
1934,2.3963160344919743e-08,7.188948103475923e-09
1935,2.5133397585364037e-08,4.787313656606784e-09
1936,2.0612013873488877e-08,1.576212937948185e-08
1937,4.0291577185769256e-08,7.554670666820584e-09
1938,2.852347158466273e-08,7.779128452511941e-09
1939,2.4470480752825097e-08,4.588215141154706e-09
1940,0.0,7.607348528892999e-09
1941,5.9030051957620344e-09,2.3612020783048138e-08
1942,1.2136846860855144e-08,1.517105907566929e-08
1943,1.1612940831184915e-08,8.709705623388686e-09
1944,3.2131861615880553e-09,3.2131861615880553e-09
1945,8.714016175304096e-09,8.714016175304096e-09
1946,4.1763312808029696e-09,1.9489545088902105e-08
1947,3.5762612871081956e-09,7.152522796260996e-09
1948,5.435944139264848e-09,8.697510267552389e-09
1949,2.945102384188658e-09,1.47255123650325e-08
1950,3.190608444114673e-09,0.0
1951,6.396841056854896e-09,4.264560815592233e-09
1952,1.1599284532870513e-08,5.272401848444019e-09
1953,9.69644453618912e-09,3.232148326759443e-09
1954,3.9090144454689835e-09,9.772536557761669e-09
1955,6.569925492527773e-09,7.508486277174597e-09
1956,8.72114114258693e-09,7.849027428008526e-09
1957,1.5019563925910973e-08,7.0680299946168645e-09
1958,5.790570245522986e-09,3.3088973783179654e-09
1959,7.750747710311146e-09,1.0851047171911432e-08
1960,6.920833239831836e-09,3.460416619915918e-09
1961,1.459113407875634e-08,7.64297514166401e-09
1962,1.3318107949800151e-08,8.244543714397423e-09
1963,1.8751554087259592e-08,1.2285501393982656e-08
1964,1.2167936436213722e-08,8.517555771803131e-09
1965,1.6416130010910024e-08,4.377634699181954e-09
1966,2.1048484510899357e-08,8.308612242657887e-09
1967,9.367637554547059e-09,1.2818872185960117e-08
1968,1.841480479214397e-08,1.2126822629410228e-08
1969,1.816703076862325e-08,7.266812457329408e-09
1970,2.3453497588477035e-08,7.81783243697376e-09
1971,2.6205827730052533e-08,2.0553589941130213e-09
1972,1.6929484480954216e-08,7.695220183290274e-09
1973,1.7090931780927576e-08,1.1577728109557484e-08
1974,3.544110294129155e-08,7.875800567269664e-09
1975,1.8276736568623164e-08,1.4278700444236847e-08
1976,1.085570122683066e-08,1.25697592334717e-08
1977,2.350712763332652e-08,9.99052895966912e-09
1978,8.910887139279566e-09,1.0693064544931019e-08
1979,2.340789395649523e-08,4.681578680276743e-09
1980,1.8192481521239756e-08,1.1370301200575028e-08
1981,1.2018544492953254e-08,8.855769062510177e-09
1982,1.179425412889401e-08,1.3035754697909852e-08
1983,1.2630631651688873e-08,1.6419821946556112e-08
1984,1.5077422532705498e-08,1.6817124248724724e-08
1985,6.015558162708601e-09,1.5038895129215746e-08
1986,1.4386764890517156e-08,9.591176852730143e-09
1987,6.721898704320495e-09,1.099947066762752e-08
1988,7.195864681897035e-09,1.0194141475405871e-08
1989,8.232183157375061e-09,8.780995153223614e-09
1990,4.3589208909011745e-09,1.0352437129768077e-08
1991,9.964490843561435e-09,8.20605094986604e-09
1992,8.264916362410446e-09,1.2672871252394913e-08
1993,6.09312805766038e-09,1.1078415185217239e-08
1994,6.329912094482637e-09,9.494867891923775e-09
1995,1.0302656838767632e-08,1.680959671457316e-08
1996,1.1209993378002991e-08,8.540947282753564e-09
1997,1.0069277966984203e-08,3.835915585170824e-09
1998,9.536258227527128e-09,1.5258013741359377e-08
1999,7.312321859131998e-09,1.1882523187622951e-08
2000,8.39425973175878e-09,1.192868470667463e-08
2001,5.257454027685071e-09,1.2705514418343e-08
2002,1.0953053575235572e-08,1.3581786362237835e-08
2003,9.167230530238157e-09,5.833692029444393e-09
2004,2.642874724623212e-09,1.189293641346012e-08
2005,6.7556245042510454e-09,5.4044992925383895e-09
2006,7.000413027036245e-09,8.64756888319107e-09
2007,1.1983438796825396e-08,8.388407080062166e-09
2008,1.873273514085838e-08,1.6178271167177627e-08
2009,1.2874120214334539e-08,7.629108011997232e-09
2010,1.7005654884272303e-08,1.2754240885648471e-08
2011,2.6385406304285652e-08,1.3766299183926023e-08
2012,2.9616997743175943e-08,1.5319137181002418e-08
2013,1.9523874517091144e-08,1.5340188008750033e-08
2014,1.1043770564711508e-08,1.9489006852779767e-08
2015,2.127912379634722e-08,1.374276764609661e-08
2016,1.864205989576817e-08,1.2842308549920745e-08
2017,1.6351473286491114e-08,8.04995595182767e-09
2018,2.2975052971219156e-08,1.7553973608031015e-08
2019,1.836711183145212e-08,1.4030432926581682e-08
