year,deux_DET âges_NOUN,deux_DET ages_NOUN,deux_DET cages_NOUN
1800,1.0690159513160324e-07,0.0,1.8864987794131594e-08
1801,1.0000967165524344e-07,0.0,1.1905912700171939e-08
1802,1.0070280609397742e-07,0.0,1.7902721083373763e-08
1803,1.677291692203653e-07,3.900678446910888e-09,1.5602713787643552e-08
1804,1.5819846055364906e-07,2.4718509461507665e-09,0.0
1805,2.4164461365216994e-07,0.0,0.0
1806,1.2679343797117326e-07,2.5935023018064385e-08,0.0
1807,1.224190668835945e-07,2.8469551160981155e-09,8.540865792383556e-09
1808,1.0197332755979005e-07,2.2660739951163578e-09,0.0
1809,1.6490922405409947e-07,2.259030518203531e-09,2.259030518203531e-09
1810,2.340126741273707e-07,9.360507036149102e-09,2.3401267590372754e-09
1811,1.6045291317823285e-07,0.0,1.0028307073639553e-08
1812,1.3069320203840107e-07,2.6672082320544632e-09,0.0
1813,1.6679301495514665e-07,0.0,2.300593315851529e-08
1814,2.0138733702879108e-07,2.2026739099345605e-08,0.0
1815,1.1058616422587875e-07,2.697223555614414e-09,2.697223555614414e-09
1816,7.416332437060191e-08,0.0,2.3176038865813098e-09
1817,9.029865566390072e-08,0.0,0.0
1818,1.1325118265403944e-07,3.5763532135746345e-09,1.668964877410417e-08
1819,8.591371347677068e-08,1.035105001712111e-09,1.1386155129855524e-08
1820,8.42520151422832e-08,1.1866481131050932e-09,2.3732962262101864e-09
1821,1.203101618330038e-07,0.0,1.7750679148775816e-08
1822,8.922798144794797e-08,1.0025615893027862e-09,1.1028177482330648e-08
1823,1.6108778955192804e-07,1.9765373782121287e-09,2.2730180404550993e-08
1824,8.589535305247864e-08,2.5263338088166165e-09,6.736890156844311e-09
1825,1.4088708999437927e-07,8.805443041381977e-10,1.584979747448756e-08
1826,8.896063974361823e-08,5.2847906051312066e-09,7.927186018719112e-09
1827,9.770309361556428e-08,0.0,1.013900075008678e-08
1828,1.403362119845042e-07,3.668920500743411e-09,1.0089530988466322e-08
1829,1.4574398754518825e-07,0.0,8.573175946935407e-09
1830,1.586399023256746e-07,0.0,2.817945699007396e-08
1831,1.4967557149248023e-07,3.1182412207897414e-09,7.795603274018958e-09
1832,2.1242051673198148e-07,1.3529969367098715e-09,2.1647950987357945e-08
1833,2.3514765246090974e-07,1.1583628500844156e-09,9.266902800675325e-09
