year,serais_VERB en_ADP
1800,5.65949598296811e-08
1801,9.28661236798689e-08
1802,5.594600338554301e-08
1803,5.265916058760922e-08
1804,5.9324420931261557e-08
1805,1.02343598484822e-07
1806,6.627838899930794e-08
1807,7.686778502602465e-08
1808,3.6257183921861724e-08
1809,7.228897658251299e-08
1810,5.3822915901946544e-08
1811,3.008491944456182e-08
1812,6.13457871168066e-08
1813,6.326631307729258e-08
1814,1.0069366851439554e-07
1815,7.821948599939788e-08
1816,6.721051448721482e-08
1817,1.370048607896024e-07
1818,1.1801965627000754e-07
1819,8.073818946741085e-08
1820,1.0679833195581523e-07
1821,1.3017164235407108e-07
1822,1.2130995230563713e-07
1823,1.946889369719429e-07
1824,1.4484314192486636e-07
1825,1.1182912373897125e-07
1826,9.600702810530493e-08
1827,1.4194600339578756e-07
1828,1.0181254594954225e-07
1829,1.2345373079369892e-07
1830,1.711641033352862e-07
1831,1.387617345471881e-07
1832,1.6912461830997927e-07
1833,1.482704448108052e-07
1834,1.4095141409598e-07
1835,1.467239059138592e-07
1836,1.0349955203992067e-07
1837,1.349830824892706e-07
1838,1.04781889831429e-07
1839,1.3283802502428443e-07
1840,1.0382592563473736e-07
1841,1.515249437034072e-07
1842,1.18065464960182e-07
1843,1.559424589459013e-07
1844,1.229437742722439e-07
1845,1.3448349989175767e-07
1846,1.1533367683114193e-07
1847,1.1919023990003552e-07
1848,1.504456434986423e-07
1849,1.5585712276333652e-07
1850,9.640374543096186e-08
1851,1.1802472954514087e-07
1852,1.1002821764805049e-07
1853,1.1167512781184996e-07
1854,1.3612640259452746e-07
1855,1.5230909866659204e-07
1856,1.2735885945858172e-07
1857,1.2984814645733422e-07
1858,1.2968241946964554e-07
1859,1.5123754337764694e-07
1860,1.1900678487108962e-07
1861,1.4147890681215358e-07
1862,1.0075109457829967e-07
1863,1.1737358818209032e-07
1864,9.349719221063424e-08
1865,1.445001203137508e-07
1866,1.0655692506134073e-07
1867,8.686532737556263e-08
1868,1.4473830844963231e-07
1869,1.3820358901739382e-07
1870,1.4621824107052817e-07
1871,1.1046024184224734e-07
1872,1.663018309727704e-07
1873,1.711997299480572e-07
1874,1.3562362255470362e-07
1875,1.5963060207013768e-07
1876,1.2757091383264196e-07
1877,1.329735397348486e-07
1878,1.1111923470252805e-07
1879,1.1668811339404783e-07
1880,1.257897821460574e-07
1881,1.2411064176376385e-07
1882,1.457529350545883e-07
1883,1.1248422993048734e-07
1884,1.1222884666040045e-07
1885,1.1022036972008209e-07
1886,8.454037470073672e-08
1887,1.0185122079064968e-07
1888,8.306205501185104e-08
1889,9.335053618997335e-08
1890,9.569404113562996e-08
1891,1.2429728712959331e-07
1892,8.023695841075096e-08
1893,8.929703909643649e-08
1894,9.263262512604342e-08
1895,1.3602068804630107e-07
1896,1.179405799689448e-07
1897,5.5936450138460714e-08
1898,6.224190229886517e-08
1899,8.623022296205818e-08
1900,1.0434016672888902e-07
1901,1.089804086973345e-07
1902,8.200174050898568e-08
1903,9.990407789928213e-08
1904,6.71828175313749e-08
1905,9.599011718819384e-08
1906,7.922044176211784e-08
1907,1.0851399423472685e-07
1908,9.921006238755581e-08
1909,1.1001966981893929e-07
1910,9.459146355084158e-08
1911,6.171634225893285e-08
1912,1.0210465717364059e-07
1913,1.0659009319624602e-07
1914,6.428874144148722e-08
1915,6.361611326610728e-08
1916,5.6036057571873243e-08
1917,4.0575770299255964e-08
1918,5.283732917860107e-08
1919,5.1563951330990676e-08
1920,1.0979736231320203e-07
1921,6.209653236055601e-08
1922,5.090775445637519e-08
1923,1.1146745748646936e-07
1924,1.1086797258030856e-07
1925,9.898359820681435e-08
1926,9.697140512798796e-08
1927,1.0814748208076708e-07
1928,9.940655587570291e-08
1929,1.1140406286358484e-07
1930,9.768351105776674e-08
1931,1.1291302826066385e-07
1932,1.0301964437076094e-07
1933,7.685343916818965e-08
1934,8.626737724171107e-08
1935,1.0651773152403621e-07
1936,7.881064334469556e-08
1937,1.5109341688912536e-07
1938,9.723910920911294e-08
1939,7.799965828780842e-08
1940,4.81798743123818e-08
1941,9.444808313219255e-08
1942,1.0316320242509391e-07
1943,1.5096823346993915e-07
1944,1.0603514510876266e-07
1945,1.3942425880486553e-07
1946,8.770295778504078e-08
1947,1.2278496797080152e-07
1948,1.174163912764925e-07
1949,1.364564212735786e-07
1950,1.1486190487630665e-07
1951,1.3539980159293918e-07
1952,8.963083075741451e-08
1953,1.335954635806047e-07
1954,1.338837449793573e-07
1955,1.220129064449793e-07
1956,9.767678932348645e-08
1957,6.096176008441034e-08
1958,8.354965785883905e-08
1959,9.61092752049808e-08
1960,1.2042249863952748e-07
1961,9.17157052526818e-08
1962,1.135210183633717e-07
1963,9.052474325699222e-08
1964,1.1985417813775712e-07
1965,1.1053527515514361e-07
1966,1.1244321740377927e-07
1967,1.0896041402475021e-07
1968,1.266579232606091e-07
1969,1.185398801339943e-07
1970,1.0301143760216291e-07
1971,1.0893402446754408e-07
