year,les_DET hôtes_NOUN,les_DET côtes_NOUN
1848,9.026738609918539e-07,2.0696332526881633e-05
1849,9.753639247378487e-07,1.901456778341526e-05
1850,1.0733402575624496e-06,1.6981994193088212e-05
1851,1.1660585741424256e-06,1.771209386447481e-05
1852,9.850455384707857e-07,1.7877957546375e-05
1853,9.680501449338408e-07,2.123380120622187e-05
1854,9.066434571991522e-07,1.742054357833922e-05
1855,1.1197637448390196e-06,1.8153439071966204e-05
1856,1.0079987262656687e-06,1.5327069178283637e-05
1857,1.0832069108346332e-06,1.8316887405944726e-05
1858,1.1666524102338371e-06,1.5177736116811502e-05
1859,1.3147992063977654e-06,1.4568708351703208e-05
1860,1.3548464039558894e-06,1.5788538249239537e-05
1861,1.2935887951925906e-06,1.5902701647974027e-05
1862,1.1349181079367554e-06,1.561190134680146e-05
1863,1.3215766259122574e-06,1.5105231369716421e-05
1864,1.2797128476904618e-06,1.6852988707682925e-05
1865,1.3583952949147715e-06,1.598773796729347e-05
1866,1.2008332959112522e-06,1.6806799351343216e-05
1867,1.405374206342458e-06,1.8167956454817613e-05
1868,1.2616437814472192e-06,1.7872959176656877e-05
1869,1.2531110158420233e-06,1.4978729652170841e-05
1870,1.0206606617657599e-06,1.5175733452110762e-05
1871,1.275603359829347e-06,1.3346571321903866e-05
1872,1.1387140119722972e-06,1.5362660406026407e-05
1873,1.291181149554177e-06,1.59371385848317e-05
1874,1.1375655901701975e-06,1.5005827862069054e-05
1875,1.0745028262704182e-06,1.383179213121366e-05
1876,1.1118621188188627e-06,1.5717824510375067e-05
1877,1.2221196641348797e-06,1.6951961697486695e-05
1878,1.211441229997945e-06,1.5871932760092022e-05
1879,1.0318650467411317e-06,1.5227493378233703e-05
1880,1.1840926532613594e-06,1.648937296749864e-05
1881,1.0800414784739587e-06,1.5388323930665138e-05
1882,1.252543469831835e-06,1.5226189759687259e-05
1883,1.38583104103418e-06,1.4823905701177864e-05
1884,1.2516817946561787e-06,1.7182235950485847e-05
1885,1.3116868728957343e-06,1.7140234433554724e-05
1886,1.2868207193150738e-06,1.5891655237965097e-05
1887,1.2215618241384618e-06,1.4723378001235687e-05
1888,1.226908963758433e-06,1.5634687301258055e-05
1889,1.2962568121110962e-06,1.596356855770864e-05
1890,1.4386877893457495e-06,1.3397821589933301e-05
1891,1.213014058976114e-06,1.3420282982679055e-05
1892,1.1521525351554374e-06,1.3011550720420928e-05
1893,1.3222120429645656e-06,1.3597167452417125e-05
1894,1.236362017209558e-06,1.3613845482041143e-05
1895,1.3674292489440631e-06,1.1898801091092537e-05
1896,1.2183261901554943e-06,1.157763733772299e-05
1897,1.1962243178231802e-06,1.2296113766296912e-05
1898,1.2742615211891462e-06,1.1835015385486258e-05
1899,1.2243586056115419e-06,1.2492327385871249e-05
1900,1.2827092774614357e-06,1.2260748036396762e-05
1901,1.4625729392037101e-06,1.1670404546748614e-05
1902,1.0566930654931639e-06,1.0438281179858677e-05
1903,1.2928127404165934e-06,1.0835002342446387e-05
1904,1.3339819417979015e-06,1.121899234135526e-05
1905,1.2989630775450678e-06,1.1190590186060945e-05
1906,1.2623829022118116e-06,1.179098532588796e-05
1907,1.2779965814502248e-06,1.195351114802179e-05
1908,1.2641915247968427e-06,1.0346332373956102e-05
1909,1.3081339034215489e-06,1.0602045904306578e-05
1910,1.565301730011015e-06,1.0053416531263792e-05
1911,1.3327536976248666e-06,1.161703730190311e-05
1912,1.401855243443606e-06,1.1233596325155304e-05
1913,1.5352155315895288e-06,1.066378217728925e-05
1914,1.405646500529656e-06,1.0857430936539458e-05
1915,1.357143773361713e-06,1.2277909831936995e-05
1916,1.7294265006739806e-06,1.1468712528994729e-05
1917,1.5210431172363315e-06,1.0661558121682901e-05
1918,1.3393114670634532e-06,1.070185683715863e-05
1919,1.6353138931890498e-06,9.622201133652197e-06
1920,1.4031345614284874e-06,9.49557880858265e-06
1921,1.469112973495612e-06,9.995269067530899e-06
1922,1.5685491234762594e-06,9.006984015513808e-06
1923,1.4756167558971356e-06,9.542675883267293e-06
1924,1.6539954117433808e-06,9.956201637351114e-06
1925,1.4451605920839938e-06,9.845569252320274e-06
1926,1.6529723723124334e-06,1.0429442198756078e-05
1927,1.621097339921107e-06,1.0184816858327395e-05
1928,1.542515605024164e-06,9.397919114917386e-06
1929,1.60199049048515e-06,1.0961045745716547e-05
1930,1.525123195733613e-06,9.532020641245254e-06
1931,1.4541830211101114e-06,1.0281928780386806e-05
1932,1.455426499319401e-06,9.970986837970486e-06
1933,1.5703336231354115e-06,1.1226336937397718e-05
1934,1.503688309867357e-06,1.1138076985162115e-05
1935,1.6025532545427268e-06,9.823567722833104e-06
1936,1.9423792991801747e-06,1.1091688833175795e-05
1937,1.6255133914455655e-06,1.0174882220326253e-05
1938,1.7425248017843842e-06,9.880790088345748e-06
1939,1.4850522660481147e-06,1.1406302931504797e-05
1940,1.2222473486644958e-06,1.0386566998477065e-05
1941,1.2750491436008815e-06,1.1611211476747485e-05
1942,1.8630060338864496e-06,1.0018967003588841e-05
1943,2.636137480749312e-06,1.1612940511440684e-05
1944,1.8636480092482088e-06,9.488538921686995e-06
1945,1.6425920676965688e-06,8.812048662321104e-06
1946,1.6426902504917962e-06,8.90393849317661e-06
1947,1.517526825978166e-06,8.473355222804457e-06
1948,1.8710519356091027e-06,1.0234795368546656e-05
1949,1.5785749809538174e-06,8.292427025935467e-06
1950,1.5570168727663258e-06,9.025167798881739e-06
1951,1.5832181787800437e-06,1.0309575259270787e-05
1952,1.5332145437696454e-06,9.270991967014197e-06
1953,1.3909011187251963e-06,9.068330342643094e-06
1954,1.4678349344876551e-06,9.76471767444309e-06
1955,1.40314840280098e-06,1.0165552112084697e-05
1956,1.3622423438164333e-06,8.396714946456996e-06
1957,1.3402751761759646e-06,9.108923507028521e-06
1958,1.3500300752866679e-06,8.796703383495696e-06
1959,1.2261682940106766e-06,8.27779874157386e-06
1960,1.4720612711016656e-06,8.308460536454731e-06
1961,1.4716201093278869e-06,8.660185613962312e-06
1962,1.4161588666183889e-06,7.675035448073686e-06
1963,1.480726240288277e-06,8.202188411132738e-06
1964,1.3433402159535035e-06,8.075251344052958e-06
1965,1.1546011791097044e-06,7.149224643399066e-06
1966,1.0640562138064524e-06,8.63874109313656e-06
1967,1.110311572460887e-06,7.979254917245271e-06
1968,1.1650732361090377e-06,8.087692407343638e-06
1969,1.027345589932338e-06,8.854156561710624e-06
1970,1.053108015014459e-06,8.244134448887053e-06
1971,1.2337292503161734e-06,7.527752444502767e-06
1972,1.0711746796232546e-06,7.478215223954976e-06
1973,1.0816906126365211e-06,6.945534096303163e-06
1974,1.0249791699834532e-06,6.457593684672247e-06
1975,1.053196953648694e-06,6.709846729791025e-06
1976,1.0164364283582472e-06,6.5008509011477145e-06
1977,1.0090434656717662e-06,5.7621844860022975e-06
1978,9.166332262111609e-07,6.247720151009162e-06
1979,1.0147321560793898e-06,6.056207212168374e-06
1980,9.659071054102242e-07,6.7857957617434295e-06
1981,1.095585197674609e-06,5.875170302260813e-06
1982,9.94441890611597e-07,7.1237297163406765e-06
1983,9.485604977044204e-07,5.6364197291713936e-06
1984,9.324805887445109e-07,6.092438511018372e-06
1985,1.0184339558350075e-06,6.342203050735407e-06
1986,1.0196619797397943e-06,5.45378270544461e-06
1987,9.716198974274448e-07,5.704447602283835e-06
1988,8.98283751382678e-07,5.995954353466004e-06
1989,9.066378083844029e-07,5.847045287055153e-06
1990,8.668803843647765e-07,6.000599171329668e-06
1991,9.70658625476517e-07,5.616456064672093e-06
1992,8.915089679817356e-07,6.1116300145158675e-06
1993,9.804397365087425e-07,5.586290569681296e-06
1994,8.540106435361849e-07,6.41536584566893e-06
1995,1.0405683283920553e-06,6.1116441258946e-06
1996,9.080094827140783e-07,5.5622919887809985e-06
1997,8.079397417759537e-07,5.6958553500408016e-06
1998,9.326460741476694e-07,5.818548260094758e-06
1999,9.807651437654386e-07,5.929378943392294e-06
2000,9.520857702227659e-07,5.542420396409398e-06
2001,9.910300846627251e-07,5.489658448709633e-06
2002,9.581731248431424e-07,5.968538104639265e-06
2003,9.867273718100478e-07,5.834525325099094e-06
2004,1.0227925315575703e-06,5.779967267471875e-06
2005,1.0052369106006154e-06,5.639144944780128e-06
2006,9.405260641415225e-07,6.072652354305319e-06
2007,9.794463551315857e-07,5.9425872649399025e-06
2008,1.2636081123673648e-06,6.736546595220716e-06
2009,1.192524933912864e-06,6.384132717585089e-06
2010,1.1474093213337255e-06,6.614727425358069e-06
2011,1.4859955399515457e-06,7.2754891391468846e-06
2012,1.5986370272003114e-06,7.918632093151245e-06
2013,1.4500660654448438e-06,7.0963707372584395e-06
2014,1.391731586863898e-06,7.782826685343025e-06
2015,1.4802290877469204e-06,7.959057427342486e-06
2016,1.683585225009665e-06,8.42434700132344e-06
2017,1.1619608812907245e-06,6.876926590848598e-06
2018,1.4954436835523666e-06,7.574023371148542e-06
2019,1.4351857373640087e-06,7.669289431078141e-06
