year,derniers_ADJ anneaux_NOUN,derniers_ADJ canots_NOUN
1800,3.238489512114029e-07,0.0
1801,3.119349116786907e-07,0.0
1802,3.289624999069929e-07,1.3427040812530322e-08
1803,8.464472216473951e-07,0.0
1804,4.1774279679884785e-07,0.0
1805,3.041879210741172e-07,0.0
1806,4.8988376022407465e-08,0.0
1807,8.256169792275614e-08,0.0
1808,2.0847880932706175e-07,0.0
1809,2.1686693685296632e-07,2.259030518203531e-09
1810,1.1466621430145096e-07,0.0
1811,2.1560860830049933e-07,0.0
1812,1.1735716043403954e-07,0.0
1813,2.5881675469463516e-08,0.0
1814,1.9194730782601255e-07,3.1466771410748606e-09
1815,5.1247248222807684e-08,0.0
1816,3.430053823194612e-07,0.0
1817,7.955623004818335e-07,0.0
1818,2.491526061021432e-07,2.384235475716423e-09
1819,1.40774275791955e-07,0.0
1820,7.001224133773576e-08,1.1866481131050932e-09
1821,7.691961201317099e-08,0.0
1822,1.5038423839541792e-07,0.0
1823,1.0772128433700345e-07,0.0
1824,7.915846111927749e-08,0.0
1825,1.6554233184251643e-07,2.641632912414593e-09
1826,1.4885493726524146e-07,0.0
1827,1.2627664602860023e-07,9.217273055917019e-10
1828,1.4950850868444832e-07,0.0
1829,2.4605014914413914e-07,0.0
1830,2.859692926904245e-07,0.0
1831,1.7773975002910447e-07,1.091384405071949e-08
1832,3.6801517921958293e-07,4.058990921151917e-09
1833,1.1236119945579048e-07,0.0
1834,2.8563664500325103e-07,9.334530925997342e-10
1835,1.505054569861386e-07,0.0
1836,2.3589832665038557e-07,0.0
1837,2.734451243213698e-07,0.0
1838,1.6474741926231218e-07,0.0
1839,2.0065533590241103e-07,2.0974426639952526e-09
1840,3.242171544570738e-07,0.0
1841,1.3932590547938162e-07,0.0
1842,1.831356399861761e-07,0.0
1843,1.6952834869243816e-07,7.088293507706567e-09
1844,2.1185846321714052e-07,3.2931368743049916e-09
1845,1.1941688171646092e-07,5.580227946389016e-10
1846,2.125184010992598e-07,0.0
1847,9.546005941274416e-08,0.0
1848,9.815170187721378e-08,8.045221711050488e-10
1849,1.3239476004400785e-07,0.0
1850,1.194863301634541e-07,0.0
1851,1.0383596560359365e-07,0.0
1852,3.112040758423973e-07,1.9531636308300904e-09
1853,1.0988354404162237e-07,1.7915795513800958e-09
1854,8.209149626736689e-08,5.195664343204953e-09
1855,6.739810487488285e-08,2.1227748447927297e-09
1856,7.972871429728912e-08,4.659470143053568e-09
1857,1.547438444049476e-07,3.905207268672939e-09
1858,1.5464016200894548e-07,1.6149130033227266e-08
1859,7.230886467368691e-08,4.073738679721828e-09
1860,2.796659259729495e-07,0.0
1861,1.44780088362495e-07,2.357981809808507e-09
1862,9.532951139590295e-08,0.0
1863,1.3035960932938906e-07,9.989241656072068e-10
1864,8.726404843173441e-08,3.3563094525845827e-09
1865,1.7085845627207163e-07,0.0
1866,1.0509723580298669e-07,5.838735717134114e-09
1867,1.9168605547292827e-07,1.455843445796745e-09
1868,1.126291309105909e-07,2.4699371437009177e-09
1869,1.406453549179787e-07,0.0
1870,1.2098843171770568e-07,1.1468097582678638e-09
1871,8.815577245968598e-08,0.0
1872,1.499740136523542e-07,1.2094678591978436e-09
1873,1.544389220953235e-07,0.0
1874,2.8319647071839427e-07,0.0
1875,1.281622132864868e-07,0.0
1876,1.3180311952964985e-07,0.0
1877,1.224593546567121e-07,6.184815992682502e-10
1878,1.727179324007011e-07,0.0
1879,1.2707396024325135e-07,3.0546627449723474e-09
1880,1.4568510664503265e-07,6.417846254436199e-10
1881,1.1504637598136469e-07,0.0
1882,1.364353892086001e-07,4.6587693702804245e-09
1883,9.03665480223026e-08,1.8958017378167824e-09
1884,1.4127631686733366e-07,0.0
1885,9.990735350129398e-08,0.0
1886,9.357522401387541e-08,6.453463874400711e-10
1887,8.683469587822401e-08,6.528924623161458e-10
1888,8.433017484321681e-08,6.340614699951175e-10
1889,9.961567570826446e-08,6.265136742733546e-10
1890,1.4485193844393507e-07,0.0
1891,1.466070642663908e-07,3.1871101313640793e-09
1892,1.2286284345464082e-07,1.8805537127519756e-09
1893,1.4410694859634532e-07,2.463366621796581e-09
1894,1.0145478057665969e-07,1.8904617871129403e-09
1895,7.583454220139174e-08,6.018614495673091e-10
1896,8.019959096827733e-08,0.0
1897,6.584185996416636e-08,0.0
1898,9.845537363162293e-08,0.0
1899,1.0226020208392583e-07,1.6582735185011188e-09
1900,5.502516486899367e-08,0.0
1901,1.9337036860633816e-07,0.0
1902,6.13785502423525e-08,1.4730852093691738e-09
1903,7.34429974613704e-08,0.0
1904,1.1770428898216778e-07,1.6123875568041512e-09
1905,1.1560100432461695e-07,0.0
1906,9.61962527412652e-08,5.144184522798412e-10
1907,1.0337114986214146e-07,0.0
1908,5.991894624912675e-08,4.911389073214423e-10
1909,1.0396858840522327e-07,5.500983557560346e-10
1910,1.0207327960642942e-07,0.0
1911,6.012022879531287e-08,1.5961122423746588e-09
1912,9.11648712076385e-08,1.0418842455450772e-09
1913,5.090870303092743e-08,0.0
1914,5.2234600644851525e-08,6.696743715117748e-10
1915,6.832841847881355e-08,0.0
1916,9.998590400073226e-08,0.0
1917,5.9218692172180454e-08,0.0
1918,3.5607765624945387e-08,2.2972752589112133e-09
1919,2.9465114792515124e-08,0.0
1920,4.997673030970873e-08,7.572231730534895e-10
1921,8.708659748890568e-08,3.7863738810983705e-09
1922,8.189508093892073e-08,0.0
1923,5.944930947521243e-08,2.1231896241147297e-09
1924,7.34822620529485e-08,1.289162443462999e-09
1925,6.268961527666761e-08,0.0
1926,5.127223801082437e-08,2.229227691330493e-09
1927,7.135503921062991e-08,0.0
1928,6.512843242489907e-08,1.1426041224282812e-09
1929,8.466708578680482e-08,0.0
1930,3.466189113510154e-08,2.100720708497761e-09
1931,6.272946251328904e-08,0.0
1932,5.698959171240858e-08,0.0
1933,3.670611903316967e-08,4.588264879146209e-09
