year,mêmes_ADJ ouvertures_NOUN,mêmes_ADJ couvertures_NOUN
1800,2.829747991484055e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,1.1905912700171939e-08
1802,6.265952379180817e-08,6.713520406265161e-09
1803,4.8758479920252285e-08,1.950339223455444e-09
1804,7.909923027682453e-08,0.0
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,5.97860605466849e-08,0.0
1808,2.7192887941396293e-08,2.2660739951163578e-09
1809,5.6475762733043666e-08,2.0331274441787173e-08
1810,5.8503168531842675e-08,9.360507036149102e-09
1811,6.769107585569145e-08,1.0028307073639553e-08
1812,5.867858021701977e-08,5.3344164641089264e-09
1813,5.463909147351842e-08,2.300593315851529e-08
1814,3.4613449884091096e-08,0.0
1815,6.47333635583891e-08,0.0
1816,9.502176112619054e-08,0.0
1817,6.538868291272593e-08,0.0
1818,6.079800130009971e-08,3.5763532135746345e-09
1819,4.243930362690662e-08,0.0
1820,7.475883023744245e-08,1.542642635854463e-08
1821,4.930744168518686e-08,5.9168927535324656e-09
1822,6.616906489398389e-08,1.0025615893027862e-09
1823,6.720227219148e-08,1.1859224713361982e-08
1824,1.51580028528997e-08,0.0
1825,4.9310479255382234e-08,8.805443041381977e-10
1826,4.580151724553616e-08,2.642395191543301e-09
1827,9.309445658800541e-08,3.6869092223668076e-09
1828,2.2930752408001354e-08,4.586150570418113e-09
1829,7.030004667285539e-08,0.0
1830,6.366470017837855e-08,1.0436835840010872e-09
1831,2.182768810143898e-08,0.0
1832,6.764985016616265e-08,6.764984572527055e-09
1833,2.548398292390175e-08,0.0
1834,2.333632664885954e-08,1.0267983796552471e-08
1835,2.949604294144592e-08,2.2689263801112247e-09
1836,3.36037508930076e-08,1.3441500135158435e-09
1837,2.852735292435682e-08,1.1132625488130543e-08
1838,4.102905393210676e-08,1.2624323808552163e-09
1839,3.705481788074394e-08,7.690622361167243e-09
1840,2.93005673057678e-08,0.0
1841,4.687000298986277e-08,5.1364388298225094e-09
1842,5.970355942963579e-08,6.708265054555795e-09
1843,1.9492807368237663e-08,3.5441467538532834e-09
1844,2.030767731753258e-08,5.488561161115513e-09
1845,3.2923345827384765e-08,2.7901139176833567e-09
1846,4.859236213405893e-08,4.6836010625384006e-09
1847,3.55952778363644e-08,0.0
1848,1.045878850192139e-08,8.04522137798358e-09
1849,2.6814127807028854e-08,3.3517659758786067e-09
1850,2.2403686017469226e-08,1.3577992064028876e-09
1851,2.579775504329973e-08,0.0
1852,2.7344290387532055e-08,0.0
1853,1.911018188138769e-08,1.1943863675867306e-09
1854,2.4939190268469247e-08,3.117398783558656e-09
1855,3.502578493908004e-08,1.1675261646360013e-08
1856,3.6240326295455816e-08,1.5531567143511893e-09
1857,2.39193944651106e-08,1.9526036343364694e-09
1858,2.5936483183386372e-08,5.3830437884982985e-09
1859,2.189634606963864e-08,1.018434669930457e-09
1860,2.0139609091529564e-08,1.8308735638683515e-09
1861,3.678451676591976e-08,0.0
1862,1.8523744316212287e-08,5.421583626485926e-09
1863,3.146611149418277e-08,4.495158911765884e-09
1864,2.828889478223573e-08,2.3973640850272204e-09
1865,2.2122168985561075e-08,3.294791106611683e-09
1866,1.5083399418358567e-08,2.919367858567057e-09
1867,1.6014277903764196e-08,1.0190904120577216e-08
1868,2.1735445443482604e-08,4.939874287401835e-09
1869,1.4162205630441349e-08,9.767038289254515e-10
1870,2.2936195165357276e-08,1.1468097582678638e-08
1871,1.6993883633631413e-08,1.0621177271019633e-09
1872,7.861540751719076e-09,2.4189357183956872e-09
1873,2.5141218884527916e-08,1.0176207432266438e-08
1874,1.9716210886144836e-08,5.974609140757536e-10
1875,4.9777284516494547e-08,6.293679799540541e-09
1876,2.9020871039620033e-08,1.209202959984168e-09
1877,1.5462040536817767e-08,1.8554447978047506e-09
1878,2.717589886458427e-08,6.039088673581716e-10
1879,3.787781821529279e-08,1.221865053580018e-09
1880,2.888030792291829e-08,2.5671385017744797e-09
1881,5.717456375009533e-08,9.761510710859511e-09
1882,1.3976308999019693e-08,6.655385131892899e-10
1883,1.7694148368718743e-08,1.2638677882037541e-09
1884,1.7164412113856997e-08,3.9610181801208455e-09
1885,3.158361394639542e-08,7.7347630522695e-09
1886,2.774989482645651e-08,0.0
1887,1.3710741875172516e-08,2.6115698492645834e-09
1888,1.9021843655764314e-08,6.340614699951175e-10
1889,3.4458253139746375e-08,6.265136742733546e-10
1890,2.94947390955258e-08,6.554386478008212e-10
1891,1.784781566982474e-08,1.2748440081367107e-09
1892,1.3790726782758611e-08,0.0
1893,9.23762488724833e-09,6.158416554491453e-10
1894,2.2685540557176864e-08,5.041231432301174e-09
1895,1.745398137131815e-08,1.2037228991346183e-09
1896,1.0614652268259306e-08,1.179405795248556e-09
1897,1.806281169081103e-08,2.9133566670225264e-09
1898,1.2448380992680086e-08,2.8291773368493978e-09
1899,1.0502398950507086e-08,1.1055156790007459e-09
1900,2.0245106924221545e-08,0.0
1901,1.7883964531506535e-08,0.0
1902,4.2228439411928775e-08,3.928227076954727e-09
1903,2.430099144135056e-08,0.0
1904,1.3436562973367927e-08,1.0749250378694342e-09
1905,1.4966200723165457e-08,8.773290538499623e-09
1906,1.594697174311932e-08,0.0
1907,1.5942815068115124e-08,0.0
1908,1.7680999775393502e-08,1.4734167219643268e-09
1909,1.0451868703853506e-08,8.251475058784763e-09
1910,2.0842188419578633e-08,1.6032452032632705e-09
1911,3.1922244847493175e-09,1.0640748282497725e-09
1912,1.3544495303108306e-08,1.0418842455450772e-09
1913,9.545381374209683e-09,0.0
1914,6.027069510139427e-09,2.678697486047099e-09
1915,7.068456930880984e-09,1.1780761921542648e-09
1916,1.8678685265172135e-08,0.0
1917,8.773139548168274e-09,6.57985488317081e-09
1918,2.986458014220261e-08,1.1486376294556067e-09
1919,9.207848705727883e-09,4.603924352863942e-09
1920,1.8930579770426448e-08,0.0
1921,6.058197943303867e-09,3.7863738810983705e-09
1922,1.0329110011753073e-08,0.0
1923,7.431163684401554e-09,0.0
1924,5.156649773851996e-09,1.289162443462999e-09
1925,6.598906754362588e-09,2.1996355847875293e-09
1926,7.802296586589819e-09,3.343841648018042e-09
1927,1.0034302277972529e-08,4.4596899506643695e-09
1928,5.713020723163709e-09,0.0
1929,1.1140405931087116e-08,6.684243825105796e-09
1930,1.0503603542488804e-09,3.1510811737689437e-09
1931,2.2810713318222042e-09,3.4216069977333063e-09
1932,1.0959536389520963e-08,7.6716757391182e-09
