year,plusieurs_DET ans_NOUN,plusieurs_DET camps_NOUN
1800,9.432493897065797e-09,3.144164395507687e-08
1801,7.143547753329926e-09,5.2386017301842e-08
1802,2.2378401354217203e-08,1.4545960880241182e-07
1803,1.5602713787643552e-08,7.606322860453929e-08
1804,2.4718509461507665e-09,1.730295684509997e-08
1805,5.685755422035754e-09,1.1087223406036628e-07
1806,2.881669125542885e-09,1.2103010149644433e-07
1807,8.540865792383556e-09,3.9857372513552036e-08
1808,0.0,9.517510513035177e-08
1809,4.518061036407062e-09,1.2424668227595248e-07
1810,1.4040760554223652e-08,6.786367379163494e-08
1811,5.0141535368197765e-09,6.518399686683551e-08
1812,1.8670458068470452e-08,6.13457871168066e-08
1813,5.751483289628823e-09,4.026038280535715e-08
1814,3.1466771410748606e-09,4.090680150170556e-08
1815,2.697223555614414e-09,2.6972235112054932e-08
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,9.341240669868967e-09,1.276636241165363e-07
1818,1.7881766067873173e-08,3.457141417584353e-08
1819,3.1053151161586356e-09,2.6912729822470283e-08
1820,2.610625848831205e-08,1.4358442790296522e-07
1821,4.2404398215012407e-08,3.4515210245444905e-08
1822,4.411270992932259e-08,3.909990198280866e-08
1823,9.882687224127551e-09,1.4231069656034379e-07
1824,8.252690264498597e-08,7.073734309415158e-08
1825,6.163809906922779e-09,8.98155203543638e-08
1826,4.4039921931471326e-08,4.051672775062798e-08
1827,3.133872894522938e-08,6.912954536586469e-08
1828,8.346794067026764e-08,4.861319524707142e-08
1829,1.2859763920403111e-08,3.6864655328372464e-08
1830,1.6698937344017395e-08,5.740259823028282e-08
1831,3.274153215215847e-08,8.419250896452013e-08
1832,1.2176972319366541e-08,2.8412936226018815e-08
1833,4.6334514003376626e-09,3.01174338801502e-08
1834,3.547121618652227e-08,6.440826183506942e-08
1835,2.647080776796429e-08,9.680752555141225e-08
1836,2.352262562510532e-08,6.250297435173024e-08
1837,4.0355768504696243e-08,4.313892487672888e-08
1838,2.3354999711955315e-08,5.870310459954453e-08
1839,1.677954131196202e-08,3.705481976812308e-08
1840,1.6561189752906103e-08,1.0000411376775986e-07
1841,1.6051371787284552e-08,5.521671653241356e-08
1842,5.366612043644636e-08,9.592818983605866e-08
1843,5.906910960362666e-09,3.6622846977252266e-08
1844,3.0735943568060975e-08,4.994590807605448e-08
1845,1.5066614622583074e-08,6.13825060225004e-08
1846,2.2247105491146613e-08,3.981061058588864e-08
1847,1.1325769655456952e-08,6.14827504463733e-08
