year,membres_NOUN ouverts_ADJ,membres_NOUN couverts_ADJ
1800,3.144164484325529e-09,3.144164395507687e-08
1801,0.0,1.904946067554647e-08
1802,0.0,2.0140561218795483e-08
1803,0.0,5.851017448321727e-09
1804,0.0,1.730295728918918e-08
1805,0.0,4.264316544322355e-08
1806,0.0,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,0.0,3.172503681980743e-08
1809,0.0,2.259030518203531e-09
1810,0.0,4.680253518074551e-09
1811,0.0,2.757784400841956e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,3.5763532135746345e-09
1819,0.0,2.070210003424222e-09
1820,0.0,4.50926265216367e-08
1821,0.0,2.5639868894700157e-08
1822,0.0,1.4035862250239006e-08
1823,0.0,2.3718449426723964e-08
1824,0.0,1.431589158329416e-08
1825,0.0,1.4969252504215547e-08
1826,0.0,1.6735169694470642e-08
1827,0.0,2.488663675137559e-08
1828,0.0,0.0
1829,0.0,1.7146351893870815e-08
1830,0.0,7.305785310052215e-09
1831,0.0,1.870944643656003e-08
1832,0.0,8.117981842303834e-09
1833,0.0,6.950177322551099e-09
1834,0.0,1.4935249481595747e-08
1835,0.0,1.5126175867408165e-09
1836,0.0,1.4113575197427508e-08
1837,0.0,9.74104708006962e-09
1838,0.0,6.312161904276081e-09
1839,0.0,3.4957374772659477e-09
1840,6.369688665408546e-10,1.6561189752906103e-08
1841,0.0,2.247191943638427e-08
1842,0.0,1.1404051036834062e-08
1843,5.906911071384968e-10,1.1813821920725331e-08
1844,0.0,4.390849017710252e-09
1845,1.1160455892778032e-09,5.580227835366713e-09
1846,0.0,2.3418005312692003e-09
1847,0.0,1.6179670936367074e-09
1848,0.0,2.011305433313737e-08
1849,0.0,7.54147322368226e-09
1850,0.0,5.431196825611551e-09
1851,0.0,1.9993260380601896e-08
1852,0.0,2.4740073101270355e-08
1853,0.0,8.957897534855874e-09
1854,0.0,6.754363734984281e-09
1855,0.0,1.326734277995456e-08
1856,0.0,4.659470143053568e-09
1857,0.0,1.757343248698362e-08
1858,0.0,9.787352261980686e-09
1859,0.0,1.5276519604867644e-08
1860,0.0,1.1442959468865865e-08
1861,0.0,5.187560159214399e-09
1862,0.0,1.7168348520613108e-08
1863,0.0,1.1987090431375691e-08
1864,2.3973640850272204e-09,1.6302074357099627e-08
1865,0.0,1.2708479601997169e-08
1866,0.0,8.271541673821048e-09
1867,0.0,2.523461972714358e-08
1868,1.4819622196071691e-09,1.3831646938911035e-08
1869,0.0,6.8369265804335555e-09
1870,0.0,1.834895613228582e-08
1871,0.0,8.496941816815706e-09
1872,0.0,1.1489944995446422e-08
1873,5.986004469882289e-10,4.788803575905831e-09
1874,0.0,5.974609251779839e-09
1875,0.0,1.0298748520654044e-08
1876,1.813804439976252e-09,1.209202959984168e-08
1877,0.0,1.4225077116236662e-08
1878,0.0,8.4547240319921e-09
1879,0.0,1.4662380642960215e-08
1880,0.0,6.417846254436199e-09
1881,0.0,6.9725074602899895e-09
1882,0.0,1.9966155395678697e-09
1883,0.0,8.21514056781325e-09
1884,0.0,1.4523733327109767e-08
1885,0.0,1.2891271161663553e-08
1886,0.0,1.2906927970846027e-08
1887,0.0,7.1818169189441505e-09
1888,0.0,8.876860135842435e-09
1889,0.0,4.385595886446936e-09
1890,0.0,6.554386366985909e-09
1891,0.0,3.824531802365527e-09
1892,0.0,1.8805537127519756e-09
