year,certaines_DET ouvertures_NOUN,certaines_DET couvertures_NOUN
1800,3.772997292372793e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,1.950339223455444e-09,0.0
1804,1.9774807569206132e-08,1.2359254952798437e-08
1805,0.0,5.685755422035754e-09
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,4.518061036407062e-09,2.259030518203531e-09
1810,1.1700633795186377e-08,2.3401267590372754e-09
1811,5.264861258069686e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,1.150296680130225e-08,0.0
1814,1.8880062846449164e-08,6.293354282149721e-09
1815,4.045835311217161e-08,0.0
1816,0.0,0.0
1817,2.490997452753163e-08,0.0
1818,2.3842354979208835e-08,0.0
1819,1.0351049795076506e-08,0.0
1820,1.5426425470366212e-08,0.0
1821,2.2681422962023134e-08,0.0
1822,4.712039469723095e-08,0.0
1823,9.882686669016039e-09,0.0
1824,7.073734309415158e-08,0.0
1825,3.2580140141291736e-08,4.4027217427355936e-09
1826,2.113916308665864e-08,0.0
1827,1.8434546333878643e-08,0.0
1828,4.1275356466030644e-08,0.0
1829,6.858540846366168e-09,0.0
1830,2.5048406016026092e-08,8.349468672008697e-09
1831,6.236482219534878e-09,0.0
1832,6.088486081967659e-08,1.488296597074168e-08
1833,1.3900354645102198e-08,1.1583628278799551e-08
1834,1.5868701908061666e-08,0.0
1835,6.655517381659593e-08,7.563087933704082e-10
1836,3.629204881061554e-08,2.016224964762614e-09
1837,3.2006298056330706e-08,0.0
1838,2.4617431870765927e-08,5.049729523420865e-09
1839,2.027527834513876e-08,0.0
1840,4.8409635411417185e-08,0.0
1841,3.7239181516213193e-08,6.420548537278137e-10
1842,3.085801836277824e-08,6.708265054555795e-10
1843,4.725528685023406e-08,1.7720733769266417e-09
1844,3.0187088384536764e-08,2.195424508855126e-09
1845,2.0088821273134272e-08,2.2320911785556063e-09
1846,2.86870562860031e-08,5.854501328173001e-10
1847,1.4022381478184798e-08,5.393223645455691e-10
1848,5.229394162142853e-08,2.413566457803995e-09
1849,3.2679717376637996e-08,0.0
1850,3.326607966869233e-08,0.0
1851,1.096404567135778e-08,0.0
1852,3.059956421580523e-08,5.859490670445666e-09
1853,3.463720310570295e-08,0.0
1854,2.7017454606870217e-08,0.0
1855,1.4859423913549108e-08,0.0
1856,4.40061072026765e-08,0.0
1857,2.2454942127936306e-08,2.4407544874094356e-09
1858,5.1383596710863344e-08,0.0
1859,1.527652027100146e-08,0.0
1860,3.661747172145624e-08,4.577183909670879e-10
1861,2.0750240636857598e-08,0.0
1862,2.3041730412565187e-08,2.710791813242963e-09
1863,3.296449690992631e-08,4.994620828036034e-10
1864,9.109983323263293e-09,1.9178911792039344e-09
1865,1.1767110841276462e-08,0.0
1866,1.9949013108089275e-08,0.0
1867,2.232293283555009e-08,0.0
1868,1.531360993567432e-08,1.4819622196071691e-09
1869,4.199826453277211e-08,3.4184632902167778e-09
1870,3.268407944290175e-08,0.0
1871,5.3105884134652115e-09,4.248470908407853e-09
1872,3.023669603585688e-08,0.0
1873,1.496501056408306e-08,0.0
1874,2.0313670745508716e-08,0.0
1875,2.9179789251543298e-08,2.8607636259891933e-09
1876,3.748529309177684e-08,1.209202959984168e-09
1877,2.040989244278535e-08,3.0924081073635534e-09
1878,1.690944850807341e-08,4.22736201599605e-09
1879,1.2218650868867087e-08,0.0
1880,1.2835692508872398e-08,0.0
1881,2.440377727674914e-08,0.0
1882,2.3293848627758962e-08,0.0
1883,2.211768546089843e-08,1.8958017378167824e-09
1884,2.6406787867472303e-08,1.9805090900604227e-09
1885,2.4493415295978593e-08,6.445635691854079e-10
1886,2.3877815724659968e-08,0.0
