year,voulais_VERB analyser_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,4.680253518074551e-09
1811,1.0028307073639553e-08
1812,1.0668832928217853e-08
1813,0.0
1814,6.293354282149721e-09
1815,0.0
1816,0.0
1817,0.0
1818,1.0729059418679299e-08
1819,0.0
1820,0.0
1821,4.930744257336528e-09
1822,2.0051231786055723e-09
1823,9.882686891060644e-10
1824,0.0
1825,1.7610886082763955e-09
1826,1.7615968683770689e-09
1827,1.474763688946723e-08
1828,0.0
1829,6.858540846366168e-09
1830,2.0873671680021744e-09
1831,0.0
1832,1.2176972319366541e-08
1833,1.853380560135065e-08
1834,1.7735608537350345e-08
1835,7.563087933704082e-10
1836,1.344150035720304e-08
1837,2.7831563720326358e-09
1838,1.7674054220151447e-08
1839,1.1885507689157748e-08
1840,9.554533164646273e-09
1841,7.0626033910059505e-09
1842,1.6770663080478698e-08
1843,1.1813822142769936e-09
1844,6.037417232818143e-09
1845,0.0
1846,1.1123552745573306e-08
1847,5.3932236454556914e-09
1848,6.43617736884039e-09
1849,8.379414495607307e-09
1850,0.0
1851,6.449438760824933e-09
1852,3.2552727180501506e-09
1853,1.970737528722566e-08
1854,1.1950028522278444e-08
1855,2.1227748447927297e-09
1856,4.141751386299575e-09
1857,3.4170564155999728e-09
1858,0.0
1859,4.582956236731661e-09
1860,2.746310290291376e-09
1861,6.13075279431996e-09
1862,2.710791813242963e-09
1863,9.989241656072068e-10
1864,3.3563094525845827e-09
1865,1.882737743486018e-09
1866,9.731225603104576e-09
1867,2.426405742994575e-09
1868,6.421836395986702e-09
1869,2.441759683335931e-09
1870,3.4404292748035914e-09
1871,1.6993883633631413e-08
1872,1.8746751706544273e-08
1873,1.1972008939764578e-09
1874,1.0754296120296658e-08
1875,3.432916173551348e-09
1876,1.6928840551599933e-08
1877,3.0924081073635534e-09
1878,1.8117265465633636e-09
1879,9.163987790827832e-09
1880,5.134277003548959e-09
1881,2.091752326904839e-09
1882,1.5972924316542958e-08
1883,6.319338941018771e-10
1884,0.0
1885,1.0957580620640783e-08
1886,2.5813855497602844e-09
1887,1.3057849246322917e-09
1888,3.1703073499755874e-09
1889,1.8795409673089125e-09
1890,7.209825181320184e-09
1891,2.5496880162734215e-09
1892,6.268512375839919e-10
1893,6.158416554491453e-10
1894,1.2603078580752936e-09
1895,1.8055843487019274e-09
1896,1.179405795248556e-09
1897,5.826713556089658e-10
1898,0.0
1899,0.0
1900,5.191053142894475e-10
1901,1.676621730339889e-09
1902,1.0311596021495006e-08
1903,2.1600881083827517e-09
1904,2.1498500757388683e-09
1905,4.1286072338664326e-09
1906,2.572092316910357e-09
1907,2.057137349353866e-09
1908,2.9468334439286537e-09
1909,1.6502950117569526e-09
1910,7.481810726517324e-09
1911,2.6601871816467337e-09
1912,2.6047106693738442e-09
1913,0.0
