year,beaux_ADJ cadeaux_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,8.627225156487839e-09
1814,6.293354282149721e-09
1815,8.091670444798638e-09
1816,2.3176038865813098e-09
1817,4.670620334934483e-09
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,1.4239777357261119e-08
1821,1.2819934447350079e-08
1822,0.0
1823,9.882686891060644e-10
1824,8.421112696055388e-10
1825,7.044354433105582e-09
1826,1.7615968683770689e-09
1827,0.0
1828,2.7516904310687096e-09
1829,1.714635211591542e-09
1830,1.982998831806526e-08
1831,1.870944643656003e-08
1832,2.1647950987357945e-08
1833,1.50587169400751e-08
1834,2.333632664885954e-08
1835,2.4958190181223472e-08
1836,1.68018754465038e-08
1837,1.2524203896191466e-08
1838,1.1361890983607736e-08
1839,6.9914749545318955e-09
1840,1.52872523528913e-08
1841,1.9903700021473014e-08
1842,1.2745703159566801e-08
1843,2.126487963494128e-08
1844,4.9397050894128824e-09
1845,1.6182660544927785e-08
1846,9.952652035849496e-09
1847,2.6966118227278457e-08
1848,1.609044275596716e-08
1849,1.0893239199560867e-08
1850,9.504594444820214e-09
1851,1.2898877521649865e-08
1852,2.018269107395554e-08
1853,1.791579506971175e-08
1854,1.1430461910322265e-08
1855,6.8990182455763716e-09
1856,2.174419400091665e-08
1857,2.1966791052818735e-08
1858,2.838332058274773e-08
1859,2.0877910955618972e-08
1860,3.204028686809579e-08
1861,2.0278644541349422e-08
1862,2.3945327498609004e-08
1863,3.2465035104678464e-08
1864,3.0206784629172034e-08
1865,2.6358328852893465e-08
1866,2.77339928800302e-08
1867,4.0278337110066786e-08
1868,3.1615194018286275e-08
1869,1.5138908793232986e-08
1870,2.3509599600401998e-08
1871,4.248470908407853e-09
1872,1.0885210954825197e-08
1873,1.2570609442263958e-08
1874,8.961913877669758e-09
1875,2.7463329388410784e-08
1876,1.9951848173604958e-08
1877,1.855444864418132e-08
1878,2.6571990829893366e-08
1879,3.9710613464194466e-08
1880,2.5671385017744797e-08
1881,2.9284532132578533e-08
1882,1.6638463051776853e-08
1883,2.274962085380139e-08
1884,2.2445769687351458e-08
1885,4.383032248256313e-08
1886,3.0976625708944994e-08
1887,2.9380160526670807e-08
1888,3.297119732792453e-08
1889,3.00726554769426e-08
1890,4.653614382732485e-08
1891,2.358461337337303e-08
1892,3.5103667528346705e-08
1893,3.818218274886931e-08
1894,2.520615716150587e-08
1895,5.055636265183239e-08
1896,2.4177818858106548e-08
1897,2.2141511735185304e-08
1898,2.4896761985360172e-08
1899,2.1004797901014172e-08
1900,3.426094963288051e-08
1901,1.8442838367604963e-08
1902,2.0623192042990013e-08
1903,2.3220946943069976e-08
1904,2.0961039126632386e-08
1905,2.6835946798087207e-08
1906,2.572092228092515e-08
1907,1.542852956504248e-08
1908,2.357466755142923e-08
1909,1.5952851484257735e-08
1910,2.2979847358328698e-08
1911,2.7665945978583295e-08
1912,4.115442919783163e-08
1913,3.181793672979438e-08
1914,1.875088173619588e-08
1915,1.295883844676382e-08
1916,3.735737053034427e-08
1917,4.496234140560773e-08
1918,3.790504266021344e-08
1919,1.8415697411455767e-08
1920,2.4988365154854364e-08
1921,2.7261890522822796e-08
1922,2.7298360905092522e-08
1923,2.9724654737606215e-08
1924,2.9650736976805092e-08
1925,3.8493624288094e-08
1926,2.452150482668003e-08
1927,3.5677519605314956e-08
1928,3.427812345080383e-08
1929,2.1166771446701205e-08
1930,4.516549623190258e-08
1931,2.5091784650044247e-08
1932,1.2055489939655217e-08
1933,3.670611903316967e-08
1934,7.548395331014035e-08
1935,3.231436807027421e-08
1936,1.9399543305098632e-08
1937,3.5255130370615007e-08
1938,4.6674770715071645e-08
1939,4.435274547631707e-08
1940,2.7893612752905028e-08
1941,4.132103725851266e-08
1942,3.944475324146879e-08
1943,4.935499831049128e-08
1944,5.1410978585408884e-08
1945,5.446259976338297e-08
1946,2.7842208538686464e-08
1947,3.5762614203349585e-08
1948,3.261566305923225e-08
1949,3.239612667016445e-08
1950,1.808011518278363e-08
1951,1.8124383771578323e-08
1952,3.9015773722894664e-08
1953,4.632745742583211e-08
1954,2.6385848173049453e-08
1955,4.3173795205575516e-08
1956,3.575668117150599e-08
1957,3.0922631566454584e-08
1958,3.391619785020339e-08
1959,2.325224279786653e-08
1960,2.6991250123842292e-08
1961,2.640300600376122e-08
1962,3.170978146727066e-08
1963,3.4916688207431434e-08
1964,3.4070222199034106e-08
1965,3.009623839034248e-08
1966,2.1602390987141007e-08
1967,3.4019315364730573e-08
1968,2.380450325745187e-08
1969,2.4525492747784483e-08
1970,2.5292987260172595e-08
1971,2.003974941544584e-08
1972,3.1293897251316594e-08
1973,2.921997932503473e-08
1974,2.4752514704573514e-08
1975,1.770558810676448e-08
1976,2.171140245366132e-08
1977,3.6436048844734614e-08
1978,2.0198010375338527e-08
1979,3.745262944221395e-08
1980,3.467942022439274e-08
1981,2.84649726012276e-08
1982,3.3520510811513304e-08
1983,2.3998200759933752e-08
1984,2.7835241667162336e-08
